Vermilion,Illinois,5454.26
Montgomery,Texas,15915.887
Chatham,Georgia,19552.507
Box Butte,Nebraska,3124.48
Benton,Washington,12934.665
St. Croix,Wisconsin,8121.012
Erie,New York,50439.983
Indian River,Florida,9066.947
Watonwan,Minnesota,4565.836
Cuyahoga,Ohio,114913.002
Buffalo,Nebraska,6854.063
Johnson,Kansas,34888.822
Greene,Missouri,27241.818
Dubuque,Iowa,11548.492
Powell,Kentucky,6166.855
Coconino,Arizona,8451.926
Catawba,North Carolina,12146.335
Cabarrus,North Carolina,13906.04
Kauai,Hawaii,2048.229
Washington,Ohio,6132.545
Del Norte,California,9188.415
Sonoma,California,29960.221
Sandusky,Ohio,7973.836
Mecklenburg,North Carolina,62449.45
Yakima,Washington,9821.226
Montgomery,Indiana,5151.48
Clarke,Georgia,20782.458
Genesee,Michigan,35338.409
Los Angeles,California,400953.67
Caddo,Louisiana,17737.752
Umatilla,Oregon,7459.499
Sherman,Kansas,23330.862
Jefferson,Arkansas,33270.944
Lowndes,Georgia,7554.572
Quay,New Mexico,1555.415
Tulsa,Oklahoma,46586.778
Mahaska,Iowa,5552.04
Kern,California,34777.904
Dougherty,Georgia,9240.14
Codington,South Dakota,4914.427
Albany,Wyoming,3723.644
Chesterfield,Virginia,62463.449
Hamilton,Ohio,146636.788
Napa,California,7365.605
Hays,Texas,10362.225
Lancaster,South Carolina,6632.605
Phillips,Montana,3110.484
Hood,Texas,6841.529
Brewster,Texas,2552.499
Brown,Wisconsin,24756.933
Columbia,Florida,6273.843
Manatee,Florida,10414.01
Lyon,Kansas,4556.058
Missoula,Montana,10051.318
Logan,West Virginia,4973.524
Texas,Oklahoma,2488.134
Clatsop,Oregon,4163.056
McKinley,New Mexico,3064.267
Douglas,Colorado,43922.423
El Dorado,California,4594.477
Mississippi,Arkansas,4709.883
Skagit,Washington,11728.663
Black Hawk,Iowa,13629.282
Randolph,West Virginia,5461.762
Rockland,New York,13902.914
Chippewa,Michigan,5019.177
Titus,Texas,124744.193
Utah,Utah,19794.223
Jefferson,Louisiana,48940.364
Prowers,Colorado,2396.793
Ford,Kansas,4323.571
Buncombe,North Carolina,19851.181
Prentiss,Mississippi,5558.849
East Baton Rouge,Louisiana,6639.981
Yuba,California,8010.698
Clearfield,Pennsylvania,7447.834
Millard,Utah,1905.337
Pulaski,Virginia,8281.372
Oakland,Michigan,94681.125
Burleigh,North Dakota,9210.375
Monroe,New York,44251.152
Albany,New York,36952.583
Pettis,Missouri,5840.393
Tompkins,New York,6482.53
Monroe,Florida,9150.92
Douglas,Kansas,8126.999
Fulton,Georgia,116889.422
Santa Cruz,Arizona,5383.806
Crow Wing,Minnesota,6822.327
York,South Carolina,14543.153
Christian,Kentucky,6850.837
Atascosa,Texas,4910.076
Custer,Montana,2752.28
Santa Barbara,California,23317.765
Clallam,Washington,5003.738
Durham,North Carolina,15328.549
San Bernardino,California,106680.944
Craven,North Carolina,9405.138
Chautauqua,New York,25706.964
Hot Spring,Arkansas,3046.365
El Paso,Texas,45864.856
Wicomico,Maryland,11016.444
Mesa,Colorado,8990.568
Lycoming,Pennsylvania,12563.3
Craig,Oklahoma,5815.959
Whatcom,Washington,14565.327
Walla Walla,Washington,4364.762
Graham,Arizona,3744.842
Jasper,Missouri,10128.296
Kings,New York,81616.087
Grant,Oregon,1696.431
New York,New York,116466.204
Reno,Kansas,6424.541
Platte,Nebraska,5628.251
Moore,North Carolina,12972.464
Jackson,Oklahoma,3040.256
Fulton,New York,7163.848
Lemhi,Idaho,1813.211
Adams,Mississippi,3999.81
Lincoln,Oregon,4166.194
Mobile,Alabama,26289.862
Inyo,California,3309.701
Daviess,Kentucky,11949.83
Marion,Alabama,6022.29
Anderson,Tennessee,7596.106
Caldwell,North Carolina,7536.22
Sarasota,Florida,28387.957
Broward,Florida,91909.805
Westmoreland,Pennsylvania,31982.357
Polk,Florida,39924.865
Kittitas,Washington,3751.2
Baldwin,Alabama,9735.672
DeSoto,Mississippi,6303.706
Campbell,Wyoming,5070.977
Cleveland,North Carolina,10485.805
Clarke,Alabama,4585.19
Roanoke City,Virginia,29307.948
Boyd,Kentucky,9511.226
Tuscola,Michigan,6680.045
Cass,North Dakota,14761.351
Medina,Ohio,12822.845
Madison,Alabama,21749.497
Brazos,Texas,14255.42
Lancaster,Pennsylvania,40311.872
Valley,Idaho,2576.411
Routt,Colorado,3703.393
Spartanburg,South Carolina,38575.514
Richmond,New York,19821.693
Blaine,Idaho,3428.131
Weber,Utah,16567.951
St. Johns,Florida,12483.352
Northampton,Pennsylvania,48246.886
Jefferson,Washington,3135.841
Lafayette,Missouri,5496.123
Kankakee,Illinois,8906.008
Oneida,New York,18077.746
Duval,Florida,83491.722
Salt Lake,Utah,33940.515
Baltimore City,Maryland,50537.063
Washington,Mississippi,5092.45
Williamson,Tennessee,11179.02
Uinta,Wyoming,2803.252
Ogemaw,Michigan,6773.058
Greenville,South Carolina,29483.225
New Castle,Delaware,61207.802
Humboldt,Nevada,2737.295
Forrest,Mississippi,8815.872
Calaveras,California,6222.83
St. Francis,Arkansas,4168.855
Howard,Indiana,11332.765
Barton,Kansas,4579.11
Orangeburg,South Carolina,6083.548
McLeod,Minnesota,7266.596
Gregg,Texas,13802.821
King,Washington,114637.649
Clark,Indiana,23057.03
Conecuh,Alabama,5701.082
Charleston,South Carolina,11186.474
Macon,North Carolina,5696.676
Riverside,California,71210.839
Mendocino,California,37299.45
Dickinson,Michigan,4508.419
Baker,Oregon,2269.971
Sauk,Wisconsin,9350.612
Charlottesville City,Virginia,17469.925
Story,Iowa,9396.785
Sangamon,Illinois,14930.39
Itasca,Minnesota,4396.806
Garfield,Colorado,6933.779
Johnson,Iowa,11572.112
Oneida,Wisconsin,7168.685
Marion,Ohio,10921.917
Randolph,Arkansas,3831.708
Franklin,Ohio,105885.3
Tazewell,Illinois,20857.293
Harney,Oregon,1430.614
Richland,Louisiana,3872.802
Las Animas,Colorado,2359.253
Nassau,New York,61951.103
Darlington,South Carolina,12837.059
Bernalillo,New Mexico,32189.341
Cibola,New Mexico,1757.209
Sandoval,New Mexico,957.281
DeKalb,Alabama,6963.876
Carbon,Wyoming,2363.204
Adams,Nebraska,4638.127
Hidalgo,Texas,21913.742
Madison,Illinois,50514.482
Natchitoches,Louisiana,4670.379
Leflore,Mississippi,4584.678
Lauderdale,Mississippi,6724.52
Laurel,Kentucky,8659.409
Weld,Colorado,8033.532
Floyd,Kentucky,5201.919
Minidoka,Idaho,3599.087
Glenn,California,24300.259
Otero,New Mexico,4428.62
Olmsted,Minnesota,11991.372
St. Tammany,Louisiana,10530.494
Gila,Arizona,5053.932
Maury,Tennessee,8506.753
Allen,Ohio,11215.046
Mifflin,Pennsylvania,4849.483
Yolo,California,41829.33
St. Clair,Michigan,10346.075
Merced,California,9531.407
Belmont,Ohio,7505.345
Henderson,North Carolina,8122.308
Dyer,Tennessee,5744.852
Onslow,North Carolina,10192.19
Wexford,Michigan,5069.611
LaSalle,Illinois,9696.485
Lassen,California,2373.044
Jefferson,Kentucky,160101.13
Floyd,Georgia,7646.604
Fremont,Colorado,3483.307
Hall,Nebraska,6545.264
Iberia,Louisiana,5443.576
Spokane,Washington,25760.924
Douglas,Oregon,6344.622
Maricopa,Arizona,173569.056
White,Arkansas,6362.874
York,Pennsylvania,23660.73
Monroe,Pennsylvania,9296.251
Ripley,Indiana,10382.348
Williams,North Dakota,5716.915
Smith,Texas,14906.977
Stevens,Washington,3555.542
Philadelphia,Pennsylvania,58323.63
Troup,Georgia,6142.376
Grand,Utah,2645.301
Stutsman,North Dakota,4349.025
St. Clair,Illinois,16284.838
Goodhue,Minnesota,5279.599
Ouachita,Louisiana,9377.92
St. Landry,Louisiana,5913.749
Brookings,South Dakota,4530.016
Rock,Wisconsin,15829.578
Gray,Texas,4565.507
Silver Bow,Montana,4912.785
Marion,Florida,14595.529
Clark,Washington,17073.768
Sheridan,Wyoming,4077.724
Washington,Florida,5698.364
Cascade,Montana,6172.177
Iron,Utah,4511.992
New Madrid,Missouri,4844.948
Montgomery,Pennsylvania,58060.721
Mahoning,Ohio,9764.124
Kenton,Kentucky,15194.306
Emmet,Michigan,6875.845
Wayne,Ohio,8550.52
Pennington,Minnesota,5323.677
Charlotte,Virginia,5500.03
Caribou,Idaho,2000.439
Summit,Colorado,5974.573
Josephine,Oregon,5501.512
Grady,Georgia,6005.174
Leon,Florida,17577.282
Dare,North Carolina,4645.261
Lake,Florida,15298.673
Allegany,Maryland,9185.629
Gunnison,Colorado,2695.754
Laramie,Wyoming,9140.382
San Joaquin,California,14126.155
Bannock,Idaho,6869.451
Tioga,Pennsylvania,11552.813
Clay,Iowa,8949.799
District of Columbia,District of Columbia,1.451
Mecosta,Michigan,5202.867
Crawford,Iowa,6690.735
Rowan,North Carolina,22973.729
Montgomery,Iowa,4375.597
Contra Costa,California,91490.376
Douglas,Nebraska,46112.996
Sumter,South Carolina,7977.769
Armstrong,Pennsylvania,8260.075
Broome,New York,12122.151
Columbia,New York,6508.963
DeKalb,Georgia,78906.79
Ashtabula,Ohio,7337.57
Harrison,Mississippi,12952.268
Lackawanna,Pennsylvania,18742.291
Jefferson,Wisconsin,14820.567
Flathead,Montana,7662.012
Carroll,Georgia,7651.222
Hopkins,Kentucky,6448.072
Garland,Arkansas,8625.978
Tripp,South Dakota,2891.956
Ulster,New York,11229.679
Gogebic,Michigan,4330.454
Danville City,Virginia,11388.663
Winnebago,Wisconsin,31426.992
Payne,Oklahoma,6001.295
Fresno,California,38951.563
Ramsey,North Dakota,2835.686
Hillsborough,Florida,66871.928
Gibson,Tennessee,5423.867
Nash,North Carolina,12529.294
Gallatin,Montana,10195.45
Modoc,California,14177.597
Rock Island,Illinois,11838.28
Tuscarawas,Ohio,8849.592
Gage,Nebraska,4028.931
Barron,Wisconsin,7202.674
Travis,Texas,46799.093
Macon,Illinois,8285.557
Emanuel,Georgia,7462.526
Delaware,Indiana,12421.26
San Diego,California,151978.858
Lowndes,Mississippi,7554.577
Lucas,Ohio,32078.27
Elkhart,Indiana,20010.711
Orange,California,135921.696
Lincoln,Montana,2370.229
Warren,New York,11226.507
Pinellas,Florida,46819.056
Escambia,Florida,18960.735
Marion,Illinois,9851.525
Fayette,Kentucky,145426.76
Fairbanks North Star,Alaska,4059.068
Warren,Kentucky,15810.402
Allen,Indiana,29670.168
Morgan,Illinois,5978.725
Fayette,Georgia,14382.179
Richland,Ohio,12228.655
Augusta,Virginia,14095.926
Brevard,Florida,27144.759
Brazoria,Texas,8689.445
Marin,California,9576.511
Union,Oregon,2960.614
Orange,North Carolina,14333.27
Cerro Gordo,Iowa,8368.913
Cattaraugus,New York,5974.997
Milwaukee,Wisconsin,29138.243
Randolph,North Carolina,10383.331
Norfolk City,Virginia,11883.557
Marion,Oregon,15104.433
Hennepin,Minnesota,124817.27
Okanogan,Washington,3488.205
Union,North Carolina,16199.733
Chowan,North Carolina,7742.06
Maui,Hawaii,3418.815
Steuben,New York,10049.938
Beaver,Pennsylvania,9292.691
Clay,South Dakota,4393.521
Bulloch,Georgia,7512.832
Thurston,Washington,12538.51
Jackson,Oregon,11281.702
Walworth,South Dakota,2549.44
Cambria,Pennsylvania,12170.909
Niagara,New York,13828.268
Washoe,Nevada,39351.16
Bristol City,Virginia,21296.251
Murray,Minnesota,4616.91
Franklin,Kansas,5665.17
Coos,Oregon,4583.643
Seminole,Florida,54099.953
Pittsburg,Oklahoma,4622.649
Twin Falls,Idaho,6935.057
Natrona,Wyoming,7141.102
Red Willow,Nebraska,3245.354
Finney,Kansas,6057.797
Blount,Tennessee,9246.892
Grant,Indiana,5579.517
Klamath,Oregon,4980.251
Nueces,Texas,18372.951
Bonneville,Idaho,9236.488
Luna,New Mexico,2249.524
Fremont,Wyoming,3404.33
Mercer,Ohio,8490.455
Wadena,Minnesota,4353.138
San Luis Obispo,California,12068.643
Union,Iowa,5019.849
Beadle,South Dakota,2614.73
Wyandotte,Kansas,54085.696
Cook,Illinois,404277.69
Carter,Oklahoma,6066.22
Grant,New Mexico,2664.752
Adams,Pennsylvania,8744.348
Clinton,Ohio,9281.138
Custer,Nebraska,2388.441
Lewis,Washington,5517.339
Fairfax,Virginia,72247.517
Multnomah,Oregon,57083.944
Dallas,Texas,61112.593
Livingston,Missouri,5118.151
Lane,Oregon,20870.918
Berkeley,South Carolina,14314.003
Siskiyou,California,3494.235
Coles,Illinois,9642.835
Lubbock,Texas,16091.561
Lake,California,3835.843
Eau Claire,Wisconsin,12843.417
Terrebonne,Louisiana,10561.166
Montgomery,Alabama,21593.363
Pope,Arkansas,6441.048
Douglas,Minnesota,4984.956
Yuma,Arizona,9267.56
Jefferson,Texas,18274.949
Boone,Arkansas,4831.078
Brown,South Dakota,4620.886
Anderson,South Carolina,11065.064
Pottawatomie,Oklahoma,7546.489
Collier,Florida,20653.089
Stevens,Minnesota,4114.541
Monroe,Indiana,13080.778
Iowa,Wisconsin,8446.535
Wilkes,North Carolina,6797.326
Bay,Florida,9959.939
