Autauga,Alabama,35.29
Baldwin ,Alabama,37.24
Barbour ,Alabama,11.56
Bibb ,Alabama,13.88
Blount ,Alabama,34.34
Bullock ,Alabama,6.57
Butler ,Alabama,10.06
Calhoun ,Alabama,73.61
Chambers ,Alabama,21.87
Cherokee ,Alabama,16.86
Chilton ,Alabama,24.21
Choctaw ,Alabama,5.63
Clarke ,Alabama,7.77
Clay ,Alabama,8.59
Cleburne ,Alabama,10.32
Coffee ,Alabama,28.90
Colbert ,Alabama,33.84
Conecuh ,Alabama,5.84
Coosa ,Alabama,6.31
Covington ,Alabama,14.01
Crenshaw ,Alabama,8.84
Cullman ,Alabama,41.33
Dale ,Alabama,34.23
Dallas ,Alabama,16.32
DeKalb ,Alabama,35.21
Elmore ,Alabama,47.54
Escambia ,Alabama,15.39
Etowah ,Alabama,73.14
Fayette ,Alabama,10.37
Franklin ,Alabama,18.83
Geneva ,Alabama,17.82
Greene ,Alabama,5.12
Hale ,Alabama,9.06
Henry ,Alabama,11.75
Houston ,Alabama,68.82
Jackson ,Alabama,18.14
Jefferson ,Alabama,226.57
Lamar ,Alabama,9.08
Lauderdale ,Alabama,49.69
Lawrence ,Alabama,18.08
Lee ,Alabama,94.63
Limestone ,Alabama,56.50
Lowndes ,Alabama,5.70
Macon ,Alabama,12.40
Madison ,Alabama,164.80
Marengo ,Alabama,7.92
Marion ,Alabama,15.75
Marshall ,Alabama,58.71
Mobile ,Alabama,97.25
Monroe ,Alabama,8.30
Montgomery ,Alabama,109.40
Morgan ,Alabama,77.21
Perry ,Alabama,5.34
Pickens ,Alabama,8.42
Pike ,Alabama,19.13
Randolph ,Alabama,15.02
Russell ,Alabama,35.55
St. Clair ,Alabama,50.98
Shelby ,Alabama,97.38
Sumter ,Alabama,5.65
Talladega ,Alabama,41.18
Tallapoosa ,Alabama,20.76
Tuscaloosa ,Alabama,57.38
Walker ,Alabama,31.65
Washington ,Alabama,5.99
Wilcox ,Alabama,4.81
Winston ,Alabama,14.75
Aleutians East Borough,Alaska,0.08
Aleutians West Census Area,Alaska,0.15
Anchorage Municipality,Alaska,59.25
Bethel Census Area,Alaska,0.15
Bristol Bay Borough,Alaska,0.42
Denali Borough,Alaska,0.06
Dillingham Census Area,Alaska,0.09
Fairbanks North Star Borough,Alaska,5.21
Haines Borough,Alaska,0.37
Hoonah-Angoon Census Area,Alaska,0.30
Juneau City and Borough,Alaska,3.88
Kenai Peninsula Borough,Alaska,0.89
Ketchikan Gateway Borough,Alaska,0.80
Kodiak Island Borough,Alaska,0.45
