Alabama,110810
Alaska,35735
Arizona,226763
Arkansas,75999
California,473266
Colorado,196957
Connecticut,82065
Florida,518460
Georgia,270241
Hawaii,55654
Idaho,58524
Illinois,215461
Indiana,132082
Iowa,74894
Kansas,92478
Kentucky,112860
Louisiana,95523
Michigan,130199
Mississippi,70907
Missouri,153605
Nevada,114794
New Hampshire,41499
New Mexico,61828
New York,282677
North Carolina,268439
Ohio,184712
Pennsylvania,235275
South Carolina,157577
South Dakota,27509
Tennessee,172344
Texas,518580
Utah,86159
Virginia,259094
Washington,201998
Wisconsin,100424
Wyoming,29871
Delaware,34599
Maine,29685
Maryland,159516
Massachusetts,144041
Montana,35581
Nebraska,49229
New Jersey,136810
North Dakota,34434
Oklahoma,110386
Oregon,126199
West Virginia,48868
Puerto Rico,25705
Minnesota,98354
Rhode Island,32362
Vermont,22466
District of Columbia,48752
