Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,016,Alaska,Aleutians East Borough,Alaska,Aleutians West Census Area,18,18,0,13,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,020,Alaska,Aleutians East Borough,Alaska,Anchorage Municipality,29,20,227,158,-198,164,256,156,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,050,Alaska,Aleutians East Borough,Alaska,Bethel Census Area,0,9,22,11,-22,11,22,11,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,070,Alaska,Aleutians East Borough,Alaska,Dillingham Census Area,1,3,0,13,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,090,Alaska,Aleutians East Borough,Alaska,Fairbanks North Star Borough,0,9,27,27,-27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,110,Alaska,Aleutians East Borough,Alaska,Juneau City and Borough,0,9,8,10,-8,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,130,Alaska,Aleutians East Borough,Alaska,Ketchikan Gateway Borough,0,9,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,150,Alaska,Aleutians East Borough,Alaska,Kodiak Island Borough,5,10,0,15,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,164,Alaska,Aleutians East Borough,Alaska,Lake and Peninsula Borough,2,4,0,9,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,170,Alaska,Aleutians East Borough,Alaska,Matanuska-Susitna Borough,6,7,70,54,-64,55,76,54,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,180,Alaska,Aleutians East Borough,Alaska,Nome Census Area,1,2,0,13,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,185,Alaska,Aleutians East Borough,Alaska,North Slope Borough,1,3,0,13,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,240,Alaska,Aleutians East Borough,Alaska,Southeast Fairbanks Census Area,1,3,20,32,-19,32,21,32,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,261,Alaska,Aleutians East Borough,Alaska,Valdez-Cordova Census Area,22,25,0,13,22,25,22,25,,,,,,,,,,,,,,,,,,,,,,,,
002,013,002,270,Alaska,Aleutians East Borough,Alaska,Wade Hampton Census Area,2,5,0,13,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
002,013,004,005,Alaska,Aleutians East Borough,Arizona,Coconino County,2,3,0,30,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,004,013,Alaska,Aleutians East Borough,Arizona,Maricopa County,14,24,0,30,14,24,14,24,,,,,,,,,,,,,,,,,,,,,,,,
002,013,004,019,Alaska,Aleutians East Borough,Arizona,Pima County,5,11,0,30,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,013,Alaska,Aleutians East Borough,California,Contra Costa County,9,18,0,29,9,18,9,18,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,019,Alaska,Aleutians East Borough,California,Fresno County,4,10,0,29,4,10,4,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,025,Alaska,Aleutians East Borough,California,Imperial County,5,11,0,29,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,029,Alaska,Aleutians East Borough,California,Kern County,6,10,0,29,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,037,Alaska,Aleutians East Borough,California,Los Angeles County,37,27,0,29,37,27,37,27,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,047,Alaska,Aleutians East Borough,California,Merced County,5,10,0,29,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,065,Alaska,Aleutians East Borough,California,Riverside County,10,22,0,29,10,22,10,22,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,071,Alaska,Aleutians East Borough,California,San Bernardino County,19,25,0,29,19,25,19,25,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,073,Alaska,Aleutians East Borough,California,San Diego County,51,45,0,29,51,45,51,45,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,077,Alaska,Aleutians East Borough,California,San Joaquin County,31,43,0,29,31,43,31,43,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,085,Alaska,Aleutians East Borough,California,Santa Clara County,7,9,0,29,7,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,099,Alaska,Aleutians East Borough,California,Stanislaus County,19,24,0,29,19,24,19,24,,,,,,,,,,,,,,,,,,,,,,,,
002,013,006,107,Alaska,Aleutians East Borough,California,Tulare County,4,8,0,29,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
002,013,008,029,Alaska,Aleutians East Borough,Colorado,Delta County,12,23,0,25,12,23,12,23,,,,,,,,,,,,,,,,,,,,,,,,
002,013,010,003,Alaska,Aleutians East Borough,Delaware,New Castle County,4,8,0,27,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
002,013,012,095,Alaska,Aleutians East Borough,Florida,Orange County,4,8,0,32,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
002,013,015,003,Alaska,Aleutians East Borough,Hawaii,Honolulu County,2,6,0,27,2,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,
002,013,017,031,Alaska,Aleutians East Borough,Illinois,Cook County,1,3,0,27,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,019,179,Alaska,Aleutians East Borough,Iowa,Wapello County,8,18,0,21,8,18,8,18,,,,,,,,,,,,,,,,,,,,,,,,
002,013,024,019,Alaska,Aleutians East Borough,Maryland,Dorchester County,2,3,0,26,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,027,067,Alaska,Aleutians East Borough,Minnesota,Kandiyohi County,5,11,0,18,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
002,013,029,187,Alaska,Aleutians East Borough,Missouri,St. Francois County,6,10,0,26,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,030,029,Alaska,Aleutians East Borough,Montana,Flathead County,3,4,0,23,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
002,013,030,111,Alaska,Aleutians East Borough,Montana,Yellowstone County,1,2,0,23,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
002,013,031,055,Alaska,Aleutians East Borough,Nebraska,Douglas County,4,10,0,22,4,10,4,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,032,001,Alaska,Aleutians East Borough,Nevada,Churchill County,6,13,0,25,6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
002,013,032,003,Alaska,Aleutians East Borough,Nevada,Clark County,2,4,0,31,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
002,013,034,003,Alaska,Aleutians East Borough,New Jersey,Bergen County,8,18,0,28,8,18,8,18,,,,,,,,,,,,,,,,,,,,,,,,
002,013,034,029,Alaska,Aleutians East Borough,New Jersey,Ocean County,1,3,0,28,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,034,039,Alaska,Aleutians East Borough,New Jersey,Union County,2,4,0,28,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
002,013,041,029,Alaska,Aleutians East Borough,Oregon,Jackson County,1,2,0,28,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
002,013,041,047,Alaska,Aleutians East Borough,Oregon,Marion County,5,11,0,28,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
002,013,047,037,Alaska,Aleutians East Borough,Tennessee,Davidson County,4,10,0,29,4,10,4,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,048,029,Alaska,Aleutians East Borough,Texas,Bexar County,2,4,0,30,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
002,013,048,113,Alaska,Aleutians East Borough,Texas,Dallas County,5,11,0,30,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
002,013,048,141,Alaska,Aleutians East Borough,Texas,El Paso County,6,10,0,30,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,005,Alaska,Aleutians East Borough,Washington,Benton County,5,10,0,28,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,017,Alaska,Aleutians East Borough,Washington,Douglas County,11,19,0,25,11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,033,Alaska,Aleutians East Borough,Washington,King County,78,41,0,28,78,41,78,41,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,035,Alaska,Aleutians East Borough,Washington,Kitsap County,23,25,0,28,23,25,23,25,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,053,Alaska,Aleutians East Borough,Washington,Pierce County,23,26,0,28,23,26,23,26,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,055,Alaska,Aleutians East Borough,Washington,San Juan County,1,4,0,19,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,057,Alaska,Aleutians East Borough,Washington,Skagit County,11,17,0,28,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,061,Alaska,Aleutians East Borough,Washington,Snohomish County,10,9,0,28,10,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,067,Alaska,Aleutians East Borough,Washington,Thurston County,3,8,0,28,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
002,013,053,073,Alaska,Aleutians East Borough,Washington,Whatcom County,1,3,0,28,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,013,054,057,Alaska,Aleutians East Borough,West Virginia,Mineral County,7,9,0,21,7,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,
002,013,072,033,Alaska,Aleutians East Borough,Puerto Rico,Cataño Municipio,3,7,0,24,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
002,013,072,127,Alaska,Aleutians East Borough,Puerto Rico,San Juan Municipio,0,9,33,51,-33,51,33,51,,,,,,,,,,,,,,,,,,,,,,,,
002,013,ASI,000,Alaska,Aleutians East Borough,Asia,-,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,013,CAM,000,Alaska,Aleutians East Borough,Central America,-,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,013,ISL,000,Alaska,Aleutians East Borough,U.S. Island Areas,-,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,016,001,005,Alaska,Aleutians West Census Area,Alabama,Barbour County,18,21,0,21,18,21,18,21,,,,,,,,,,,,,,,,,,,,,,,,
002,016,001,089,Alaska,Aleutians West Census Area,Alabama,Madison County,2,3,0,27,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,013,Alaska,Aleutians West Census Area,Alaska,Aleutians East Borough,0,13,18,18,-18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,020,Alaska,Aleutians West Census Area,Alaska,Anchorage Municipality,49,56,4,7,45,57,53,56,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,050,Alaska,Aleutians West Census Area,Alaska,Bethel Census Area,0,13,7,5,-7,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,060,Alaska,Aleutians West Census Area,Alaska,Bristol Bay Borough,0,13,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,070,Alaska,Aleutians West Census Area,Alaska,Dillingham Census Area,4,5,0,13,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,100,Alaska,Aleutians West Census Area,Alaska,Haines Borough,0,13,3,8,-3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,105,Alaska,Aleutians West Census Area,Alaska,Hoonah-Angoon Census Area,4,6,6,9,-2,12,10,9,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,122,Alaska,Aleutians West Census Area,Alaska,Kenai Peninsula Borough,6,9,0,22,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,130,Alaska,Aleutians West Census Area,Alaska,Ketchikan Gateway Borough,0,13,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,164,Alaska,Aleutians West Census Area,Alaska,Lake and Peninsula Borough,3,8,0,9,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,170,Alaska,Aleutians West Census Area,Alaska,Matanuska-Susitna Borough,13,14,17,23,-4,27,30,27,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,180,Alaska,Aleutians West Census Area,Alaska,Nome Census Area,7,8,4,6,3,8,11,11,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,185,Alaska,Aleutians West Census Area,Alaska,North Slope Borough,3,4,0,13,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,188,Alaska,Aleutians West Census Area,Alaska,Northwest Arctic Borough,2,3,0,13,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,002,261,Alaska,Aleutians West Census Area,Alaska,Valdez-Cordova Census Area,12,26,0,13,12,26,12,26,,,,,,,,,,,,,,,,,,,,,,,,
002,016,004,013,Alaska,Aleutians West Census Area,Arizona,Maricopa County,0,13,35,47,-35,47,35,47,,,,,,,,,,,,,,,,,,,,,,,,
002,016,004,019,Alaska,Aleutians West Census Area,Arizona,Pima County,1,3,0,30,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,013,Alaska,Aleutians West Census Area,California,Contra Costa County,1,3,0,29,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,029,Alaska,Aleutians West Census Area,California,Kern County,39,41,0,29,39,41,39,41,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,037,Alaska,Aleutians West Census Area,California,Los Angeles County,39,46,204,175,-165,180,243,182,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,059,Alaska,Aleutians West Census Area,California,Orange County,5,13,0,29,5,13,5,13,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,065,Alaska,Aleutians West Census Area,California,Riverside County,3,5,0,29,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,073,Alaska,Aleutians West Census Area,California,San Diego County,20,20,0,29,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,077,Alaska,Aleutians West Census Area,California,San Joaquin County,0,13,11,16,-11,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,085,Alaska,Aleutians West Census Area,California,Santa Clara County,10,14,0,29,10,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,095,Alaska,Aleutians West Census Area,California,Solano County,1,2,0,29,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
002,016,006,107,Alaska,Aleutians West Census Area,California,Tulare County,9,13,0,29,9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
002,016,008,005,Alaska,Aleutians West Census Area,Colorado,Arapahoe County,4,6,0,28,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
002,016,008,059,Alaska,Aleutians West Census Area,Colorado,Jefferson County,0,13,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
002,016,008,101,Alaska,Aleutians West Census Area,Colorado,Pueblo County,0,13,27,42,-27,42,27,42,,,,,,,,,,,,,,,,,,,,,,,,
002,016,009,009,Alaska,Aleutians West Census Area,Connecticut,New Haven County,3,6,0,28,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
002,016,011,001,Alaska,Aleutians West Census Area,District of Columbia,District of Columbia,2,3,0,29,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,012,031,Alaska,Aleutians West Census Area,Florida,Duval County,3,6,0,32,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
002,016,013,115,Alaska,Aleutians West Census Area,Georgia,Floyd County,3,7,0,31,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
002,016,013,135,Alaska,Aleutians West Census Area,Georgia,Gwinnett County,4,8,0,31,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
002,016,015,003,Alaska,Aleutians West Census Area,Hawaii,Honolulu County,9,14,0,27,9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
002,016,016,011,Alaska,Aleutians West Census Area,Idaho,Bingham County,17,33,0,24,17,33,17,33,,,,,,,,,,,,,,,,,,,,,,,,
002,016,017,089,Alaska,Aleutians West Census Area,Illinois,Kane County,8,8,0,27,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
002,016,022,033,Alaska,Aleutians West Census Area,Louisiana,East Baton Rouge Parish,0,13,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
002,016,023,027,Alaska,Aleutians West Census Area,Maine,Waldo County,5,6,0,21,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,
002,016,025,009,Alaska,Aleutians West Census Area,Massachusetts,Essex County,0,13,9,15,-9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
002,016,026,019,Alaska,Aleutians West Census Area,Michigan,Benzie County,3,4,0,16,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
002,016,026,099,Alaska,Aleutians West Census Area,Michigan,Macomb County,0,13,25,40,-25,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,
002,016,026,125,Alaska,Aleutians West Census Area,Michigan,Oakland County,0,13,19,32,-19,32,19,32,,,,,,,,,,,,,,,,,,,,,,,,
002,016,026,145,Alaska,Aleutians West Census Area,Michigan,Saginaw County,0,13,45,73,-45,73,45,73,,,,,,,,,,,,,,,,,,,,,,,,
002,016,026,163,Alaska,Aleutians West Census Area,Michigan,Wayne County,3,4,79,125,-76,125,82,125,,,,,,,,,,,,,,,,,,,,,,,,
002,016,027,131,Alaska,Aleutians West Census Area,Minnesota,Rice County,0,13,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,028,149,Alaska,Aleutians West Census Area,Mississippi,Warren County,2,3,0,26,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
002,016,030,031,Alaska,Aleutians West Census Area,Montana,Gallatin County,3,5,0,23,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,030,111,Alaska,Aleutians West Census Area,Montana,Yellowstone County,0,13,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
002,016,032,001,Alaska,Aleutians West Census Area,Nevada,Churchill County,2,5,0,25,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,032,003,Alaska,Aleutians West Census Area,Nevada,Clark County,13,15,0,31,13,15,13,15,,,,,,,,,,,,,,,,,,,,,,,,
002,016,036,047,Alaska,Aleutians West Census Area,New York,Kings County,7,8,0,28,7,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,
002,016,037,051,Alaska,Aleutians West Census Area,North Carolina,Cumberland County,9,19,0,29,9,19,9,19,,,,,,,,,,,,,,,,,,,,,,,,
002,016,037,089,Alaska,Aleutians West Census Area,North Carolina,Henderson County,1,4,0,29,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
002,016,037,133,Alaska,Aleutians West Census Area,North Carolina,Onslow County,9,13,0,29,9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
002,016,037,147,Alaska,Aleutians West Census Area,North Carolina,Pitt County,3,8,0,29,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
002,016,039,095,Alaska,Aleutians West Census Area,Ohio,Lucas County,3,4,0,27,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
002,016,041,003,Alaska,Aleutians West Census Area,Oregon,Benton County,4,5,0,28,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
002,016,041,043,Alaska,Aleutians West Census Area,Oregon,Linn County,11,23,0,28,11,23,11,23,,,,,,,,,,,,,,,,,,,,,,,,
002,016,041,047,Alaska,Aleutians West Census Area,Oregon,Marion County,8,17,0,28,8,17,8,17,,,,,,,,,,,,,,,,,,,,,,,,
002,016,041,051,Alaska,Aleutians West Census Area,Oregon,Multnomah County,15,27,0,28,15,27,15,27,,,,,,,,,,,,,,,,,,,,,,,,
002,016,041,053,Alaska,Aleutians West Census Area,Oregon,Polk County,10,23,0,28,10,23,10,23,,,,,,,,,,,,,,,,,,,,,,,,
002,016,041,067,Alaska,Aleutians West Census Area,Oregon,Washington County,6,10,0,28,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
002,016,042,091,Alaska,Aleutians West Census Area,Pennsylvania,Montgomery County,0,13,50,45,-50,45,50,45,,,,,,,,,,,,,,,,,,,,,,,,
002,016,048,029,Alaska,Aleutians West Census Area,Texas,Bexar County,3,7,0,30,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
