Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
004,001,001,097,Arizona,Apache County,Alabama,Mobile County,14,21,0,27,14,21,14,21,,,,,,,,,,,,,,,,,,,,,,,,
004,001,002,020,Arizona,Apache County,Alaska,Anchorage Municipality,42,46,0,22,42,46,42,46,,,,,,,,,,,,,,,,,,,,,,,,
004,001,002,090,Arizona,Apache County,Alaska,Fairbanks North Star Borough,32,50,0,22,32,50,32,50,,,,,,,,,,,,,,,,,,,,,,,,
004,001,002,122,Arizona,Apache County,Alaska,Kenai Peninsula Borough,0,30,7,11,-7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
004,001,002,290,Arizona,Apache County,Alaska,Yukon-Koyukuk Census Area,0,30,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,003,Arizona,Apache County,Arizona,Cochise County,67,103,189,108,-122,145,256,153,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,005,Arizona,Apache County,Arizona,Coconino County,191,121,66,61,125,137,257,134,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,007,Arizona,Apache County,Arizona,Gila County,24,24,40,37,-16,43,64,46,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,009,Arizona,Apache County,Arizona,Graham County,106,116,93,99,13,152,199,152,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,011,Arizona,Apache County,Arizona,Greenlee County,0,30,55,78,-55,78,55,78,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,012,Arizona,Apache County,Arizona,La Paz County,10,14,0,24,10,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,013,Arizona,Apache County,Arizona,Maricopa County,797,425,"1,171",425,-374,559,"1,968",640,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,015,Arizona,Apache County,Arizona,Mohave County,9,11,5,12,4,16,14,16,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,017,Arizona,Apache County,Arizona,Navajo County,512,197,296,132,216,248,808,226,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,019,Arizona,Apache County,Arizona,Pima County,70,42,238,190,-168,196,308,193,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,021,Arizona,Apache County,Arizona,Pinal County,60,61,861,884,-801,887,921,886,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,023,Arizona,Apache County,Arizona,Santa Cruz County,0,30,37,52,-37,52,37,52,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,025,Arizona,Apache County,Arizona,Yavapai County,35,41,29,46,6,62,64,61,,,,,,,,,,,,,,,,,,,,,,,,
004,001,004,027,Arizona,Apache County,Arizona,Yuma County,57,50,35,63,22,77,92,83,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,001,Arizona,Apache County,California,Alameda County,5,7,0,29,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,019,Arizona,Apache County,California,Fresno County,0,30,15,23,-15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,027,Arizona,Apache County,California,Inyo County,0,30,4,6,-4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,033,Arizona,Apache County,California,Lake County,0,30,6,11,-6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,059,Arizona,Apache County,California,Orange County,26,40,0,29,26,40,26,40,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,065,Arizona,Apache County,California,Riverside County,0,30,32,46,-32,46,32,46,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,067,Arizona,Apache County,California,Sacramento County,18,43,0,29,18,43,18,43,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,071,Arizona,Apache County,California,San Bernardino County,0,30,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,073,Arizona,Apache County,California,San Diego County,43,51,0,29,43,51,43,51,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,083,Arizona,Apache County,California,Santa Barbara County,9,11,0,29,9,11,9,11,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,085,Arizona,Apache County,California,Santa Clara County,4,9,0,29,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,099,Arizona,Apache County,California,Stanislaus County,5,11,0,29,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
004,001,006,111,Arizona,Apache County,California,Ventura County,1,4,0,29,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,013,Arizona,Apache County,Colorado,Boulder County,4,5,0,28,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,031,Arizona,Apache County,Colorado,Denver County,4,8,55,84,-51,84,59,85,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,041,Arizona,Apache County,Colorado,El Paso County,0,30,28,33,-28,33,28,33,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,045,Arizona,Apache County,Colorado,Garfield County,3,7,0,28,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,059,Arizona,Apache County,Colorado,Jefferson County,6,10,24,26,-18,29,30,27,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,067,Arizona,Apache County,Colorado,La Plata County,0,30,60,38,-60,38,60,38,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,081,Arizona,Apache County,Colorado,Moffat County,0,30,11,11,-11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
004,001,008,123,Arizona,Apache County,Colorado,Weld County,0,30,43,63,-43,63,43,63,,,,,,,,,,,,,,,,,,,,,,,,
004,001,012,099,Arizona,Apache County,Florida,Palm Beach County,0,30,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
004,001,013,189,Arizona,Apache County,Georgia,McDuffie County,4,8,0,25,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
004,001,015,003,Arizona,Apache County,Hawaii,Honolulu County,8,17,14,15,-6,23,22,23,,,,,,,,,,,,,,,,,,,,,,,,
004,001,016,011,Arizona,Apache County,Idaho,Bingham County,7,10,0,24,7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
004,001,016,027,Arizona,Apache County,Idaho,Canyon County,117,178,0,27,117,178,117,178,,,,,,,,,,,,,,,,,,,,,,,,
004,001,016,055,Arizona,Apache County,Idaho,Kootenai County,13,22,0,27,13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
004,001,016,065,Arizona,Apache County,Idaho,Madison County,0,30,30,52,-30,52,30,52,,,,,,,,,,,,,,,,,,,,,,,,
004,001,018,065,Arizona,Apache County,Indiana,Henry County,0,30,39,49,-39,49,39,49,,,,,,,,,,,,,,,,,,,,,,,,
004,001,020,045,Arizona,Apache County,Kansas,Douglas County,0,30,16,27,-16,27,16,27,,,,,,,,,,,,,,,,,,,,,,,,
004,001,020,085,Arizona,Apache County,Kansas,Jackson County,0,30,3,4,-3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
004,001,020,123,Arizona,Apache County,Kansas,Mitchell County,0,30,8,16,-8,16,8,16,,,,,,,,,,,,,,,,,,,,,,,,
004,001,020,205,Arizona,Apache County,Kansas,Wilson County,0,30,7,10,-7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
004,001,020,209,Arizona,Apache County,Kansas,Wyandotte County,10,17,0,24,10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
004,001,022,019,Arizona,Apache County,Louisiana,Calcasieu Parish,0,30,50,82,-50,82,50,82,,,,,,,,,,,,,,,,,,,,,,,,
004,001,022,051,Arizona,Apache County,Louisiana,Jefferson Parish,0,30,55,85,-55,85,55,85,,,,,,,,,,,,,,,,,,,,,,,,
004,001,022,071,Arizona,Apache County,Louisiana,Orleans Parish,0,30,126,180,-126,180,126,180,,,,,,,,,,,,,,,,,,,,,,,,
004,001,024,009,Arizona,Apache County,Maryland,Calvert County,4,6,0,29,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
004,001,026,017,Arizona,Apache County,Michigan,Bay County,0,30,78,86,-78,86,78,86,,,,,,,,,,,,,,,,,,,,,,,,
