Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,043,Colorado,Adams County,Alabama,Cullman County,2,5,0,27,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,045,Colorado,Adams County,Alabama,Dale County,0,28,33,37,-33,37,33,37,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,051,Colorado,Adams County,Alabama,Elmore County,0,28,6,11,-6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,055,Colorado,Adams County,Alabama,Etowah County,0,28,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,089,Colorado,Adams County,Alabama,Madison County,146,227,0,27,146,227,146,227,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,097,Colorado,Adams County,Alabama,Mobile County,20,35,0,27,20,35,20,35,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,115,Colorado,Adams County,Alabama,St. Clair County,0,28,106,121,-106,121,106,121,,,,,,,,,,,,,,,,,,,,,,,,
008,001,001,117,Colorado,Adams County,Alabama,Shelby County,0,28,23,30,-23,30,23,30,,,,,,,,,,,,,,,,,,,,,,,,
008,001,002,020,Colorado,Adams County,Alaska,Anchorage Municipality,0,28,13,22,-13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
008,001,002,122,Colorado,Adams County,Alaska,Kenai Peninsula Borough,0,28,62,97,-62,97,62,97,,,,,,,,,,,,,,,,,,,,,,,,
008,001,002,170,Colorado,Adams County,Alaska,Matanuska-Susitna Borough,0,28,17,25,-17,25,17,25,,,,,,,,,,,,,,,,,,,,,,,,
008,001,004,013,Colorado,Adams County,Arizona,Maricopa County,750,362,261,179,489,386,"1,011",421,,,,,,,,,,,,,,,,,,,,,,,,
008,001,004,015,Colorado,Adams County,Arizona,Mohave County,0,28,49,56,-49,56,49,56,,,,,,,,,,,,,,,,,,,,,,,,
008,001,004,017,Colorado,Adams County,Arizona,Navajo County,0,28,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
008,001,004,019,Colorado,Adams County,Arizona,Pima County,27,34,18,23,9,41,45,41,,,,,,,,,,,,,,,,,,,,,,,,
008,001,004,021,Colorado,Adams County,Arizona,Pinal County,14,21,52,57,-38,62,66,61,,,,,,,,,,,,,,,,,,,,,,,,
008,001,004,025,Colorado,Adams County,Arizona,Yavapai County,124,176,0,30,124,176,124,176,,,,,,,,,,,,,,,,,,,,,,,,
008,001,005,007,Colorado,Adams County,Arkansas,Benton County,2,5,0,28,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
008,001,005,031,Colorado,Adams County,Arkansas,Craighead County,0,28,19,32,-19,32,19,32,,,,,,,,,,,,,,,,,,,,,,,,
008,001,005,051,Colorado,Adams County,Arkansas,Garland County,0,28,16,34,-16,34,16,34,,,,,,,,,,,,,,,,,,,,,,,,
