Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
009,001,001,015,Connecticut,Fairfield County,Alabama,Calhoun County,0,28,22,34,-22,34,22,34,,,,,,,,,,,,,,,,,,,,,,,,
009,001,001,039,Connecticut,Fairfield County,Alabama,Covington County,131,192,0,24,131,192,131,192,,,,,,,,,,,,,,,,,,,,,,,,
009,001,001,045,Connecticut,Fairfield County,Alabama,Dale County,0,28,16,32,-16,32,16,32,,,,,,,,,,,,,,,,,,,,,,,,
009,001,001,103,Connecticut,Fairfield County,Alabama,Morgan County,14,22,0,27,14,22,14,22,,,,,,,,,,,,,,,,,,,,,,,,
009,001,001,125,Connecticut,Fairfield County,Alabama,Tuscaloosa County,0,28,69,57,-69,57,69,57,,,,,,,,,,,,,,,,,,,,,,,,
009,001,002,020,Connecticut,Fairfield County,Alaska,Anchorage Municipality,92,118,0,22,92,118,92,118,,,,,,,,,,,,,,,,,,,,,,,,
009,001,004,003,Connecticut,Fairfield County,Arizona,Cochise County,28,47,1,6,27,47,29,48,,,,,,,,,,,,,,,,,,,,,,,,
009,001,004,013,Connecticut,Fairfield County,Arizona,Maricopa County,490,500,189,110,301,502,679,521,,,,,,,,,,,,,,,,,,,,,,,,
009,001,004,019,Connecticut,Fairfield County,Arizona,Pima County,171,143,72,61,99,157,243,154,,,,,,,,,,,,,,,,,,,,,,,,
009,001,004,025,Connecticut,Fairfield County,Arizona,Yavapai County,0,28,8,15,-8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
009,001,005,005,Connecticut,Fairfield County,Arkansas,Baxter County,0,28,5,10,-5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
009,001,005,007,Connecticut,Fairfield County,Arkansas,Benton County,0,28,13,20,-13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
009,001,005,015,Connecticut,Fairfield County,Arkansas,Carroll County,0,28,3,4,-3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
009,001,005,021,Connecticut,Fairfield County,Arkansas,Clay County,0,28,7,15,-7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
009,001,005,031,Connecticut,Fairfield County,Arkansas,Craighead County,3,6,0,28,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
