Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,045,Delaware,Kent County,Alabama,Dale County,0,27,25,39,-25,39,25,39,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,077,Delaware,Kent County,Alabama,Lauderdale County,1,4,0,27,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,083,Delaware,Kent County,Alabama,Limestone County,7,15,0,27,7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,089,Delaware,Kent County,Alabama,Madison County,0,27,9,15,-9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,101,Delaware,Kent County,Alabama,Montgomery County,0,27,46,74,-46,74,46,74,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,113,Delaware,Kent County,Alabama,Russell County,2,6,20,31,-18,32,22,32,,,,,,,,,,,,,,,,,,,,,,,,
010,001,001,117,Delaware,Kent County,Alabama,Shelby County,9,14,0,27,9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
010,001,002,020,Delaware,Kent County,Alaska,Anchorage Municipality,29,42,10,16,19,45,39,45,,,,,,,,,,,,,,,,,,,,,,,,
010,001,002,090,Delaware,Kent County,Alaska,Fairbanks North Star Borough,91,133,0,22,91,133,91,133,,,,,,,,,,,,,,,,,,,,,,,,
010,001,004,003,Delaware,Kent County,Arizona,Cochise County,0,27,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
010,001,004,013,Delaware,Kent County,Arizona,Maricopa County,0,27,15,18,-15,18,15,18,,,,,,,,,,,,,,,,,,,,,,,,
010,001,004,021,Delaware,Kent County,Arizona,Pinal County,0,27,27,48,-27,48,27,48,,,,,,,,,,,,,,,,,,,,,,,,
010,001,005,119,Delaware,Kent County,Arkansas,Pulaski County,0,27,10,17,-10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,001,Delaware,Kent County,California,Alameda County,7,13,0,29,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,019,Delaware,Kent County,California,Fresno County,34,76,0,29,34,76,34,76,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,029,Delaware,Kent County,California,Kern County,0,27,5,8,-5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,037,Delaware,Kent County,California,Los Angeles County,14,20,0,29,14,20,14,20,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,053,Delaware,Kent County,California,Monterey County,19,25,28,43,-9,50,47,49,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,071,Delaware,Kent County,California,San Bernardino County,2,4,13,20,-11,22,15,20,,,,,,,,,,,,,,,,,,,,,,,,
010,001,006,111,Delaware,Kent County,California,Ventura County,6,12,0,29,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
010,001,008,005,Delaware,Kent County,Colorado,Arapahoe County,27,46,0,28,27,46,27,46,,,,,,,,,,,,,,,,,,,,,,,,
010,001,008,041,Delaware,Kent County,Colorado,El Paso County,8,14,0,28,8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
010,001,008,077,Delaware,Kent County,Colorado,Mesa County,13,21,0,28,13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
010,001,009,003,Delaware,Kent County,Connecticut,Hartford County,4,9,35,32,-31,33,39,33,,,,,,,,,,,,,,,,,,,,,,,,
010,001,009,007,Delaware,Kent County,Connecticut,Middlesex County,0,27,95,145,-95,145,95,145,,,,,,,,,,,,,,,,,,,,,,,,
010,001,009,011,Delaware,Kent County,Connecticut,New London County,43,68,0,28,43,68,43,68,,,,,,,,,,,,,,,,,,,,,,,,
010,001,010,003,Delaware,Kent County,Delaware,New Castle County,"1,782",412,"2,116",411,-334,595,"3,898",568,,,,,,,,,,,,,,,,,,,,,,,,
010,001,010,005,Delaware,Kent County,Delaware,Sussex County,"1,221",391,"1,100",309,121,450,"2,321",543,,,,,,,,,,,,,,,,,,,,,,,,
010,001,011,001,Delaware,Kent County,District of Columbia,District of Columbia,90,52,0,29,90,52,90,52,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,009,Delaware,Kent County,Florida,Brevard County,0,27,27,45,-27,45,27,45,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,011,Delaware,Kent County,Florida,Broward County,52,51,0,32,52,51,52,51,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,033,Delaware,Kent County,Florida,Escambia County,0,27,37,44,-37,44,37,44,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,053,Delaware,Kent County,Florida,Hernando County,21,38,0,32,21,38,21,38,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,057,Delaware,Kent County,Florida,Hillsborough County,25,28,186,181,-161,186,211,181,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,069,Delaware,Kent County,Florida,Lake County,21,34,121,176,-100,172,142,186,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,071,Delaware,Kent County,Florida,Lee County,0,27,28,34,-28,34,28,34,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,073,Delaware,Kent County,Florida,Leon County,0,27,93,92,-93,92,93,92,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,081,Delaware,Kent County,Florida,Manatee County,0,27,27,43,-27,43,27,43,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,085,Delaware,Kent County,Florida,Martin County,17,27,30,50,-13,57,47,56,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,095,Delaware,Kent County,Florida,Orange County,0,27,59,98,-59,98,59,98,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,097,Delaware,Kent County,Florida,Osceola County,39,49,0,32,39,49,39,49,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,099,Delaware,Kent County,Florida,Palm Beach County,0,27,12,18,-12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,103,Delaware,Kent County,Florida,Pinellas County,0,27,22,33,-22,33,22,33,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,105,Delaware,Kent County,Florida,Polk County,10,14,11,16,-1,26,21,17,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,111,Delaware,Kent County,Florida,St. Lucie County,13,22,0,32,13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,113,Delaware,Kent County,Florida,Santa Rosa County,12,19,0,32,12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,115,Delaware,Kent County,Florida,Sarasota County,0,27,30,33,-30,33,30,33,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,123,Delaware,Kent County,Florida,Taylor County,0,27,15,23,-15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
010,001,012,127,Delaware,Kent County,Florida,Volusia County,12,18,0,32,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
