Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,069,District of Columbia,District of Columbia,Alabama,Houston County,0,29,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,073,District of Columbia,District of Columbia,Alabama,Jefferson County,14,23,91,67,-77,75,105,67,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,077,District of Columbia,District of Columbia,Alabama,Lauderdale County,15,27,0,27,15,27,15,27,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,081,District of Columbia,District of Columbia,Alabama,Lee County,17,26,58,60,-41,65,75,65,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,089,District of Columbia,District of Columbia,Alabama,Madison County,5,11,0,27,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,091,District of Columbia,District of Columbia,Alabama,Marengo County,0,29,9,13,-9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,097,District of Columbia,District of Columbia,Alabama,Mobile County,26,31,16,35,10,48,42,46,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,101,District of Columbia,District of Columbia,Alabama,Montgomery County,63,41,0,27,63,41,63,41,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,103,District of Columbia,District of Columbia,Alabama,Morgan County,0,29,7,17,-7,17,7,17,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,117,District of Columbia,District of Columbia,Alabama,Shelby County,18,45,0,27,18,45,18,45,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,121,District of Columbia,District of Columbia,Alabama,Talladega County,0,29,13,26,-13,26,13,26,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,125,District of Columbia,District of Columbia,Alabama,Tuscaloosa County,18,19,25,39,-7,43,43,44,,,,,,,,,,,,,,,,,,,,,,,,
011,001,001,131,District of Columbia,District of Columbia,Alabama,Wilcox County,0,29,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
011,001,002,016,District of Columbia,District of Columbia,Alaska,Aleutians West Census Area,0,29,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
011,001,002,020,District of Columbia,District of Columbia,Alaska,Anchorage Municipality,528,202,59,76,469,229,587,203,,,,,,,,,,,,,,,,,,,,,,,,
011,001,002,090,District of Columbia,District of Columbia,Alaska,Fairbanks North Star Borough,0,29,105,139,-105,139,105,139,,,,,,,,,,,,,,,,,,,,,,,,
011,001,002,110,District of Columbia,District of Columbia,Alaska,Juneau City and Borough,57,63,3,4,54,63,60,63,,,,,,,,,,,,,,,,,,,,,,,,
011,001,002,130,District of Columbia,District of Columbia,Alaska,Ketchikan Gateway Borough,15,33,0,15,15,33,15,33,,,,,,,,,,,,,,,,,,,,,,,,
011,001,004,005,District of Columbia,District of Columbia,Arizona,Coconino County,5,15,0,30,5,15,5,15,,,,,,,,,,,,,,,,,,,,,,,,
011,001,004,013,District of Columbia,District of Columbia,Arizona,Maricopa County,148,72,154,112,-6,131,302,134,,,,,,,,,,,,,,,,,,,,,,,,
011,001,004,019,District of Columbia,District of Columbia,Arizona,Pima County,118,80,93,71,25,109,211,105,,,,,,,,,,,,,,,,,,,,,,,,
011,001,004,027,District of Columbia,District of Columbia,Arizona,Yuma County,62,72,0,30,62,72,62,72,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,007,District of Columbia,District of Columbia,Arkansas,Benton County,0,29,52,69,-52,69,52,69,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,029,District of Columbia,District of Columbia,Arkansas,Conway County,12,20,0,22,12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,031,District of Columbia,District of Columbia,Arkansas,Craighead County,0,29,37,78,-37,78,37,78,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,047,District of Columbia,District of Columbia,Arkansas,Franklin County,0,29,26,30,-26,30,26,30,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,069,District of Columbia,District of Columbia,Arkansas,Jefferson County,6,14,0,28,6,14,6,14,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,071,District of Columbia,District of Columbia,Arkansas,Johnson County,0,29,8,17,-8,17,8,17,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,119,District of Columbia,District of Columbia,Arkansas,Pulaski County,40,34,0,28,40,34,40,34,,,,,,,,,,,,,,,,,,,,,,,,
011,001,005,121,District of Columbia,District of Columbia,Arkansas,Randolph County,0,29,44,69,-44,69,44,69,,,,,,,,,,,,,,,,,,,,,,,,
