Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
013,001,006,001,Georgia,Appling County,California,Alameda County,0,21,12,20,-12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
013,001,006,115,Georgia,Appling County,California,Yuba County,0,21,13,23,-13,23,13,23,,,,,,,,,,,,,,,,,,,,,,,,
013,001,012,023,Georgia,Appling County,Florida,Columbia County,0,21,18,29,-18,29,18,29,,,,,,,,,,,,,,,,,,,,,,,,
013,001,012,075,Georgia,Appling County,Florida,Levy County,2,7,0,29,2,7,2,7,,,,,,,,,,,,,,,,,,,,,,,,
013,001,012,086,Georgia,Appling County,Florida,Miami-Dade County,1,4,0,32,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
013,001,012,105,Georgia,Appling County,Florida,Polk County,11,17,0,32,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,003,Georgia,Appling County,Georgia,Atkinson County,4,15,0,19,4,15,4,15,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,005,Georgia,Appling County,Georgia,Bacon County,6,10,8,11,-2,15,14,15,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,009,Georgia,Appling County,Georgia,Baldwin County,60,75,0,28,60,75,60,75,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,013,Georgia,Appling County,Georgia,Barrow County,2,4,0,31,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,019,Georgia,Appling County,Georgia,Berrien County,0,21,9,12,-9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,021,Georgia,Appling County,Georgia,Bibb County,5,10,0,31,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,031,Georgia,Appling County,Georgia,Bulloch County,0,21,25,39,-25,39,25,39,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,047,Georgia,Appling County,Georgia,Catoosa County,1,4,6,10,-5,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,051,Georgia,Appling County,Georgia,Chatham County,0,21,6,8,-6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,063,Georgia,Appling County,Georgia,Clayton County,17,20,37,59,-20,62,54,63,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,067,Georgia,Appling County,Georgia,Cobb County,0,21,28,37,-28,37,28,37,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,081,Georgia,Appling County,Georgia,Crisp County,0,21,31,44,-31,44,31,44,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,087,Georgia,Appling County,Georgia,Decatur County,0,21,25,24,-25,24,25,24,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,089,Georgia,Appling County,Georgia,DeKalb County,8,12,0,31,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,093,Georgia,Appling County,Georgia,Dooly County,0,21,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,095,Georgia,Appling County,Georgia,Dougherty County,0,21,8,12,-8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,103,Georgia,Appling County,Georgia,Effingham County,20,33,0,31,20,33,20,33,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,107,Georgia,Appling County,Georgia,Emanuel County,0,21,12,17,-12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,121,Georgia,Appling County,Georgia,Fulton County,0,21,125,93,-125,93,125,93,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,127,Georgia,Appling County,Georgia,Glynn County,0,21,31,28,-31,28,31,28,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,129,Georgia,Appling County,Georgia,Gordon County,0,21,25,44,-25,44,25,44,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,131,Georgia,Appling County,Georgia,Grady County,0,21,22,36,-22,36,22,36,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,137,Georgia,Appling County,Georgia,Habersham County,1,4,0,28,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,153,Georgia,Appling County,Georgia,Houston County,0,21,26,45,-26,45,26,45,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,157,Georgia,Appling County,Georgia,Jackson County,29,47,0,31,29,47,29,47,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,161,Georgia,Appling County,Georgia,Jeff Davis County,166,126,11,17,155,129,177,125,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,167,Georgia,Appling County,Georgia,Johnson County,6,11,0,19,6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,175,Georgia,Appling County,Georgia,Laurens County,4,7,17,26,-13,27,21,28,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,185,Georgia,Appling County,Georgia,Lowndes County,0,21,30,33,-30,33,30,33,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,191,Georgia,Appling County,Georgia,McIntosh County,0,21,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,209,Georgia,Appling County,Georgia,Montgomery County,0,21,11,15,-11,15,11,15,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,215,Georgia,Appling County,Georgia,Muscogee County,0,21,70,71,-70,71,70,71,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,225,Georgia,Appling County,Georgia,Peach County,0,21,68,112,-68,112,68,112,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,229,Georgia,Appling County,Georgia,Pierce County,13,25,88,76,-75,84,101,75,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,245,Georgia,Appling County,Georgia,Richmond County,9,17,17,19,-8,25,26,25,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,247,Georgia,Appling County,Georgia,Rockdale County,82,73,0,31,82,73,82,73,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,267,Georgia,Appling County,Georgia,Tattnall County,0,21,26,24,-26,24,26,24,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,271,Georgia,Appling County,Georgia,Telfair County,7,13,0,21,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,277,Georgia,Appling County,Georgia,Tift County,0,21,34,42,-34,42,34,42,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,279,Georgia,Appling County,Georgia,Toombs County,106,132,0,25,106,132,106,132,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,283,Georgia,Appling County,Georgia,Treutlen County,0,21,19,29,-19,29,19,29,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,287,Georgia,Appling County,Georgia,Turner County,0,21,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,299,Georgia,Appling County,Georgia,Ware County,0,21,34,57,-34,57,34,57,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,303,Georgia,Appling County,Georgia,Washington County,0,21,10,16,-10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
013,001,013,305,Georgia,Appling County,Georgia,Wayne County,16,24,0,28,16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
013,001,032,031,Georgia,Appling County,Nevada,Washoe County,12,21,0,31,12,21,12,21,,,,,,,,,,,,,,,,,,,,,,,,
013,001,039,109,Georgia,Appling County,Ohio,Miami County,25,31,0,27,25,31,25,31,,,,,,,,,,,,,,,,,,,,,,,,
013,001,040,013,Georgia,Appling County,Oklahoma,Bryan County,16,18,0,21,16,18,16,18,,,,,,,,,,,,,,,,,,,,,,,,
013,001,045,007,Georgia,Appling County,South Carolina,Anderson County,0,21,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
013,001,045,013,Georgia,Appling County,South Carolina,Beaufort County,0,21,5,11,-5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
013,001,050,023,Georgia,Appling County,Vermont,Washington County,39,65,0,22,39,65,39,65,,,,,,,,,,,,,,,,,,,,,,,,
013,001,051,109,Georgia,Appling County,Virginia,Louisa County,0,21,41,64,-41,64,41,64,,,,,,,,,,,,,,,,,,,,,,,,
013,001,ASI,000,Georgia,Appling County,Asia,-,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,003,004,021,Georgia,Atkinson County,Arizona,Pinal County,10,15,0,30,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
013,003,012,069,Georgia,Atkinson County,Florida,Lake County,4,6,0,32,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
013,003,012,089,Georgia,Atkinson County,Florida,Nassau County,50,62,0,32,50,62,50,62,,,,,,,,,,,,,,,,,,,,,,,,
013,003,012,109,Georgia,Atkinson County,Florida,St. Johns County,20,30,0,32,20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,001,Georgia,Atkinson County,Georgia,Appling County,0,19,4,15,-4,15,4,15,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,005,Georgia,Atkinson County,Georgia,Bacon County,0,19,13,16,-13,16,13,16,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,011,Georgia,Atkinson County,Georgia,Banks County,0,19,10,16,-10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,015,Georgia,Atkinson County,Georgia,Bartow County,3,5,0,31,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,019,Georgia,Atkinson County,Georgia,Berrien County,0,19,19,25,-19,25,19,25,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,023,Georgia,Atkinson County,Georgia,Bleckley County,0,19,16,37,-16,37,16,37,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,025,Georgia,Atkinson County,Georgia,Brantley County,39,42,0,21,39,42,39,42,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,031,Georgia,Atkinson County,Georgia,Bulloch County,8,13,0,31,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,039,Georgia,Atkinson County,Georgia,Camden County,0,19,6,12,-6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,043,Georgia,Atkinson County,Georgia,Candler County,0,19,68,100,-68,100,68,100,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,059,Georgia,Atkinson County,Georgia,Clarke County,0,19,24,34,-24,34,24,34,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,063,Georgia,Atkinson County,Georgia,Clayton County,0,19,23,38,-23,38,23,38,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,065,Georgia,Atkinson County,Georgia,Clinch County,0,19,25,32,-25,32,25,32,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,069,Georgia,Atkinson County,Georgia,Coffee County,83,75,250,238,-167,248,333,252,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,075,Georgia,Atkinson County,Georgia,Cook County,10,15,0,21,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,129,Georgia,Atkinson County,Georgia,Gordon County,4,6,0,31,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,135,Georgia,Atkinson County,Georgia,Gwinnett County,7,12,0,31,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,155,Georgia,Atkinson County,Georgia,Irwin County,9,16,0,19,9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,161,Georgia,Atkinson County,Georgia,Jeff Davis County,3,5,0,21,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,185,Georgia,Atkinson County,Georgia,Lowndes County,4,6,19,32,-15,33,23,33,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,189,Georgia,Atkinson County,Georgia,McDuffie County,3,5,0,25,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
013,003,013,299,Georgia,Atkinson County,Georgia,Ware County,11,18,42,53,-31,56,53,56,,,,,,,,,,,,,,,,,,,,,,,,
013,003,017,031,Georgia,Atkinson County,Illinois,Cook County,18,27,0,27,18,27,18,27,,,,,,,,,,,,,,,,,,,,,,,,
013,003,021,093,Georgia,Atkinson County,Kentucky,Hardin County,0,19,40,62,-40,62,40,62,,,,,,,,,,,,,,,,,,,,,,,,
