Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
015,001,001,045,Hawaii,Hawaii County,Alabama,Dale County,0,27,24,35,-24,35,24,35,,,,,,,,,,,,,,,,,,,,,,,,
015,001,001,095,Hawaii,Hawaii County,Alabama,Marshall County,0,27,81,117,-81,117,81,117,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,020,Hawaii,Hawaii County,Alaska,Anchorage Municipality,6,9,59,77,-53,79,65,77,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,068,Hawaii,Hawaii County,Alaska,Denali Borough,1,5,0,9,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,090,Hawaii,Hawaii County,Alaska,Fairbanks North Star Borough,66,96,0,22,66,96,66,96,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,110,Hawaii,Hawaii County,Alaska,Juneau City and Borough,0,27,44,53,-44,53,44,53,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,122,Hawaii,Hawaii County,Alaska,Kenai Peninsula Borough,68,92,32,42,36,98,100,104,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,130,Hawaii,Hawaii County,Alaska,Ketchikan Gateway Borough,0,27,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,170,Hawaii,Hawaii County,Alaska,Matanuska-Susitna Borough,9,10,0,22,9,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,
015,001,002,180,Hawaii,Hawaii County,Alaska,Nome Census Area,0,27,10,14,-10,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,003,Hawaii,Hawaii County,Arizona,Cochise County,0,27,20,37,-20,37,20,37,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,005,Hawaii,Hawaii County,Arizona,Coconino County,0,27,106,173,-106,173,106,173,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,013,Hawaii,Hawaii County,Arizona,Maricopa County,12,21,233,131,-221,124,245,140,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,015,Hawaii,Hawaii County,Arizona,Mohave County,10,13,0,30,10,13,10,13,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,019,Hawaii,Hawaii County,Arizona,Pima County,61,67,17,26,44,73,78,71,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,021,Hawaii,Hawaii County,Arizona,Pinal County,12,23,39,29,-27,38,51,36,,,,,,,,,,,,,,,,,,,,,,,,
015,001,004,025,Hawaii,Hawaii County,Arizona,Yavapai County,20,31,36,62,-16,68,56,70,,,,,,,,,,,,,,,,,,,,,,,,
015,001,005,119,Hawaii,Hawaii County,Arkansas,Pulaski County,7,17,0,28,7,17,7,17,,,,,,,,,,,,,,,,,,,,,,,,
015,001,006,001,Hawaii,Hawaii County,California,Alameda County,76,66,31,31,45,72,107,74,,,,,,,,,,,,,,,,,,,,,,,,
