Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,001,Idaho,Ada County,Alabama,Autauga County,0,27,31,49,-31,49,31,49,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,007,Idaho,Ada County,Alabama,Bibb County,16,24,0,21,16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,045,Idaho,Ada County,Alabama,Dale County,0,27,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,073,Idaho,Ada County,Alabama,Jefferson County,25,41,0,27,25,41,25,41,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,123,Idaho,Ada County,Alabama,Tallapoosa County,0,27,22,27,-22,27,22,27,,,,,,,,,,,,,,,,,,,,,,,,
016,001,001,125,Idaho,Ada County,Alabama,Tuscaloosa County,0,27,25,37,-25,37,25,37,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,020,Idaho,Ada County,Alaska,Anchorage Municipality,417,445,86,105,331,459,503,455,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,070,Idaho,Ada County,Alaska,Dillingham Census Area,0,27,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,090,Idaho,Ada County,Alaska,Fairbanks North Star Borough,25,35,17,21,8,41,42,41,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,100,Idaho,Ada County,Alaska,Haines Borough,27,42,0,9,27,42,27,42,,,,,,,,,,,,,,,,,,,,,,,,
016,001,002,110,Idaho,Ada County,Alaska,Juneau City and Borough,486,477,61,57,425,480,547,481,,,,,,,,,,,,,,,,,,,,,,,,
