Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
018,001,001,073,Indiana,Adams County,Alabama,Jefferson County,8,15,0,27,8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
018,001,002,020,Indiana,Adams County,Alaska,Anchorage Municipality,8,14,0,22,8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
018,001,004,013,Indiana,Adams County,Arizona,Maricopa County,0,24,36,44,-36,44,36,44,,,,,,,,,,,,,,,,,,,,,,,,
018,001,005,007,Indiana,Adams County,Arkansas,Benton County,0,24,27,42,-27,42,27,42,,,,,,,,,,,,,,,,,,,,,,,,
018,001,006,037,Indiana,Adams County,California,Los Angeles County,5,10,0,29,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
018,001,006,071,Indiana,Adams County,California,San Bernardino County,0,24,49,89,-49,89,49,89,,,,,,,,,,,,,,,,,,,,,,,,
018,001,006,083,Indiana,Adams County,California,Santa Barbara County,0,24,45,67,-45,67,45,67,,,,,,,,,,,,,,,,,,,,,,,,
018,001,012,009,Indiana,Adams County,Florida,Brevard County,0,24,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
018,001,013,053,Indiana,Adams County,Georgia,Chattahoochee County,0,24,13,17,-13,17,13,17,,,,,,,,,,,,,,,,,,,,,,,,
018,001,017,119,Indiana,Adams County,Illinois,Madison County,0,24,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
018,001,018,003,Indiana,Adams County,Indiana,Allen County,147,81,270,124,-123,147,417,150,,,,,,,,,,,,,,,,,,,,,,,,
018,001,018,005,Indiana,Adams County,Indiana,Bartholomew County,63,133,0,27,63,133,63,133,,,,,,,,,,,,,,,,,,,,,,,,
018,001,018,009,Indiana,Adams County,Indiana,Blackford County,0,24,36,42,-36,42,36,42,,,,,,,,,,,,,,,,,,,,,,,,
018,001,018,017,Indiana,Adams County,Indiana,Cass County,0,24,14,24,-14,24,14,24,,,,,,,,,,,,,,,,,,,,,,,,
