Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
020,001,008,071,Kansas,Allen County,Colorado,Las Animas County,4,6,0,19,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
020,001,012,049,Kansas,Allen County,Florida,Hardee County,4,9,0,25,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
020,001,018,131,Kansas,Allen County,Indiana,Pulaski County,4,9,0,18,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,003,Kansas,Allen County,Kansas,Anderson County,56,40,58,67,-2,77,114,78,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,005,Kansas,Allen County,Kansas,Atchison County,0,16,106,150,-106,150,106,150,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,007,Kansas,Allen County,Kansas,Barber County,0,16,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,011,Kansas,Allen County,Kansas,Bourbon County,14,22,4,6,10,23,18,22,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,013,Kansas,Allen County,Kansas,Brown County,0,16,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,015,Kansas,Allen County,Kansas,Butler County,26,37,0,24,26,37,26,37,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,017,Kansas,Allen County,Kansas,Chase County,0,16,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,021,Kansas,Allen County,Kansas,Cherokee County,4,8,0,19,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,025,Kansas,Allen County,Kansas,Clark County,4,9,0,10,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,027,Kansas,Allen County,Kansas,Clay County,0,16,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,031,Kansas,Allen County,Kansas,Coffey County,0,16,56,34,-56,34,56,34,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,035,Kansas,Allen County,Kansas,Cowley County,0,16,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,037,Kansas,Allen County,Kansas,Crawford County,2,4,146,141,-144,141,148,142,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,039,Kansas,Allen County,Kansas,Decatur County,0,16,5,8,-5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
020,001,020,041,Kansas,Allen County,Kansas,Dickinson County,0,16,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
