Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
021,001,001,031,Kentucky,Adair County,Alabama,Coffee County,0,18,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
021,001,001,073,Kentucky,Adair County,Alabama,Jefferson County,0,18,101,158,-101,158,101,158,,,,,,,,,,,,,,,,,,,,,,,,
021,001,001,097,Kentucky,Adair County,Alabama,Mobile County,0,18,17,24,-17,24,17,24,,,,,,,,,,,,,,,,,,,,,,,,
021,001,001,119,Kentucky,Adair County,Alabama,Sumter County,0,18,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
021,001,004,027,Kentucky,Adair County,Arizona,Yuma County,1,2,0,30,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
021,001,005,043,Kentucky,Adair County,Arkansas,Drew County,0,18,25,44,-25,44,25,44,,,,,,,,,,,,,,,,,,,,,,,,
021,001,005,049,Kentucky,Adair County,Arkansas,Fulton County,0,18,32,43,-32,43,32,43,,,,,,,,,,,,,,,,,,,,,,,,
021,001,006,037,Kentucky,Adair County,California,Los Angeles County,0,18,44,73,-44,73,44,73,,,,,,,,,,,,,,,,,,,,,,,,
021,001,011,001,Kentucky,Adair County,District of Columbia,District of Columbia,33,52,0,29,33,52,33,52,,,,,,,,,,,,,,,,,,,,,,,,
021,001,012,099,Kentucky,Adair County,Florida,Palm Beach County,20,56,0,32,20,56,20,56,,,,,,,,,,,,,,,,,,,,,,,,
021,001,012,101,Kentucky,Adair County,Florida,Pasco County,3,6,0,32,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
021,001,013,047,Kentucky,Adair County,Georgia,Catoosa County,8,13,0,31,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
021,001,017,197,Kentucky,Adair County,Illinois,Will County,27,41,0,27,27,41,27,41,,,,,,,,,,,,,,,,,,,,,,,,
021,001,018,047,Kentucky,Adair County,Indiana,Franklin County,6,12,0,21,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
021,001,018,069,Kentucky,Adair County,Indiana,Huntington County,0,18,59,91,-59,91,59,91,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,003,Kentucky,Adair County,Kentucky,Allen County,22,28,0,21,22,28,22,28,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,005,Kentucky,Adair County,Kentucky,Anderson County,10,16,0,21,10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,007,Kentucky,Adair County,Kentucky,Ballard County,0,18,17,23,-17,23,17,23,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,009,Kentucky,Adair County,Kentucky,Barren County,87,72,13,22,74,70,100,79,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,013,Kentucky,Adair County,Kentucky,Bell County,3,6,0,21,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,021,Kentucky,Adair County,Kentucky,Boyle County,12,28,0,21,12,28,12,28,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,029,Kentucky,Adair County,Kentucky,Bullitt County,5,8,0,27,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,045,Kentucky,Adair County,Kentucky,Casey County,0,18,8,14,-8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,049,Kentucky,Adair County,Kentucky,Clark County,17,27,0,24,17,27,17,27,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,057,Kentucky,Adair County,Kentucky,Cumberland County,12,20,85,113,-73,114,97,115,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,059,Kentucky,Adair County,Kentucky,Daviess County,12,18,10,18,2,21,22,30,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,067,Kentucky,Adair County,Kentucky,Fayette County,28,39,143,88,-115,91,171,101,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,079,Kentucky,Adair County,Kentucky,Garrard County,3,9,0,18,3,9,3,9,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,087,Kentucky,Adair County,Kentucky,Green County,79,106,8,16,71,108,87,107,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,093,Kentucky,Adair County,Kentucky,Hardin County,3,7,102,57,-99,57,105,57,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,095,Kentucky,Adair County,Kentucky,Harlan County,2,4,0,21,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,097,Kentucky,Adair County,Kentucky,Harrison County,4,7,0,18,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,099,Kentucky,Adair County,Kentucky,Hart County,22,29,0,18,22,29,22,29,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,101,Kentucky,Adair County,Kentucky,Henderson County,0,18,18,30,-18,30,18,30,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,107,Kentucky,Adair County,Kentucky,Hopkins County,33,55,0,24,33,55,33,55,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,111,Kentucky,Adair County,Kentucky,Jefferson County,58,39,49,39,9,57,107,55,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,117,Kentucky,Adair County,Kentucky,Kenton County,4,7,0,27,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,123,Kentucky,Adair County,Kentucky,Larue County,12,17,0,18,12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
