Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
023,001,001,003,Maine,Androscoggin County,Alabama,Baldwin County,0,23,10,18,-10,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,
023,001,001,081,Maine,Androscoggin County,Alabama,Lee County,0,23,14,22,-14,22,14,22,,,,,,,,,,,,,,,,,,,,,,,,
023,001,001,097,Maine,Androscoggin County,Alabama,Mobile County,22,24,39,49,-17,56,61,54,,,,,,,,,,,,,,,,,,,,,,,,
023,001,001,101,Maine,Androscoggin County,Alabama,Montgomery County,0,23,8,12,-8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
023,001,001,125,Maine,Androscoggin County,Alabama,Tuscaloosa County,33,51,0,27,33,51,33,51,,,,,,,,,,,,,,,,,,,,,,,,
023,001,002,020,Maine,Androscoggin County,Alaska,Anchorage Municipality,0,23,8,19,-8,19,8,19,,,,,,,,,,,,,,,,,,,,,,,,
023,001,002,090,Maine,Androscoggin County,Alaska,Fairbanks North Star Borough,11,24,0,22,11,24,11,24,,,,,,,,,,,,,,,,,,,,,,,,
023,001,004,003,Maine,Androscoggin County,Arizona,Cochise County,71,106,0,30,71,106,71,106,,,,,,,,,,,,,,,,,,,,,,,,
023,001,004,017,Maine,Androscoggin County,Arizona,Navajo County,1,3,0,30,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,037,Maine,Androscoggin County,California,Los Angeles County,24,44,0,29,24,44,24,44,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,059,Maine,Androscoggin County,California,Orange County,10,15,0,29,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,061,Maine,Androscoggin County,California,Placer County,0,23,16,25,-16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,067,Maine,Androscoggin County,California,Sacramento County,10,16,59,88,-49,89,69,90,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,071,Maine,Androscoggin County,California,San Bernardino County,13,21,0,29,13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,073,Maine,Androscoggin County,California,San Diego County,0,23,87,142,-87,142,87,142,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,077,Maine,Androscoggin County,California,San Joaquin County,30,47,0,29,30,47,30,47,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,085,Maine,Androscoggin County,California,Santa Clara County,50,80,0,29,50,80,50,80,,,,,,,,,,,,,,,,,,,,,,,,
023,001,006,097,Maine,Androscoggin County,California,Sonoma County,0,23,16,26,-16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
023,001,008,005,Maine,Androscoggin County,Colorado,Arapahoe County,22,23,0,28,22,23,22,23,,,,,,,,,,,,,,,,,,,,,,,,
023,001,008,037,Maine,Androscoggin County,Colorado,Eagle County,0,23,16,26,-16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
023,001,008,069,Maine,Androscoggin County,Colorado,Larimer County,2,4,0,28,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
023,001,009,001,Maine,Androscoggin County,Connecticut,Fairfield County,35,33,22,36,13,50,57,49,,,,,,,,,,,,,,,,,,,,,,,,
023,001,009,003,Maine,Androscoggin County,Connecticut,Hartford County,50,41,0,28,50,41,50,41,,,,,,,,,,,,,,,,,,,,,,,,
023,001,009,009,Maine,Androscoggin County,Connecticut,New Haven County,40,38,0,28,40,38,40,38,,,,,,,,,,,,,,,,,,,,,,,,
023,001,009,011,Maine,Androscoggin County,Connecticut,New London County,0,23,41,66,-41,66,41,66,,,,,,,,,,,,,,,,,,,,,,,,
023,001,011,001,Maine,Androscoggin County,District of Columbia,District of Columbia,22,26,0,29,22,26,22,26,,,,,,,,,,,,,,,,,,,,,,,,
