Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
025,001,001,003,Massachusetts,Barnstable County,Alabama,Baldwin County,9,14,20,33,-11,35,29,36,,,,,,,,,,,,,,,,,,,,,,,,
025,001,001,097,Massachusetts,Barnstable County,Alabama,Mobile County,128,186,0,27,128,186,128,186,,,,,,,,,,,,,,,,,,,,,,,,
025,001,001,109,Massachusetts,Barnstable County,Alabama,Pike County,0,29,10,17,-10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
025,001,002,130,Massachusetts,Barnstable County,Alaska,Ketchikan Gateway Borough,242,208,0,15,242,208,242,208,,,,,,,,,,,,,,,,,,,,,,,,
025,001,002,150,Massachusetts,Barnstable County,Alaska,Kodiak Island Borough,38,44,0,15,38,44,38,44,,,,,,,,,,,,,,,,,,,,,,,,
025,001,004,013,Massachusetts,Barnstable County,Arizona,Maricopa County,21,24,0,30,21,24,21,24,,,,,,,,,,,,,,,,,,,,,,,,
025,001,004,019,Massachusetts,Barnstable County,Arizona,Pima County,50,55,0,30,50,55,50,55,,,,,,,,,,,,,,,,,,,,,,,,
025,001,004,021,Massachusetts,Barnstable County,Arizona,Pinal County,0,29,27,41,-27,41,27,41,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,001,Massachusetts,Barnstable County,California,Alameda County,117,135,0,29,117,135,117,135,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,037,Massachusetts,Barnstable County,California,Los Angeles County,70,87,30,27,40,90,100,92,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,045,Massachusetts,Barnstable County,California,Mendocino County,9,15,0,29,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,059,Massachusetts,Barnstable County,California,Orange County,32,29,0,29,32,29,32,29,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,061,Massachusetts,Barnstable County,California,Placer County,31,48,0,29,31,48,31,48,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,065,Massachusetts,Barnstable County,California,Riverside County,0,29,12,21,-12,21,12,21,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,067,Massachusetts,Barnstable County,California,Sacramento County,13,21,0,29,13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,071,Massachusetts,Barnstable County,California,San Bernardino County,210,321,0,29,210,321,210,321,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,073,Massachusetts,Barnstable County,California,San Diego County,101,92,0,29,101,92,101,92,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,079,Massachusetts,Barnstable County,California,San Luis Obispo County,0,29,19,33,-19,33,19,33,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,081,Massachusetts,Barnstable County,California,San Mateo County,0,29,31,51,-31,51,31,51,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,083,Massachusetts,Barnstable County,California,Santa Barbara County,0,29,38,62,-38,62,38,62,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,085,Massachusetts,Barnstable County,California,Santa Clara County,10,17,15,26,-5,31,25,30,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,097,Massachusetts,Barnstable County,California,Sonoma County,0,29,75,71,-75,71,75,71,,,,,,,,,,,,,,,,,,,,,,,,
025,001,006,111,Massachusetts,Barnstable County,California,Ventura County,0,29,17,25,-17,25,17,25,,,,,,,,,,,,,,,,,,,,,,,,
025,001,008,001,Massachusetts,Barnstable County,Colorado,Adams County,8,20,0,28,8,20,8,20,,,,,,,,,,,,,,,,,,,,,,,,
025,001,008,013,Massachusetts,Barnstable County,Colorado,Boulder County,0,29,7,13,-7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
025,001,008,031,Massachusetts,Barnstable County,Colorado,Denver County,0,29,23,31,-23,31,23,31,,,,,,,,,,,,,,,,,,,,,,,,
025,001,008,035,Massachusetts,Barnstable County,Colorado,Douglas County,0,29,27,43,-27,43,27,43,,,,,,,,,,,,,,,,,,,,,,,,
025,001,008,041,Massachusetts,Barnstable County,Colorado,El Paso County,0,29,19,31,-19,31,19,31,,,,,,,,,,,,,,,,,,,,,,,,
025,001,008,069,Massachusetts,Barnstable County,Colorado,Larimer County,32,50,0,28,32,50,32,50,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,001,Massachusetts,Barnstable County,Connecticut,Fairfield County,86,70,44,49,42,82,130,89,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,003,Massachusetts,Barnstable County,Connecticut,Hartford County,97,83,38,47,59,94,135,95,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,005,Massachusetts,Barnstable County,Connecticut,Litchfield County,18,28,0,28,18,28,18,28,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,007,Massachusetts,Barnstable County,Connecticut,Middlesex County,0,29,12,19,-12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,009,Massachusetts,Barnstable County,Connecticut,New Haven County,57,62,21,25,36,69,78,65,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,011,Massachusetts,Barnstable County,Connecticut,New London County,51,47,4,8,47,47,55,49,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,013,Massachusetts,Barnstable County,Connecticut,Tolland County,9,14,27,32,-18,35,36,36,,,,,,,,,,,,,,,,,,,,,,,,
025,001,009,015,Massachusetts,Barnstable County,Connecticut,Windham County,5,10,4,8,1,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
025,001,010,003,Massachusetts,Barnstable County,Delaware,New Castle County,0,29,16,17,-16,17,16,17,,,,,,,,,,,,,,,,,,,,,,,,
