Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
027,001,001,117,Minnesota,Aitkin County,Alabama,Shelby County,2,4,0,27,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,002,020,Minnesota,Aitkin County,Alaska,Anchorage Municipality,1,2,0,22,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
027,001,004,013,Minnesota,Aitkin County,Arizona,Maricopa County,0,14,17,28,-17,28,17,28,,,,,,,,,,,,,,,,,,,,,,,,
027,001,006,037,Minnesota,Aitkin County,California,Los Angeles County,7,5,0,29,7,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,
027,001,011,001,Minnesota,Aitkin County,District of Columbia,District of Columbia,1,3,0,29,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
027,001,013,157,Minnesota,Aitkin County,Georgia,Jackson County,1,2,0,31,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
027,001,015,003,Minnesota,Aitkin County,Hawaii,Honolulu County,16,20,0,27,16,20,16,20,,,,,,,,,,,,,,,,,,,,,,,,
027,001,017,031,Minnesota,Aitkin County,Illinois,Cook County,2,4,0,27,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,017,089,Minnesota,Aitkin County,Illinois,Kane County,1,2,0,27,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
027,001,018,057,Minnesota,Aitkin County,Indiana,Hamilton County,10,13,0,27,10,13,10,13,,,,,,,,,,,,,,,,,,,,,,,,
027,001,018,183,Minnesota,Aitkin County,Indiana,Whitley County,1,3,0,24,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
027,001,022,057,Minnesota,Aitkin County,Louisiana,Lafourche Parish,4,8,0,28,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
027,001,023,029,Minnesota,Aitkin County,Maine,Washington County,3,5,0,21,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,003,Minnesota,Aitkin County,Minnesota,Anoka County,43,20,9,14,34,27,52,21,,,,,,,,,,,,,,,,,,,,,,,,
