Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
029,001,004,003,Missouri,Adair County,Arizona,Cochise County,28,44,0,30,28,44,28,44,,,,,,,,,,,,,,,,,,,,,,,,
029,001,004,019,Missouri,Adair County,Arizona,Pima County,7,13,0,30,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
029,001,005,119,Missouri,Adair County,Arkansas,Pulaski County,21,38,0,28,21,38,21,38,,,,,,,,,,,,,,,,,,,,,,,,
029,001,006,059,Missouri,Adair County,California,Orange County,19,33,0,29,19,33,19,33,,,,,,,,,,,,,,,,,,,,,,,,
029,001,006,073,Missouri,Adair County,California,San Diego County,0,20,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
029,001,006,113,Missouri,Adair County,California,Yolo County,79,104,0,29,79,104,79,104,,,,,,,,,,,,,,,,,,,,,,,,
029,001,008,003,Missouri,Adair County,Colorado,Alamosa County,10,20,0,19,10,20,10,20,,,,,,,,,,,,,,,,,,,,,,,,
029,001,008,051,Missouri,Adair County,Colorado,Gunnison County,0,20,13,22,-13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
029,001,008,069,Missouri,Adair County,Colorado,Larimer County,6,14,0,28,6,14,6,14,,,,,,,,,,,,,,,,,,,,,,,,
029,001,008,123,Missouri,Adair County,Colorado,Weld County,0,20,13,20,-13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
029,001,012,031,Missouri,Adair County,Florida,Duval County,9,14,0,32,9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
029,001,013,067,Missouri,Adair County,Georgia,Cobb County,15,30,0,31,15,30,15,30,,,,,,,,,,,,,,,,,,,,,,,,
029,001,013,135,Missouri,Adair County,Georgia,Gwinnett County,0,20,10,22,-10,22,10,22,,,,,,,,,,,,,,,,,,,,,,,,
029,001,015,003,Missouri,Adair County,Hawaii,Honolulu County,34,45,0,27,34,45,34,45,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,001,Missouri,Adair County,Illinois,Adams County,7,13,0,27,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,011,Missouri,Adair County,Illinois,Bureau County,13,21,0,24,13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,019,Missouri,Adair County,Illinois,Champaign County,0,20,31,32,-31,32,31,32,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,021,Missouri,Adair County,Illinois,Christian County,38,58,0,24,38,58,38,58,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,031,Missouri,Adair County,Illinois,Cook County,40,39,51,66,-11,76,91,77,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,043,Missouri,Adair County,Illinois,DuPage County,39,46,0,27,39,46,39,46,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,077,Missouri,Adair County,Illinois,Jackson County,0,20,34,55,-34,55,34,55,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,085,Missouri,Adair County,Illinois,Jo Daviess County,17,24,0,21,17,24,17,24,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,091,Missouri,Adair County,Illinois,Kankakee County,16,23,0,27,16,23,16,23,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,097,Missouri,Adair County,Illinois,Lake County,7,14,0,27,7,14,7,14,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,109,Missouri,Adair County,Illinois,McDonough County,38,46,0,24,38,46,38,46,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,111,Missouri,Adair County,Illinois,McHenry County,32,31,0,27,32,31,32,31,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,113,Missouri,Adair County,Illinois,McLean County,0,20,37,73,-37,73,37,73,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,121,Missouri,Adair County,Illinois,Marion County,16,24,0,24,16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,133,Missouri,Adair County,Illinois,Monroe County,0,20,6,11,-6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,135,Missouri,Adair County,Illinois,Montgomery County,3,7,0,21,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,141,Missouri,Adair County,Illinois,Ogle County,3,8,0,27,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,143,Missouri,Adair County,Illinois,Peoria County,21,33,0,27,21,33,21,33,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,163,Missouri,Adair County,Illinois,St. Clair County,49,53,0,27,49,53,49,53,,,,,,,,,,,,,,,,,,,,,,,,
029,001,017,201,Missouri,Adair County,Illinois,Winnebago County,11,22,0,27,11,22,11,22,,,,,,,,,,,,,,,,,,,,,,,,
029,001,018,021,Missouri,Adair County,Indiana,Clay County,3,6,0,21,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
029,001,018,053,Missouri,Adair County,Indiana,Grant County,16,27,0,27,16,27,16,27,,,,,,,,,,,,,,,,,,,,,,,,
029,001,018,127,Missouri,Adair County,Indiana,Porter County,11,17,0,27,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,007,Missouri,Adair County,Iowa,Appanoose County,0,20,10,16,-10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,011,Missouri,Adair County,Iowa,Benton County,15,30,0,18,15,30,15,30,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,043,Missouri,Adair County,Iowa,Clayton County,19,20,0,16,19,20,19,20,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,049,Missouri,Adair County,Iowa,Dallas County,7,14,0,23,7,14,7,14,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,087,Missouri,Adair County,Iowa,Henry County,13,19,0,18,13,19,13,19,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,097,Missouri,Adair County,Iowa,Jackson County,20,27,0,16,20,27,20,27,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,105,Missouri,Adair County,Iowa,Jones County,0,20,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,125,Missouri,Adair County,Iowa,Marion County,0,20,10,16,-10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,137,Missouri,Adair County,Iowa,Montgomery County,7,15,0,16,7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,153,Missouri,Adair County,Iowa,Polk County,75,73,26,40,49,84,101,84,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,155,Missouri,Adair County,Iowa,Pottawattamie County,0,20,4,5,-4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,157,Missouri,Adair County,Iowa,Poweshiek County,0,20,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,163,Missouri,Adair County,Iowa,Scott County,22,33,0,23,22,33,22,33,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,165,Missouri,Adair County,Iowa,Shelby County,27,31,0,16,27,31,27,31,,,,,,,,,,,,,,,,,,,,,,,,
029,001,019,169,Missouri,Adair County,Iowa,Story County,16,30,0,23,16,30,16,30,,,,,,,,,,,,,,,,,,,,,,,,
029,001,020,025,Missouri,Adair County,Kansas,Clark County,0,20,23,34,-23,34,23,34,,,,,,,,,,,,,,,,,,,,,,,,
