Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
032,001,001,051,Nevada,Churchill County,Alabama,Elmore County,0,25,44,57,-44,57,44,57,,,,,,,,,,,,,,,,,,,,,,,,
032,001,002,013,Nevada,Churchill County,Alaska,Aleutians East Borough,0,25,6,13,-6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
032,001,002,016,Nevada,Churchill County,Alaska,Aleutians West Census Area,0,25,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
032,001,002,195,Nevada,Churchill County,Alaska,Petersburg Census Area,0,25,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
032,001,004,001,Nevada,Churchill County,Arizona,Apache County,19,36,10,16,9,40,29,39,,,,,,,,,,,,,,,,,,,,,,,,
032,001,004,013,Nevada,Churchill County,Arizona,Maricopa County,10,18,92,99,-82,100,102,101,,,,,,,,,,,,,,,,,,,,,,,,
032,001,004,025,Nevada,Churchill County,Arizona,Yavapai County,46,73,0,30,46,73,46,73,,,,,,,,,,,,,,,,,,,,,,,,
032,001,005,025,Nevada,Churchill County,Arkansas,Cleveland County,3,5,0,17,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
032,001,005,069,Nevada,Churchill County,Arkansas,Jefferson County,2,4,0,28,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,001,Nevada,Churchill County,California,Alameda County,43,64,0,29,43,64,43,64,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,013,Nevada,Churchill County,California,Contra Costa County,7,12,25,43,-18,45,32,43,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,017,Nevada,Churchill County,California,El Dorado County,0,25,21,33,-21,33,21,33,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,027,Nevada,Churchill County,California,Inyo County,28,45,0,19,28,45,28,45,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,029,Nevada,Churchill County,California,Kern County,3,5,0,29,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,031,Nevada,Churchill County,California,Kings County,52,57,0,29,52,57,52,57,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,035,Nevada,Churchill County,California,Lassen County,87,139,4,7,83,139,91,139,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,037,Nevada,Churchill County,California,Los Angeles County,0,25,15,23,-15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,059,Nevada,Churchill County,California,Orange County,19,30,0,29,19,30,19,30,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,061,Nevada,Churchill County,California,Placer County,37,60,0,29,37,60,37,60,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,067,Nevada,Churchill County,California,Sacramento County,14,27,0,29,14,27,14,27,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,073,Nevada,Churchill County,California,San Diego County,90,69,21,38,69,80,111,78,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,075,Nevada,Churchill County,California,San Francisco County,17,26,0,29,17,26,17,26,,,,,,,,,,,,,,,,,,,,,,,,
032,001,006,111,Nevada,Churchill County,California,Ventura County,57,81,0,29,57,81,57,81,,,,,,,,,,,,,,,,,,,,,,,,
032,001,012,011,Nevada,Churchill County,Florida,Broward County,37,59,0,32,37,59,37,59,,,,,,,,,,,,,,,,,,,,,,,,
032,001,012,031,Nevada,Churchill County,Florida,Duval County,9,12,0,32,9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
032,001,012,033,Nevada,Churchill County,Florida,Escambia County,4,9,0,32,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
032,001,012,095,Nevada,Churchill County,Florida,Orange County,14,23,0,32,14,23,14,23,,,,,,,,,,,,,,,,,,,,,,,,
