Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
033,001,004,025,New Hampshire,Belknap County,Arizona,Yavapai County,9,14,0,30,9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
033,001,006,041,New Hampshire,Belknap County,California,Marin County,58,72,0,29,58,72,58,72,,,,,,,,,,,,,,,,,,,,,,,,
033,001,006,071,New Hampshire,Belknap County,California,San Bernardino County,10,16,0,29,10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
033,001,006,077,New Hampshire,Belknap County,California,San Joaquin County,0,27,20,31,-20,31,20,31,,,,,,,,,,,,,,,,,,,,,,,,
033,001,006,083,New Hampshire,Belknap County,California,Santa Barbara County,63,75,0,29,63,75,63,75,,,,,,,,,,,,,,,,,,,,,,,,
033,001,006,085,New Hampshire,Belknap County,California,Santa Clara County,11,17,0,29,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
033,001,006,111,New Hampshire,Belknap County,California,Ventura County,0,27,4,10,-4,10,4,10,,,,,,,,,,,,,,,,,,,,,,,,
033,001,008,051,New Hampshire,Belknap County,Colorado,Gunnison County,26,41,0,19,26,41,26,41,,,,,,,,,,,,,,,,,,,,,,,,
033,001,008,123,New Hampshire,Belknap County,Colorado,Weld County,0,27,7,11,-7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
033,001,009,001,New Hampshire,Belknap County,Connecticut,Fairfield County,5,12,13,22,-8,24,18,25,,,,,,,,,,,,,,,,,,,,,,,,
033,001,009,009,New Hampshire,Belknap County,Connecticut,New Haven County,9,13,2,4,7,14,11,14,,,,,,,,,,,,,,,,,,,,,,,,
