Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
034,001,001,061,New Jersey,Atlantic County,Alabama,Geneva County,0,28,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
034,001,001,067,New Jersey,Atlantic County,Alabama,Henry County,0,28,14,32,-14,32,14,32,,,,,,,,,,,,,,,,,,,,,,,,
034,001,001,081,New Jersey,Atlantic County,Alabama,Lee County,33,45,0,27,33,45,33,45,,,,,,,,,,,,,,,,,,,,,,,,
034,001,001,097,New Jersey,Atlantic County,Alabama,Mobile County,42,64,0,27,42,64,42,64,,,,,,,,,,,,,,,,,,,,,,,,
034,001,002,122,New Jersey,Atlantic County,Alaska,Kenai Peninsula Borough,68,107,11,13,57,108,79,108,,,,,,,,,,,,,,,,,,,,,,,,
034,001,002,150,New Jersey,Atlantic County,Alaska,Kodiak Island Borough,0,28,4,6,-4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
034,001,004,013,New Jersey,Atlantic County,Arizona,Maricopa County,45,51,17,15,28,55,62,51,,,,,,,,,,,,,,,,,,,,,,,,
034,001,004,019,New Jersey,Atlantic County,Arizona,Pima County,0,28,19,31,-19,31,19,31,,,,,,,,,,,,,,,,,,,,,,,,
034,001,005,119,New Jersey,Atlantic County,Arkansas,Pulaski County,6,9,0,28,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
034,001,006,001,New Jersey,Atlantic County,California,Alameda County,0,28,25,41,-25,41,25,41,,,,,,,,,,,,,,,,,,,,,,,,
034,001,006,029,New Jersey,Atlantic County,California,Kern County,16,28,0,29,16,28,16,28,,,,,,,,,,,,,,,,,,,,,,,,
034,001,006,037,New Jersey,Atlantic County,California,Los Angeles County,12,19,39,45,-27,49,51,49,,,,,,,,,,,,,,,,,,,,,,,,
034,001,006,065,New Jersey,Atlantic County,California,Riverside County,8,13,9,14,-1,19,17,19,,,,,,,,,,,,,,,,,,,,,,,,
034,001,006,071,New Jersey,Atlantic County,California,San Bernardino County,0,28,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
034,001,006,073,New Jersey,Atlantic County,California,San Diego County,47,50,34,34,13,67,81,52,,,,,,,,,,,,,,,,,,,,,,,,
