Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,031,New Mexico,Bernalillo County,Alabama,Coffee County,0,28,40,66,-40,66,40,66,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,043,New Mexico,Bernalillo County,Alabama,Cullman County,86,135,0,27,86,135,86,135,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,045,New Mexico,Bernalillo County,Alabama,Dale County,119,105,0,24,119,105,119,105,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,047,New Mexico,Bernalillo County,Alabama,Dallas County,0,28,99,128,-99,128,99,128,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,081,New Mexico,Bernalillo County,Alabama,Lee County,0,28,32,50,-32,50,32,50,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,089,New Mexico,Bernalillo County,Alabama,Madison County,0,28,137,197,-137,197,137,197,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,095,New Mexico,Bernalillo County,Alabama,Marshall County,20,26,0,27,20,26,20,26,,,,,,,,,,,,,,,,,,,,,,,,
035,001,001,101,New Mexico,Bernalillo County,Alabama,Montgomery County,39,60,94,146,-55,158,133,159,,,,,,,,,,,,,,,,,,,,,,,,
035,001,002,020,New Mexico,Bernalillo County,Alaska,Anchorage Municipality,175,154,0,22,175,154,175,154,,,,,,,,,,,,,,,,,,,,,,,,
035,001,002,090,New Mexico,Bernalillo County,Alaska,Fairbanks North Star Borough,61,75,0,22,61,75,61,75,,,,,,,,,,,,,,,,,,,,,,,,
035,001,002,122,New Mexico,Bernalillo County,Alaska,Kenai Peninsula Borough,0,28,27,46,-27,46,27,46,,,,,,,,,,,,,,,,,,,,,,,,
035,001,002,180,New Mexico,Bernalillo County,Alaska,Nome Census Area,10,16,0,13,10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,001,New Mexico,Bernalillo County,Arizona,Apache County,268,213,72,111,196,250,340,230,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,003,New Mexico,Bernalillo County,Arizona,Cochise County,26,43,4,7,22,43,30,44,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,005,New Mexico,Bernalillo County,Arizona,Coconino County,77,76,54,57,23,98,131,91,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,007,New Mexico,Bernalillo County,Arizona,Gila County,13,22,13,18,0,29,26,27,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,009,New Mexico,Bernalillo County,Arizona,Graham County,36,44,14,21,22,49,50,49,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,013,New Mexico,Bernalillo County,Arizona,Maricopa County,974,600,860,304,114,708,"1,834",635,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,015,New Mexico,Bernalillo County,Arizona,Mohave County,15,27,4,9,11,29,19,29,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,017,New Mexico,Bernalillo County,Arizona,Navajo County,96,60,192,143,-96,156,288,154,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,019,New Mexico,Bernalillo County,Arizona,Pima County,376,239,295,136,81,294,671,254,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,021,New Mexico,Bernalillo County,Arizona,Pinal County,61,80,208,248,-147,262,269,258,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,025,New Mexico,Bernalillo County,Arizona,Yavapai County,84,74,16,34,68,80,100,83,,,,,,,,,,,,,,,,,,,,,,,,
035,001,004,027,New Mexico,Bernalillo County,Arizona,Yuma County,159,112,24,30,135,116,183,117,,,,,,,,,,,,,,,,,,,,,,,,
035,001,005,009,New Mexico,Bernalillo County,Arkansas,Boone County,21,31,0,25,21,31,21,31,,,,,,,,,,,,,,,,,,,,,,,,
035,001,005,081,New Mexico,Bernalillo County,Arkansas,Little River County,8,13,0,19,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
035,001,005,131,New Mexico,Bernalillo County,Arkansas,Sebastian County,31,53,0,28,31,53,31,53,,,,,,,,,,,,,,,,,,,,,,,,
035,001,005,143,New Mexico,Bernalillo County,Arkansas,Washington County,0,28,52,47,-52,47,52,47,,,,,,,,,,,,,,,,,,,,,,,,
035,001,006,001,New Mexico,Bernalillo County,California,Alameda County,173,154,90,72,83,171,263,168,,,,,,,,,,,,,,,,,,,,,,,,
035,001,006,007,New Mexico,Bernalillo County,California,Butte County,0,28,74,116,-74,116,74,116,,,,,,,,,,,,,,,,,,,,,,,,
035,001,006,013,New Mexico,Bernalillo County,California,Contra Costa County,113,101,59,82,54,128,172,132,,,,,,,,,,,,,,,,,,,,,,,,
035,001,006,017,New Mexico,Bernalillo County,California,El Dorado County,51,80,4,7,47,81,55,80,,,,,,,,,,,,,,,,,,,,,,,,
035,001,006,019,New Mexico,Bernalillo County,California,Fresno County,115,130,36,45,79,153,151,120,,,,,,,,,,,,,,,,,,,,,,,,
035,001,006,023,New Mexico,Bernalillo County,California,Humboldt County,9,18,0,29,9,18,9,18,,,,,,,,,,,,,,,,,,,,,,,,
