Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
036,001,001,061,New York,Albany County,Alabama,Geneva County,6,9,0,21,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
036,001,001,081,New York,Albany County,Alabama,Lee County,0,28,15,23,-15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
036,001,002,020,New York,Albany County,Alaska,Anchorage Municipality,24,39,0,22,24,39,24,39,,,,,,,,,,,,,,,,,,,,,,,,
036,001,002,050,New York,Albany County,Alaska,Bethel Census Area,0,28,11,19,-11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
036,001,002,170,New York,Albany County,Alaska,Matanuska-Susitna Borough,9,24,0,22,9,24,9,24,,,,,,,,,,,,,,,,,,,,,,,,
036,001,004,003,New York,Albany County,Arizona,Cochise County,0,28,38,50,-38,50,38,50,,,,,,,,,,,,,,,,,,,,,,,,
036,001,004,013,New York,Albany County,Arizona,Maricopa County,9,14,108,88,-99,89,117,90,,,,,,,,,,,,,,,,,,,,,,,,
036,001,004,015,New York,Albany County,Arizona,Mohave County,0,28,42,68,-42,68,42,68,,,,,,,,,,,,,,,,,,,,,,,,
036,001,004,019,New York,Albany County,Arizona,Pima County,9,15,0,30,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
036,001,005,005,New York,Albany County,Arkansas,Baxter County,18,27,0,25,18,27,18,27,,,,,,,,,,,,,,,,,,,,,,,,
036,001,005,031,New York,Albany County,Arkansas,Craighead County,13,24,0,28,13,24,13,24,,,,,,,,,,,,,,,,,,,,,,,,
036,001,006,001,New York,Albany County,California,Alameda County,0,28,52,64,-52,64,52,64,,,,,,,,,,,,,,,,,,,,,,,,
036,001,006,013,New York,Albany County,California,Contra Costa County,0,28,16,26,-16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
036,001,006,019,New York,Albany County,California,Fresno County,0,28,33,52,-33,52,33,52,,,,,,,,,,,,,,,,,,,,,,,,
