Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
037,001,001,041,North Carolina,Alamance County,Alabama,Crenshaw County,0,29,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
037,001,001,089,North Carolina,Alamance County,Alabama,Madison County,7,12,0,27,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
037,001,001,101,North Carolina,Alamance County,Alabama,Montgomery County,0,29,28,36,-28,36,28,36,,,,,,,,,,,,,,,,,,,,,,,,
037,001,002,020,North Carolina,Alamance County,Alaska,Anchorage Municipality,41,68,0,22,41,68,41,68,,,,,,,,,,,,,,,,,,,,,,,,
037,001,002,170,North Carolina,Alamance County,Alaska,Matanuska-Susitna Borough,10,20,0,22,10,20,10,20,,,,,,,,,,,,,,,,,,,,,,,,
037,001,005,007,North Carolina,Alamance County,Arkansas,Benton County,0,29,23,33,-23,33,23,33,,,,,,,,,,,,,,,,,,,,,,,,
037,001,005,031,North Carolina,Alamance County,Arkansas,Craighead County,0,29,9,13,-9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
037,001,006,005,North Carolina,Alamance County,California,Amador County,0,29,19,28,-19,28,19,28,,,,,,,,,,,,,,,,,,,,,,,,
037,001,006,037,North Carolina,Alamance County,California,Los Angeles County,3,6,12,19,-9,20,15,21,,,,,,,,,,,,,,,,,,,,,,,,
037,001,006,053,North Carolina,Alamance County,California,Monterey County,54,85,0,29,54,85,54,85,,,,,,,,,,,,,,,,,,,,,,,,
037,001,006,073,North Carolina,Alamance County,California,San Diego County,17,25,9,16,8,31,26,28,,,,,,,,,,,,,,,,,,,,,,,,
037,001,006,081,North Carolina,Alamance County,California,San Mateo County,0,29,33,47,-33,47,33,47,,,,,,,,,,,,,,,,,,,,,,,,
037,001,006,099,North Carolina,Alamance County,California,Stanislaus County,9,20,0,29,9,20,9,20,,,,,,,,,,,,,,,,,,,,,,,,
037,001,008,005,North Carolina,Alamance County,Colorado,Arapahoe County,22,27,0,28,22,27,22,27,,,,,,,,,,,,,,,,,,,,,,,,
037,001,008,013,North Carolina,Alamance County,Colorado,Boulder County,0,29,32,52,-32,52,32,52,,,,,,,,,,,,,,,,,,,,,,,,
037,001,009,001,North Carolina,Alamance County,Connecticut,Fairfield County,18,25,20,23,-2,34,38,34,,,,,,,,,,,,,,,,,,,,,,,,
037,001,009,003,North Carolina,Alamance County,Connecticut,Hartford County,14,24,0,28,14,24,14,24,,,,,,,,,,,,,,,,,,,,,,,,
037,001,009,007,North Carolina,Alamance County,Connecticut,Middlesex County,13,25,0,28,13,25,13,25,,,,,,,,,,,,,,,,,,,,,,,,
037,001,010,003,North Carolina,Alamance County,Delaware,New Castle County,68,60,0,27,68,60,68,60,,,,,,,,,,,,,,,,,,,,,,,,
037,001,011,001,North Carolina,Alamance County,District of Columbia,District of Columbia,48,54,69,65,-21,83,117,85,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,001,North Carolina,Alamance County,Florida,Alachua County,61,57,0,32,61,57,61,57,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,011,North Carolina,Alamance County,Florida,Broward County,29,30,0,32,29,30,29,30,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,031,North Carolina,Alamance County,Florida,Duval County,0,29,23,37,-23,37,23,37,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,057,North Carolina,Alamance County,Florida,Hillsborough County,39,64,0,32,39,64,39,64,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,063,North Carolina,Alamance County,Florida,Jackson County,0,29,12,23,-12,23,12,23,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,083,North Carolina,Alamance County,Florida,Marion County,82,107,0,32,82,107,82,107,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,086,North Carolina,Alamance County,Florida,Miami-Dade County,24,43,0,32,24,43,24,43,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,095,North Carolina,Alamance County,Florida,Orange County,7,17,52,56,-45,58,59,58,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,097,North Carolina,Alamance County,Florida,Osceola County,0,29,24,41,-24,41,24,41,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,099,North Carolina,Alamance County,Florida,Palm Beach County,0,29,24,39,-24,39,24,39,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,103,North Carolina,Alamance County,Florida,Pinellas County,0,29,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,109,North Carolina,Alamance County,Florida,St. Johns County,19,25,0,32,19,25,19,25,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,111,North Carolina,Alamance County,Florida,St. Lucie County,0,29,31,51,-31,51,31,51,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,113,North Carolina,Alamance County,Florida,Santa Rosa County,0,29,18,30,-18,30,18,30,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,115,North Carolina,Alamance County,Florida,Sarasota County,1,2,10,16,-9,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
037,001,012,117,North Carolina,Alamance County,Florida,Seminole County,4,6,0,32,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
037,001,013,051,North Carolina,Alamance County,Georgia,Chatham County,0,29,6,9,-6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
037,001,013,053,North Carolina,Alamance County,Georgia,Chattahoochee County,0,29,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
