Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
038,001,006,099,North Dakota,Adams County,California,Stanislaus County,12,19,0,29,12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
038,001,022,071,North Dakota,Adams County,Louisiana,Orleans Parish,19,26,0,28,19,26,19,26,,,,,,,,,,,,,,,,,,,,,,,,
038,001,022,103,North Dakota,Adams County,Louisiana,St. Tammany Parish,9,13,0,28,9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
038,001,027,141,North Dakota,Adams County,Minnesota,Sherburne County,9,13,0,20,9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
038,001,031,185,North Dakota,Adams County,Nebraska,York County,1,3,0,15,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,003,North Dakota,Adams County,North Dakota,Barnes County,4,5,0,14,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,011,North Dakota,Adams County,North Dakota,Bowman County,18,27,0,9,18,27,18,27,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,015,North Dakota,Adams County,North Dakota,Burleigh County,0,9,69,90,-69,90,69,90,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,017,North Dakota,Adams County,North Dakota,Cass County,34,45,88,62,-54,77,122,77,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,019,North Dakota,Adams County,North Dakota,Cavalier County,0,9,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,021,North Dakota,Adams County,North Dakota,Dickey County,0,9,26,28,-26,28,26,28,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,035,North Dakota,Adams County,North Dakota,Grand Forks County,2,4,8,12,-6,13,10,13,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,041,North Dakota,Adams County,North Dakota,Hettinger County,8,13,5,5,3,14,13,14,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,049,North Dakota,Adams County,North Dakota,McHenry County,0,9,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,055,North Dakota,Adams County,North Dakota,McLean County,34,48,3,6,31,48,37,48,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,059,North Dakota,Adams County,North Dakota,Morton County,0,9,25,34,-25,34,25,34,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,065,North Dakota,Adams County,North Dakota,Oliver County,0,9,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,073,North Dakota,Adams County,North Dakota,Ransom County,4,6,0,12,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,079,North Dakota,Adams County,North Dakota,Rolette County,1,2,0,14,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,081,North Dakota,Adams County,North Dakota,Sargent County,0,9,4,5,-4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,089,North Dakota,Adams County,North Dakota,Stark County,3,9,32,54,-29,55,35,55,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,093,North Dakota,Adams County,North Dakota,Stutsman County,0,9,42,63,-42,63,42,63,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,099,North Dakota,Adams County,North Dakota,Walsh County,0,9,6,8,-6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,101,North Dakota,Adams County,North Dakota,Ward County,0,9,9,16,-9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
038,001,038,105,North Dakota,Adams County,North Dakota,Williams County,0,9,15,25,-15,25,15,25,,,,,,,,,,,,,,,,,,,,,,,,
038,001,046,031,North Dakota,Adams County,South Dakota,Corson County,1,2,0,9,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
038,001,046,047,North Dakota,Adams County,South Dakota,Fall River County,1,4,0,13,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
038,001,046,089,North Dakota,Adams County,South Dakota,McPherson County,0,9,10,17,-10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
038,001,046,103,North Dakota,Adams County,South Dakota,Pennington County,0,9,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
