Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
039,001,006,013,Ohio,Adams County,California,Contra Costa County,10,16,0,29,10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
039,001,012,031,Ohio,Adams County,Florida,Duval County,0,21,76,116,-76,116,76,116,,,,,,,,,,,,,,,,,,,,,,,,
039,001,012,071,Ohio,Adams County,Florida,Lee County,4,6,0,32,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
039,001,012,081,Ohio,Adams County,Florida,Manatee County,0,21,38,62,-38,62,38,62,,,,,,,,,,,,,,,,,,,,,,,,
039,001,012,119,Ohio,Adams County,Florida,Sumter County,0,21,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
039,001,015,003,Ohio,Adams County,Hawaii,Honolulu County,0,21,17,31,-17,31,17,31,,,,,,,,,,,,,,,,,,,,,,,,
039,001,017,031,Ohio,Adams County,Illinois,Cook County,1,3,0,27,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
039,001,018,089,Ohio,Adams County,Indiana,Lake County,0,21,7,11,-7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
039,001,018,147,Ohio,Adams County,Indiana,Spencer County,0,21,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
039,001,018,157,Ohio,Adams County,Indiana,Tippecanoe County,0,21,12,20,-12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,017,Ohio,Adams County,Kentucky,Bourbon County,14,21,0,18,14,21,14,21,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,021,Ohio,Adams County,Kentucky,Boyle County,0,21,13,25,-13,25,13,25,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,037,Ohio,Adams County,Kentucky,Campbell County,0,21,34,37,-34,37,34,37,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,069,Ohio,Adams County,Kentucky,Fleming County,0,21,22,33,-22,33,22,33,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,111,Ohio,Adams County,Kentucky,Jefferson County,0,21,25,38,-25,38,25,38,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,113,Ohio,Adams County,Kentucky,Jessamine County,0,21,5,12,-5,12,5,12,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,117,Ohio,Adams County,Kentucky,Kenton County,5,8,0,27,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,135,Ohio,Adams County,Kentucky,Lewis County,30,46,0,18,30,46,30,46,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,161,Ohio,Adams County,Kentucky,Mason County,0,21,20,30,-20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,187,Ohio,Adams County,Kentucky,Owen County,4,8,0,18,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
039,001,021,205,Ohio,Adams County,Kentucky,Rowan County,0,21,42,54,-42,54,42,54,,,,,,,,,,,,,,,,,,,,,,,,
039,001,037,019,Ohio,Adams County,North Carolina,Brunswick County,22,37,0,29,22,37,22,37,,,,,,,,,,,,,,,,,,,,,,,,
039,001,037,163,Ohio,Adams County,North Carolina,Sampson County,1,3,0,29,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
039,001,038,035,Ohio,Adams County,North Dakota,Grand Forks County,7,15,0,20,7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,005,Ohio,Adams County,Ohio,Ashland County,0,21,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,009,Ohio,Adams County,Ohio,Athens County,10,13,0,27,10,13,10,13,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,013,Ohio,Adams County,Ohio,Belmont County,0,21,8,15,-8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,015,Ohio,Adams County,Ohio,Brown County,120,112,106,75,14,133,226,136,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,017,Ohio,Adams County,Ohio,Butler County,55,70,10,15,45,72,65,71,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,025,Ohio,Adams County,Ohio,Clermont County,164,126,80,71,84,147,244,143,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,027,Ohio,Adams County,Ohio,Clinton County,3,5,5,7,-2,9,8,8,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,035,Ohio,Adams County,Ohio,Cuyahoga County,0,21,47,48,-47,48,47,48,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,043,Ohio,Adams County,Ohio,Erie County,8,19,0,27,8,19,8,19,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,049,Ohio,Adams County,Ohio,Franklin County,0,21,272,174,-272,174,272,174,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,055,Ohio,Adams County,Ohio,Geauga County,3,7,0,27,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,057,Ohio,Adams County,Ohio,Greene County,0,21,16,26,-16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,061,Ohio,Adams County,Ohio,Hamilton County,6,9,77,61,-71,62,83,61,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,063,Ohio,Adams County,Ohio,Hancock County,0,21,4,8,-4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,069,Ohio,Adams County,Ohio,Henry County,0,21,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,071,Ohio,Adams County,Ohio,Highland County,227,235,43,51,184,230,270,250,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,085,Ohio,Adams County,Ohio,Lake County,0,21,84,127,-84,127,84,127,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,089,Ohio,Adams County,Ohio,Licking County,21,30,0,27,21,30,21,30,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,093,Ohio,Adams County,Ohio,Lorain County,0,21,18,27,-18,27,18,27,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,095,Ohio,Adams County,Ohio,Lucas County,6,10,0,27,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,099,Ohio,Adams County,Ohio,Mahoning County,0,21,7,12,-7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,103,Ohio,Adams County,Ohio,Medina County,0,21,20,29,-20,29,20,29,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,109,Ohio,Adams County,Ohio,Miami County,0,21,15,22,-15,22,15,22,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,113,Ohio,Adams County,Ohio,Montgomery County,16,21,144,149,-128,150,160,150,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,121,Ohio,Adams County,Ohio,Noble County,0,21,10,18,-10,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,127,Ohio,Adams County,Ohio,Perry County,8,14,0,24,8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,129,Ohio,Adams County,Ohio,Pickaway County,2,5,10,19,-8,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,131,Ohio,Adams County,Ohio,Pike County,2,4,16,25,-14,25,18,25,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,133,Ohio,Adams County,Ohio,Portage County,2,4,0,27,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,135,Ohio,Adams County,Ohio,Preble County,10,19,0,24,10,19,10,19,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,141,Ohio,Adams County,Ohio,Ross County,0,21,29,27,-29,27,29,27,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,145,Ohio,Adams County,Ohio,Scioto County,19,20,74,57,-55,60,93,61,,,,,,,,,,,,,,,,,,,,,,,,
039,001,039,155,Ohio,Adams County,Ohio,Trumbull County,0,21,26,29,-26,29,26,29,,,,,,,,,,,,,,,,,,,,,,,,
