Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
040,001,005,007,Oklahoma,Adair County,Arkansas,Benton County,53,31,160,155,-107,159,213,157,,,,,,,,,,,,,,,,,,,,,,,,
040,001,005,029,Oklahoma,Adair County,Arkansas,Conway County,3,7,0,22,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
040,001,005,125,Oklahoma,Adair County,Arkansas,Saline County,0,18,33,39,-33,39,33,39,,,,,,,,,,,,,,,,,,,,,,,,
040,001,005,131,Oklahoma,Adair County,Arkansas,Sebastian County,0,18,12,19,-12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
040,001,005,143,Oklahoma,Adair County,Arkansas,Washington County,29,32,135,87,-106,94,164,92,,,,,,,,,,,,,,,,,,,,,,,,
040,001,012,095,Oklahoma,Adair County,Florida,Orange County,16,22,0,32,16,22,16,22,,,,,,,,,,,,,,,,,,,,,,,,
040,001,020,021,Oklahoma,Adair County,Kansas,Cherokee County,0,18,54,62,-54,62,54,62,,,,,,,,,,,,,,,,,,,,,,,,
040,001,020,177,Oklahoma,Adair County,Kansas,Shawnee County,0,18,8,13,-8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
040,001,029,021,Oklahoma,Adair County,Missouri,Buchanan County,0,18,8,15,-8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
040,001,029,095,Oklahoma,Adair County,Missouri,Jackson County,0,18,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
040,001,029,119,Oklahoma,Adair County,Missouri,McDonald County,19,22,0,20,19,22,19,22,,,,,,,,,,,,,,,,,,,,,,,,
040,001,029,197,Oklahoma,Adair County,Missouri,Schuyler County,0,18,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
040,001,029,213,Oklahoma,Adair County,Missouri,Taney County,11,15,0,26,11,15,11,15,,,,,,,,,,,,,,,,,,,,,,,,
040,001,031,055,Oklahoma,Adair County,Nebraska,Douglas County,0,18,16,25,-16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
040,001,031,153,Oklahoma,Adair County,Nebraska,Sarpy County,15,21,0,22,15,21,15,21,,,,,,,,,,,,,,,,,,,,,,,,
040,001,035,013,Oklahoma,Adair County,New Mexico,Doña Ana County,14,21,0,28,14,21,14,21,,,,,,,,,,,,,,,,,,,,,,,,
040,001,036,081,Oklahoma,Adair County,New York,Queens County,5,8,0,28,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
040,001,037,019,Oklahoma,Adair County,North Carolina,Brunswick County,11,15,0,29,11,15,11,15,,,,,,,,,,,,,,,,,,,,,,,,
