Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
041,001,002,170,Oregon,Baker County,Alaska,Matanuska-Susitna Borough,0,19,36,33,-36,33,36,33,,,,,,,,,,,,,,,,,,,,,,,,
041,001,005,131,Oregon,Baker County,Arkansas,Sebastian County,11,17,0,28,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,023,Oregon,Baker County,California,Humboldt County,0,19,18,28,-18,28,18,28,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,029,Oregon,Baker County,California,Kern County,8,14,0,29,8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,035,Oregon,Baker County,California,Lassen County,3,6,0,26,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,043,Oregon,Baker County,California,Mariposa County,12,22,0,19,12,22,12,22,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,053,Oregon,Baker County,California,Monterey County,0,19,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,059,Oregon,Baker County,California,Orange County,32,47,0,29,32,47,32,47,,,,,,,,,,,,,,,,,,,,,,,,
041,001,006,071,Oregon,Baker County,California,San Bernardino County,34,53,0,29,34,53,34,53,,,,,,,,,,,,,,,,,,,,,,,,
041,001,008,081,Oregon,Baker County,Colorado,Moffat County,8,12,0,19,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
041,001,012,103,Oregon,Baker County,Florida,Pinellas County,8,13,0,32,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
041,001,016,001,Oregon,Baker County,Idaho,Ada County,17,39,222,256,-205,262,239,257,,,,,,,,,,,,,,,,,,,,,,,,
041,001,016,005,Oregon,Baker County,Idaho,Bannock County,0,19,36,60,-36,60,36,60,,,,,,,,,,,,,,,,,,,,,,,,
041,001,016,007,Oregon,Baker County,Idaho,Bear Lake County,0,19,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
