Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
042,001,001,039,Pennsylvania,Adams County,Alabama,Covington County,13,20,0,24,13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
042,001,001,125,Pennsylvania,Adams County,Alabama,Tuscaloosa County,0,24,16,25,-16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
042,001,004,013,Pennsylvania,Adams County,Arizona,Maricopa County,24,28,24,30,0,39,48,42,,,,,,,,,,,,,,,,,,,,,,,,
042,001,004,025,Pennsylvania,Adams County,Arizona,Yavapai County,12,17,0,30,12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
042,001,006,037,Pennsylvania,Adams County,California,Los Angeles County,32,30,0,29,32,30,32,30,,,,,,,,,,,,,,,,,,,,,,,,
042,001,006,053,Pennsylvania,Adams County,California,Monterey County,0,24,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
042,001,008,031,Pennsylvania,Adams County,Colorado,Denver County,0,24,163,244,-163,244,163,244,,,,,,,,,,,,,,,,,,,,,,,,
042,001,008,049,Pennsylvania,Adams County,Colorado,Grand County,23,31,0,19,23,31,23,31,,,,,,,,,,,,,,,,,,,,,,,,
042,001,008,059,Pennsylvania,Adams County,Colorado,Jefferson County,29,33,0,28,29,33,29,33,,,,,,,,,,,,,,,,,,,,,,,,
042,001,009,001,Pennsylvania,Adams County,Connecticut,Fairfield County,22,25,0,28,22,25,22,25,,,,,,,,,,,,,,,,,,,,,,,,
042,001,009,003,Pennsylvania,Adams County,Connecticut,Hartford County,70,65,0,28,70,65,70,65,,,,,,,,,,,,,,,,,,,,,,,,
042,001,009,005,Pennsylvania,Adams County,Connecticut,Litchfield County,38,38,0,28,38,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,
042,001,009,011,Pennsylvania,Adams County,Connecticut,New London County,9,11,0,28,9,11,9,11,,,,,,,,,,,,,,,,,,,,,,,,
042,001,010,001,Pennsylvania,Adams County,Delaware,Kent County,30,39,0,27,30,39,30,39,,,,,,,,,,,,,,,,,,,,,,,,
042,001,010,003,Pennsylvania,Adams County,Delaware,New Castle County,3,6,0,27,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,011,Pennsylvania,Adams County,Florida,Broward County,0,24,19,32,-19,32,19,32,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,015,Pennsylvania,Adams County,Florida,Charlotte County,4,6,0,32,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,019,Pennsylvania,Adams County,Florida,Clay County,0,24,7,10,-7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,031,Pennsylvania,Adams County,Florida,Duval County,0,24,8,12,-8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,071,Pennsylvania,Adams County,Florida,Lee County,0,24,8,13,-8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,081,Pennsylvania,Adams County,Florida,Manatee County,0,24,9,16,-9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,095,Pennsylvania,Adams County,Florida,Orange County,49,61,0,32,49,61,49,61,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,099,Pennsylvania,Adams County,Florida,Palm Beach County,0,24,21,31,-21,31,21,31,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,103,Pennsylvania,Adams County,Florida,Pinellas County,41,47,9,14,32,49,50,49,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,115,Pennsylvania,Adams County,Florida,Sarasota County,0,24,23,27,-23,27,23,27,,,,,,,,,,,,,,,,,,,,,,,,
042,001,012,117,Pennsylvania,Adams County,Florida,Seminole County,6,13,0,32,6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
042,001,013,021,Pennsylvania,Adams County,Georgia,Bibb County,0,24,47,79,-47,79,47,79,,,,,,,,,,,,,,,,,,,,,,,,
042,001,013,053,Pennsylvania,Adams County,Georgia,Chattahoochee County,0,24,3,8,-3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
