Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
072,001,009,003,Puerto Rico,Adjuntas Municipio,Connecticut,Hartford County,0,20,25,44,-25,44,25,44,,,,,,,,,,,,,,,,,,,,,,,,
072,001,012,095,Puerto Rico,Adjuntas Municipio,Florida,Orange County,15,24,0,32,15,24,15,24,,,,,,,,,,,,,,,,,,,,,,,,
072,001,012,097,Puerto Rico,Adjuntas Municipio,Florida,Osceola County,12,18,0,32,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
072,001,012,117,Puerto Rico,Adjuntas Municipio,Florida,Seminole County,50,58,0,32,50,58,50,58,,,,,,,,,,,,,,,,,,,,,,,,
072,001,021,093,Puerto Rico,Adjuntas Municipio,Kentucky,Hardin County,0,20,45,71,-45,71,45,71,,,,,,,,,,,,,,,,,,,,,,,,
072,001,034,011,Puerto Rico,Adjuntas Municipio,New Jersey,Cumberland County,0,20,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
072,001,034,023,Puerto Rico,Adjuntas Municipio,New Jersey,Middlesex County,9,15,0,28,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
072,001,036,085,Puerto Rico,Adjuntas Municipio,New York,Richmond County,0,20,12,19,-12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
072,001,036,103,Puerto Rico,Adjuntas Municipio,New York,Suffolk County,10,17,0,28,10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
072,001,048,223,Puerto Rico,Adjuntas Municipio,Texas,Hopkins County,50,75,0,27,50,75,50,75,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,005,Puerto Rico,Adjuntas Municipio,Puerto Rico,Aguadilla Municipio,3,6,6,10,-3,11,9,12,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,009,Puerto Rico,Adjuntas Municipio,Puerto Rico,Aibonito Municipio,2,4,0,24,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,017,Puerto Rico,Adjuntas Municipio,Puerto Rico,Barceloneta Municipio,1,2,0,24,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,021,Puerto Rico,Adjuntas Municipio,Puerto Rico,Bayamón Municipio,0,20,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,025,Puerto Rico,Adjuntas Municipio,Puerto Rico,Caguas Municipio,0,20,26,29,-26,29,26,29,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,031,Puerto Rico,Adjuntas Municipio,Puerto Rico,Carolina Municipio,0,20,13,20,-13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,043,Puerto Rico,Adjuntas Municipio,Puerto Rico,Coamo Municipio,21,33,9,15,12,37,30,36,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,054,Puerto Rico,Adjuntas Municipio,Puerto Rico,Florida Municipio,19,30,0,20,19,30,19,30,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,063,Puerto Rico,Adjuntas Municipio,Puerto Rico,Gurabo Municipio,0,20,25,30,-25,30,25,30,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,081,Puerto Rico,Adjuntas Municipio,Puerto Rico,Lares Municipio,41,49,0,24,41,49,41,49,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,091,Puerto Rico,Adjuntas Municipio,Puerto Rico,Manatí Municipio,0,20,19,31,-19,31,19,31,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,097,Puerto Rico,Adjuntas Municipio,Puerto Rico,Mayagüez Municipio,0,20,79,126,-79,126,79,126,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,103,Puerto Rico,Adjuntas Municipio,Puerto Rico,Naguabo Municipio,1,2,0,24,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,113,Puerto Rico,Adjuntas Municipio,Puerto Rico,Ponce Municipio,10,16,127,112,-117,112,137,113,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,125,Puerto Rico,Adjuntas Municipio,Puerto Rico,San Germán Municipio,1,4,0,27,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,127,Puerto Rico,Adjuntas Municipio,Puerto Rico,San Juan Municipio,29,42,15,20,14,41,44,52,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,131,Puerto Rico,Adjuntas Municipio,Puerto Rico,San Sebastián Municipio,1,3,0,27,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,139,Puerto Rico,Adjuntas Municipio,Puerto Rico,Trujillo Alto Municipio,3,5,0,30,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,141,Puerto Rico,Adjuntas Municipio,Puerto Rico,Utuado Municipio,7,12,67,106,-60,107,74,107,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,143,Puerto Rico,Adjuntas Municipio,Puerto Rico,Vega Alta Municipio,3,7,0,27,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
072,001,072,145,Puerto Rico,Adjuntas Municipio,Puerto Rico,Vega Baja Municipio,0,20,37,58,-37,58,37,58,,,,,,,,,,,,,,,,,,,,,,,,
072,003,004,013,Puerto Rico,Aguada Municipio,Arizona,Maricopa County,0,27,9,11,-9,11,9,11,,,,,,,,,,,,,,,,,,,,,,,,
072,003,004,019,Puerto Rico,Aguada Municipio,Arizona,Pima County,0,27,6,11,-6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
072,003,009,003,Puerto Rico,Aguada Municipio,Connecticut,Hartford County,22,34,0,28,22,34,22,34,,,,,,,,,,,,,,,,,,,,,,,,
072,003,009,009,Puerto Rico,Aguada Municipio,Connecticut,New Haven County,0,27,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
072,003,009,011,Puerto Rico,Aguada Municipio,Connecticut,New London County,0,27,45,69,-45,69,45,69,,,,,,,,,,,,,,,,,,,,,,,,
072,003,012,031,Puerto Rico,Aguada Municipio,Florida,Duval County,0,27,35,50,-35,50,35,50,,,,,,,,,,,,,,,,,,,,,,,,
072,003,013,121,Puerto Rico,Aguada Municipio,Georgia,Fulton County,18,29,0,31,18,29,18,29,,,,,,,,,,,,,,,,,,,,,,,,
072,003,013,135,Puerto Rico,Aguada Municipio,Georgia,Gwinnett County,17,27,10,15,7,30,27,30,,,,,,,,,,,,,,,,,,,,,,,,
072,003,013,199,Puerto Rico,Aguada Municipio,Georgia,Meriwether County,0,27,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
072,003,017,001,Puerto Rico,Aguada Municipio,Illinois,Adams County,50,79,0,27,50,79,50,79,,,,,,,,,,,,,,,,,,,,,,,,
072,003,034,027,Puerto Rico,Aguada Municipio,New Jersey,Morris County,90,134,12,19,78,135,102,136,,,,,,,,,,,,,,,,,,,,,,,,
072,003,036,047,Puerto Rico,Aguada Municipio,New York,Kings County,15,23,0,28,15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
072,003,036,061,Puerto Rico,Aguada Municipio,New York,New York County,57,71,0,28,57,71,57,71,,,,,,,,,,,,,,,,,,,,,,,,
072,003,037,051,Puerto Rico,Aguada Municipio,North Carolina,Cumberland County,16,24,43,64,-27,70,59,67,,,,,,,,,,,,,,,,,,,,,,,,
072,003,037,081,Puerto Rico,Aguada Municipio,North Carolina,Guilford County,0,27,25,48,-25,48,25,48,,,,,,,,,,,,,,,,,,,,,,,,
072,003,037,133,Puerto Rico,Aguada Municipio,North Carolina,Onslow County,0,27,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
072,003,039,049,Puerto Rico,Aguada Municipio,Ohio,Franklin County,0,27,18,29,-18,29,18,29,,,,,,,,,,,,,,,,,,,,,,,,
072,003,041,015,Puerto Rico,Aguada Municipio,Oregon,Curry County,0,27,50,77,-50,77,50,77,,,,,,,,,,,,,,,,,,,,,,,,
072,003,042,067,Puerto Rico,Aguada Municipio,Pennsylvania,Juniata County,0,27,32,47,-32,47,32,47,,,,,,,,,,,,,,,,,,,,,,,,
072,003,045,045,Puerto Rico,Aguada Municipio,South Carolina,Greenville County,16,26,0,30,16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
072,003,048,099,Puerto Rico,Aguada Municipio,Texas,Coryell County,49,78,0,30,49,78,49,78,,,,,,,,,,,,,,,,,,,,,,,,
072,003,048,113,Puerto Rico,Aguada Municipio,Texas,Dallas County,0,27,85,108,-85,108,85,108,,,,,,,,,,,,,,,,,,,,,,,,
072,003,048,355,Puerto Rico,Aguada Municipio,Texas,Nueces County,0,27,77,113,-77,113,77,113,,,,,,,,,,,,,,,,,,,,,,,,
072,003,055,079,Puerto Rico,Aguada Municipio,Wisconsin,Milwaukee County,36,55,0,22,36,55,36,55,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,005,Puerto Rico,Aguada Municipio,Puerto Rico,Aguadilla Municipio,137,143,104,79,33,166,241,161,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,007,Puerto Rico,Aguada Municipio,Puerto Rico,Aguas Buenas Municipio,0,27,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,011,Puerto Rico,Aguada Municipio,Puerto Rico,Añasco Municipio,0,27,28,45,-28,45,28,45,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,013,Puerto Rico,Aguada Municipio,Puerto Rico,Arecibo Municipio,0,27,25,30,-25,30,25,30,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,021,Puerto Rico,Aguada Municipio,Puerto Rico,Bayamón Municipio,0,27,5,10,-5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,023,Puerto Rico,Aguada Municipio,Puerto Rico,Cabo Rojo Municipio,0,27,8,13,-8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,027,Puerto Rico,Aguada Municipio,Puerto Rico,Camuy Municipio,74,120,0,27,74,120,74,120,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,031,Puerto Rico,Aguada Municipio,Puerto Rico,Carolina Municipio,38,59,0,30,38,59,38,59,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,035,Puerto Rico,Aguada Municipio,Puerto Rico,Cayey Municipio,0,27,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,043,Puerto Rico,Aguada Municipio,Puerto Rico,Coamo Municipio,11,24,0,27,11,24,11,24,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,051,Puerto Rico,Aguada Municipio,Puerto Rico,Dorado Municipio,0,27,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,061,Puerto Rico,Aguada Municipio,Puerto Rico,Guaynabo Municipio,6,14,0,30,6,14,6,14,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,075,Puerto Rico,Aguada Municipio,Puerto Rico,Juana Díaz Municipio,0,27,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,089,Puerto Rico,Aguada Municipio,Puerto Rico,Luquillo Municipio,0,27,14,23,-14,23,14,23,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,097,Puerto Rico,Aguada Municipio,Puerto Rico,Mayagüez Municipio,12,19,65,57,-53,61,77,60,,,,,,,,,,,,,,,,,,,,,,,,
072,003,072,099,Puerto Rico,Aguada Municipio,Puerto Rico,Moca Municipio,0,27,132,118,-132,118,132,118,,,,,,,,,,,,,,,,,,,,,,,,
