Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
044,001,002,188,Rhode Island,Bristol County,Alaska,Northwest Arctic Borough,86,129,0,13,86,129,86,129,,,,,,,,,,,,,,,,,,,,,,,,
044,001,004,005,Rhode Island,Bristol County,Arizona,Coconino County,6,13,0,30,6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
044,001,004,019,Rhode Island,Bristol County,Arizona,Pima County,49,60,0,30,49,60,49,60,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,001,Rhode Island,Bristol County,California,Alameda County,0,27,92,144,-92,144,92,144,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,013,Rhode Island,Bristol County,California,Contra Costa County,0,27,15,24,-15,24,15,24,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,037,Rhode Island,Bristol County,California,Los Angeles County,39,48,72,106,-33,113,111,119,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,059,Rhode Island,Bristol County,California,Orange County,6,12,0,29,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,071,Rhode Island,Bristol County,California,San Bernardino County,1,2,0,29,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,073,Rhode Island,Bristol County,California,San Diego County,14,18,8,13,6,23,22,21,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,075,Rhode Island,Bristol County,California,San Francisco County,33,47,0,29,33,47,33,47,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,083,Rhode Island,Bristol County,California,Santa Barbara County,10,17,0,29,10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
044,001,006,113,Rhode Island,Bristol County,California,Yolo County,19,29,0,29,19,29,19,29,,,,,,,,,,,,,,,,,,,,,,,,
044,001,008,051,Rhode Island,Bristol County,Colorado,Gunnison County,43,63,0,19,43,63,43,63,,,,,,,,,,,,,,,,,,,,,,,,
044,001,009,001,Rhode Island,Bristol County,Connecticut,Fairfield County,64,51,23,31,41,53,87,67,,,,,,,,,,,,,,,,,,,,,,,,
044,001,009,003,Rhode Island,Bristol County,Connecticut,Hartford County,28,28,0,28,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,
044,001,009,005,Rhode Island,Bristol County,Connecticut,Litchfield County,18,27,0,28,18,27,18,27,,,,,,,,,,,,,,,,,,,,,,,,
044,001,009,007,Rhode Island,Bristol County,Connecticut,Middlesex County,6,10,0,28,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
044,001,009,009,Rhode Island,Bristol County,Connecticut,New Haven County,3,6,59,58,-56,58,62,58,,,,,,,,,,,,,,,,,,,,,,,,
044,001,009,011,Rhode Island,Bristol County,Connecticut,New London County,9,17,0,28,9,17,9,17,,,,,,,,,,,,,,,,,,,,,,,,
044,001,011,001,Rhode Island,Bristol County,District of Columbia,District of Columbia,0,27,8,13,-8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,009,Rhode Island,Bristol County,Florida,Brevard County,14,24,0,32,14,24,14,24,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,011,Rhode Island,Bristol County,Florida,Broward County,0,27,14,23,-14,23,14,23,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,021,Rhode Island,Bristol County,Florida,Collier County,0,27,13,20,-13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,057,Rhode Island,Bristol County,Florida,Hillsborough County,7,11,0,32,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,095,Rhode Island,Bristol County,Florida,Orange County,0,27,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,099,Rhode Island,Bristol County,Florida,Palm Beach County,0,27,25,38,-25,38,25,38,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,101,Rhode Island,Bristol County,Florida,Pasco County,26,39,0,32,26,39,26,39,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,103,Rhode Island,Bristol County,Florida,Pinellas County,20,26,11,17,9,31,31,30,,,,,,,,,,,,,,,,,,,,,,,,
044,001,012,115,Rhode Island,Bristol County,Florida,Sarasota County,0,27,13,20,-13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
