Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
045,001,011,001,South Carolina,Abbeville County,District of Columbia,District of Columbia,0,24,23,20,-23,20,23,20,,,,,,,,,,,,,,,,,,,,,,,,
045,001,012,086,South Carolina,Abbeville County,Florida,Miami-Dade County,3,5,0,32,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
045,001,012,103,South Carolina,Abbeville County,Florida,Pinellas County,0,24,28,45,-28,45,28,45,,,,,,,,,,,,,,,,,,,,,,,,
045,001,012,105,South Carolina,Abbeville County,Florida,Polk County,0,24,8,15,-8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
045,001,013,073,South Carolina,Abbeville County,Georgia,Columbia County,11,19,0,31,11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
045,001,013,121,South Carolina,Abbeville County,Georgia,Fulton County,16,19,0,31,16,19,16,19,,,,,,,,,,,,,,,,,,,,,,,,
045,001,013,181,South Carolina,Abbeville County,Georgia,Lincoln County,11,17,0,19,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
045,001,013,291,South Carolina,Abbeville County,Georgia,Union County,16,26,0,25,16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
045,001,024,043,South Carolina,Abbeville County,Maryland,Washington County,3,8,0,29,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
045,001,025,005,South Carolina,Abbeville County,Massachusetts,Bristol County,0,24,12,24,-12,24,12,24,,,,,,,,,,,,,,,,,,,,,,,,
045,001,026,017,South Carolina,Abbeville County,Michigan,Bay County,0,24,29,45,-29,45,29,45,,,,,,,,,,,,,,,,,,,,,,,,
045,001,026,163,South Carolina,Abbeville County,Michigan,Wayne County,0,24,12,18,-12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
045,001,034,033,South Carolina,Abbeville County,New Jersey,Salem County,8,13,0,28,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
045,001,037,003,South Carolina,Abbeville County,North Carolina,Alexander County,20,25,0,26,20,25,20,25,,,,,,,,,,,,,,,,,,,,,,,,
045,001,037,021,South Carolina,Abbeville County,North Carolina,Buncombe County,7,14,0,29,7,14,7,14,,,,,,,,,,,,,,,,,,,,,,,,
045,001,037,025,South Carolina,Abbeville County,North Carolina,Cabarrus County,5,10,0,29,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
