Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
046,003,004,005,South Dakota,Aurora County,Arizona,Coconino County,0,9,13,20,-13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
046,003,004,013,South Dakota,Aurora County,Arizona,Maricopa County,5,7,0,30,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
046,003,027,067,South Dakota,Aurora County,Minnesota,Kandiyohi County,2,3,0,18,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
046,003,027,161,South Dakota,Aurora County,Minnesota,Waseca County,5,5,0,14,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
046,003,029,189,South Dakota,Aurora County,Missouri,St. Louis County,0,9,6,13,-6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
046,003,031,055,South Dakota,Aurora County,Nebraska,Douglas County,3,4,0,22,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,011,South Dakota,Aurora County,South Dakota,Brookings County,5,9,15,23,-10,25,20,25,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,013,South Dakota,Aurora County,South Dakota,Brown County,11,11,128,166,-117,167,139,167,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,015,South Dakota,Aurora County,South Dakota,Brule County,2,3,0,13,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,023,South Dakota,Aurora County,South Dakota,Charles Mix County,5,6,30,34,-25,36,35,33,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,027,South Dakota,Aurora County,South Dakota,Clay County,0,9,27,40,-27,40,27,40,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,033,South Dakota,Aurora County,South Dakota,Custer County,4,5,18,26,-14,27,22,27,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,035,South Dakota,Aurora County,South Dakota,Davison County,43,36,63,89,-20,94,106,98,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,043,South Dakota,Aurora County,South Dakota,Douglas County,14,22,2,5,12,22,16,23,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,051,South Dakota,Aurora County,South Dakota,Grant County,2,3,0,13,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,057,South Dakota,Aurora County,South Dakota,Hamlin County,0,9,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,065,South Dakota,Aurora County,South Dakota,Hughes County,10,21,0,15,10,21,10,21,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,067,South Dakota,Aurora County,South Dakota,Hutchinson County,3,6,0,13,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,077,South Dakota,Aurora County,South Dakota,Kingsbury County,6,8,0,13,6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,083,South Dakota,Aurora County,South Dakota,Lincoln County,0,9,8,10,-8,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,087,South Dakota,Aurora County,South Dakota,McCook County,0,9,5,8,-5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,099,South Dakota,Aurora County,South Dakota,Minnehaha County,9,12,162,98,-153,97,171,100,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,101,South Dakota,Aurora County,South Dakota,Moody County,2,4,0,13,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,103,South Dakota,Aurora County,South Dakota,Pennington County,2,5,52,50,-50,50,54,50,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,113,South Dakota,Aurora County,South Dakota,Shannon County,3,6,0,15,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,115,South Dakota,Aurora County,South Dakota,Spink County,0,9,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,125,South Dakota,Aurora County,South Dakota,Turner County,0,9,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,127,South Dakota,Aurora County,South Dakota,Union County,0,9,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,135,South Dakota,Aurora County,South Dakota,Yankton County,2,4,26,47,-24,48,28,47,,,,,,,,,,,,,,,,,,,,,,,,
046,003,046,137,South Dakota,Aurora County,South Dakota,Ziebach County,2,5,13,16,-11,17,15,17,,,,,,,,,,,,,,,,,,,,,,,,
046,003,CAM,000,South Dakota,Aurora County,Central America,-,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,005,004,013,South Dakota,Beadle County,Arizona,Maricopa County,26,51,34,44,-8,67,60,67,,,,,,,,,,,,,,,,,,,,,,,,
046,005,006,031,South Dakota,Beadle County,California,Kings County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
046,005,006,073,South Dakota,Beadle County,California,San Diego County,0,15,18,30,-18,30,18,30,,,,,,,,,,,,,,,,,,,,,,,,
