Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
050,001,001,101,Vermont,Addison County,Alabama,Montgomery County,0,20,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
050,001,002,020,Vermont,Addison County,Alaska,Anchorage Municipality,1,2,57,83,-56,83,58,83,,,,,,,,,,,,,,,,,,,,,,,,
050,001,004,013,Vermont,Addison County,Arizona,Maricopa County,28,30,0,30,28,30,28,30,,,,,,,,,,,,,,,,,,,,,,,,
050,001,004,019,Vermont,Addison County,Arizona,Pima County,6,14,0,30,6,14,6,14,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,001,Vermont,Addison County,California,Alameda County,9,13,0,29,9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,019,Vermont,Addison County,California,Fresno County,3,6,0,29,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,037,Vermont,Addison County,California,Los Angeles County,45,36,36,53,9,67,81,60,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,045,Vermont,Addison County,California,Mendocino County,8,10,0,29,8,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,053,Vermont,Addison County,California,Monterey County,3,6,0,29,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,067,Vermont,Addison County,California,Sacramento County,3,4,0,29,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,075,Vermont,Addison County,California,San Francisco County,16,24,64,51,-48,60,80,53,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,081,Vermont,Addison County,California,San Mateo County,0,20,18,29,-18,29,18,29,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,083,Vermont,Addison County,California,Santa Barbara County,4,8,11,19,-7,21,15,21,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,085,Vermont,Addison County,California,Santa Clara County,1,2,0,29,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
050,001,006,113,Vermont,Addison County,California,Yolo County,0,20,12,22,-12,22,12,22,,,,,,,,,,,,,,,,,,,,,,,,
050,001,008,031,Vermont,Addison County,Colorado,Denver County,6,8,0,28,6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
050,001,008,041,Vermont,Addison County,Colorado,El Paso County,3,5,0,28,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
050,001,008,045,Vermont,Addison County,Colorado,Garfield County,7,11,0,28,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
050,001,009,001,Vermont,Addison County,Connecticut,Fairfield County,18,14,7,11,11,18,25,16,,,,,,,,,,,,,,,,,,,,,,,,
050,001,009,003,Vermont,Addison County,Connecticut,Hartford County,11,13,12,20,-1,24,23,24,,,,,,,,,,,,,,,,,,,,,,,,
050,001,009,005,Vermont,Addison County,Connecticut,Litchfield County,4,8,0,28,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
050,001,009,009,Vermont,Addison County,Connecticut,New Haven County,7,11,0,28,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
050,001,009,011,Vermont,Addison County,Connecticut,New London County,4,8,0,28,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
050,001,010,005,Vermont,Addison County,Delaware,Sussex County,11,19,0,27,11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
050,001,011,001,Vermont,Addison County,District of Columbia,District of Columbia,14,14,95,101,-81,105,109,98,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,011,Vermont,Addison County,Florida,Broward County,11,13,0,32,11,13,11,13,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,061,Vermont,Addison County,Florida,Indian River County,0,20,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,086,Vermont,Addison County,Florida,Miami-Dade County,3,6,67,108,-64,109,70,108,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,115,Vermont,Addison County,Florida,Sarasota County,3,7,0,32,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,117,Vermont,Addison County,Florida,Seminole County,0,20,104,127,-104,127,104,127,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,127,Vermont,Addison County,Florida,Volusia County,3,4,0,32,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
050,001,012,131,Vermont,Addison County,Florida,Walton County,14,18,0,32,14,18,14,18,,,,,,,,,,,,,,,,,,,,,,,,
050,001,013,051,Vermont,Addison County,Georgia,Chatham County,6,10,0,31,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
050,001,013,121,Vermont,Addison County,Georgia,Fulton County,17,18,0,31,17,18,17,18,,,,,,,,,,,,,,,,,,,,,,,,
050,001,013,275,Vermont,Addison County,Georgia,Thomas County,4,6,0,28,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
050,001,015,003,Vermont,Addison County,Hawaii,Honolulu County,9,14,0,27,9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
050,001,016,001,Vermont,Addison County,Idaho,Ada County,1,2,0,27,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
050,001,017,031,Vermont,Addison County,Illinois,Cook County,17,19,0,27,17,19,17,19,,,,,,,,,,,,,,,,,,,,,,,,
050,001,017,043,Vermont,Addison County,Illinois,DuPage County,8,12,0,27,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
050,001,017,201,Vermont,Addison County,Illinois,Winnebago County,0,20,4,14,-4,14,4,14,,,,,,,,,,,,,,,,,,,,,,,,
050,001,018,097,Vermont,Addison County,Indiana,Marion County,0,20,24,36,-24,36,24,36,,,,,,,,,,,,,,,,,,,,,,,,
050,001,021,069,Vermont,Addison County,Kentucky,Fleming County,4,8,0,18,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
050,001,021,111,Vermont,Addison County,Kentucky,Jefferson County,6,10,0,27,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
050,001,021,129,Vermont,Addison County,Kentucky,Lee County,3,4,0,16,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
050,001,021,137,Vermont,Addison County,Kentucky,Lincoln County,3,6,0,21,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
050,001,022,055,Vermont,Addison County,Louisiana,Lafayette Parish,3,5,0,28,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
