Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
051,001,001,003,Virginia,Accomack County,Alabama,Baldwin County,0,26,114,174,-114,174,114,174,,,,,,,,,,,,,,,,,,,,,,,,
051,001,001,055,Virginia,Accomack County,Alabama,Etowah County,2,4,0,27,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
051,001,001,089,Virginia,Accomack County,Alabama,Madison County,0,26,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
051,001,004,013,Virginia,Accomack County,Arizona,Maricopa County,7,11,0,30,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
051,001,005,143,Virginia,Accomack County,Arkansas,Washington County,0,26,48,78,-48,78,48,78,,,,,,,,,,,,,,,,,,,,,,,,
051,001,006,073,Virginia,Accomack County,California,San Diego County,0,26,10,23,-10,23,10,23,,,,,,,,,,,,,,,,,,,,,,,,
051,001,006,079,Virginia,Accomack County,California,San Luis Obispo County,10,13,0,29,10,13,10,13,,,,,,,,,,,,,,,,,,,,,,,,
051,001,009,001,Virginia,Accomack County,Connecticut,Fairfield County,0,26,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
051,001,009,011,Virginia,Accomack County,Connecticut,New London County,0,26,31,45,-31,45,31,45,,,,,,,,,,,,,,,,,,,,,,,,
051,001,010,003,Virginia,Accomack County,Delaware,New Castle County,3,7,0,27,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
051,001,010,005,Virginia,Accomack County,Delaware,Sussex County,13,16,88,135,-75,135,101,137,,,,,,,,,,,,,,,,,,,,,,,,
051,001,012,005,Virginia,Accomack County,Florida,Bay County,4,6,0,32,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
051,001,012,086,Virginia,Accomack County,Florida,Miami-Dade County,17,28,0,32,17,28,17,28,,,,,,,,,,,,,,,,,,,,,,,,
051,001,012,125,Virginia,Accomack County,Florida,Union County,0,26,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
051,001,013,009,Virginia,Accomack County,Georgia,Baldwin County,0,26,23,33,-23,33,23,33,,,,,,,,,,,,,,,,,,,,,,,,
051,001,013,029,Virginia,Accomack County,Georgia,Bryan County,2,5,0,28,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
051,001,013,067,Virginia,Accomack County,Georgia,Cobb County,99,196,0,31,99,196,99,196,,,,,,,,,,,,,,,,,,,,,,,,
051,001,013,073,Virginia,Accomack County,Georgia,Columbia County,82,141,0,31,82,141,82,141,,,,,,,,,,,,,,,,,,,,,,,,
051,001,015,003,Virginia,Accomack County,Hawaii,Honolulu County,6,18,0,27,6,18,6,18,,,,,,,,,,,,,,,,,,,,,,,,
051,001,015,009,Virginia,Accomack County,Hawaii,Maui County,0,26,20,34,-20,34,20,34,,,,,,,,,,,,,,,,,,,,,,,,
051,001,017,071,Virginia,Accomack County,Illinois,Henderson County,1,13,0,16,1,13,1,13,,,,,,,,,,,,,,,,,,,,,,,,
051,001,019,013,Virginia,Accomack County,Iowa,Black Hawk County,4,7,0,23,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
051,001,021,103,Virginia,Accomack County,Kentucky,Henry County,23,37,0,18,23,37,23,37,,,,,,,,,,,,,,,,,,,,,,,,
051,001,023,011,Virginia,Accomack County,Maine,Kennebec County,0,26,25,25,-25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,003,Virginia,Accomack County,Maryland,Anne Arundel County,0,26,21,25,-21,25,21,25,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,005,Virginia,Accomack County,Maryland,Baltimore County,15,24,0,29,15,24,15,24,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,021,Virginia,Accomack County,Maryland,Frederick County,4,6,29,45,-25,45,33,45,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,025,Virginia,Accomack County,Maryland,Harford County,14,25,0,29,14,25,14,25,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,029,Virginia,Accomack County,Maryland,Kent County,0,26,17,24,-17,24,17,24,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,031,Virginia,Accomack County,Maryland,Montgomery County,64,80,0,29,64,80,64,80,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,039,Virginia,Accomack County,Maryland,Somerset County,63,91,20,23,43,94,83,93,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,043,Virginia,Accomack County,Maryland,Washington County,0,26,16,15,-16,15,16,15,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,045,Virginia,Accomack County,Maryland,Wicomico County,0,26,35,37,-35,37,35,37,,,,,,,,,,,,,,,,,,,,,,,,
051,001,024,047,Virginia,Accomack County,Maryland,Worcester County,0,26,101,99,-101,99,101,99,,,,,,,,,,,,,,,,,,,,,,,,
051,001,025,023,Virginia,Accomack County,Massachusetts,Plymouth County,0,26,23,36,-23,36,23,36,,,,,,,,,,,,,,,,,,,,,,,,
051,001,025,027,Virginia,Accomack County,Massachusetts,Worcester County,0,26,12,19,-12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
051,001,027,003,Virginia,Accomack County,Minnesota,Anoka County,0,26,9,13,-9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
051,001,029,037,Virginia,Accomack County,Missouri,Cass County,13,18,0,26,13,18,13,18,,,,,,,,,,,,,,,,,,,,,,,,
051,001,030,001,Virginia,Accomack County,Montana,Beaverhead County,3,6,0,14,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
051,001,034,005,Virginia,Accomack County,New Jersey,Burlington County,0,26,12,32,-12,32,12,32,,,,,,,,,,,,,,,,,,,,,,,,
051,001,034,023,Virginia,Accomack County,New Jersey,Middlesex County,6,10,0,28,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
051,001,034,025,Virginia,Accomack County,New Jersey,Monmouth County,0,26,15,23,-15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
051,001,034,033,Virginia,Accomack County,New Jersey,Salem County,7,11,0,28,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
051,001,036,009,Virginia,Accomack County,New York,Cattaraugus County,3,7,0,28,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
051,001,036,119,Virginia,Accomack County,New York,Westchester County,15,18,0,28,15,18,15,18,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,025,Virginia,Accomack County,North Carolina,Cabarrus County,2,3,0,29,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,081,Virginia,Accomack County,North Carolina,Guilford County,11,17,0,29,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,083,Virginia,Accomack County,North Carolina,Halifax County,290,566,0,29,290,566,290,566,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,129,Virginia,Accomack County,North Carolina,New Hanover County,15,25,0,29,15,25,15,25,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,133,Virginia,Accomack County,North Carolina,Onslow County,16,21,0,29,16,21,16,21,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,151,Virginia,Accomack County,North Carolina,Randolph County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,163,Virginia,Accomack County,North Carolina,Sampson County,0,26,28,43,-28,43,28,43,,,,,,,,,,,,,,,,,,,,,,,,
051,001,037,183,Virginia,Accomack County,North Carolina,Wake County,0,26,28,41,-28,41,28,41,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,029,Virginia,Accomack County,Pennsylvania,Chester County,7,11,0,24,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,039,Virginia,Accomack County,Pennsylvania,Crawford County,0,26,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,043,Virginia,Accomack County,Pennsylvania,Dauphin County,11,19,0,24,11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,055,Virginia,Accomack County,Pennsylvania,Franklin County,59,101,5,11,54,101,64,102,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,085,Virginia,Accomack County,Pennsylvania,Mercer County,0,26,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,099,Virginia,Accomack County,Pennsylvania,Perry County,27,48,0,22,27,48,27,48,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,101,Virginia,Accomack County,Pennsylvania,Philadelphia County,2,4,0,24,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
051,001,042,133,Virginia,Accomack County,Pennsylvania,York County,0,26,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
051,001,045,019,Virginia,Accomack County,South Carolina,Charleston County,2,4,0,30,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
051,001,049,003,Virginia,Accomack County,Utah,Box Elder County,9,16,0,27,9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,003,Virginia,Accomack County,Virginia,Albemarle County,0,26,22,35,-22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,005,Virginia,Accomack County,Virginia,Alleghany County,8,13,36,37,-28,39,44,39,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,013,Virginia,Accomack County,Virginia,Arlington County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,015,Virginia,Accomack County,Virginia,Augusta County,7,11,15,21,-8,24,22,24,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,025,Virginia,Accomack County,Virginia,Brunswick County,0,26,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,029,Virginia,Accomack County,Virginia,Buckingham County,0,26,9,16,-9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,041,Virginia,Accomack County,Virginia,Chesterfield County,0,26,20,30,-20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,043,Virginia,Accomack County,Virginia,Clarke County,12,21,0,19,12,21,12,21,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,047,Virginia,Accomack County,Virginia,Culpeper County,0,26,8,15,-8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,059,Virginia,Accomack County,Virginia,Fairfax County,16,31,0,29,16,31,16,31,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,073,Virginia,Accomack County,Virginia,Gloucester County,0,26,7,12,-7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,077,Virginia,Accomack County,Virginia,Grayson County,0,26,17,25,-17,25,17,25,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,095,Virginia,Accomack County,Virginia,James City County,6,15,0,29,6,15,6,15,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,107,Virginia,Accomack County,Virginia,Loudoun County,0,26,29,45,-29,45,29,45,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,109,Virginia,Accomack County,Virginia,Louisa County,0,26,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,121,Virginia,Accomack County,Virginia,Montgomery County,0,26,33,56,-33,56,33,56,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,131,Virginia,Accomack County,Virginia,Northampton County,68,56,110,73,-42,92,178,92,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,133,Virginia,Accomack County,Virginia,Northumberland County,13,19,11,18,2,27,24,26,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,137,Virginia,Accomack County,Virginia,Orange County,2,4,0,26,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,153,Virginia,Accomack County,Virginia,Prince William County,3,5,0,29,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,175,Virginia,Accomack County,Virginia,Southampton County,12,23,0,19,12,23,12,23,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,179,Virginia,Accomack County,Virginia,Stafford County,1,2,0,29,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,510,Virginia,Accomack County,Virginia,Alexandria city,10,14,39,36,-29,38,49,39,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,550,Virginia,Accomack County,Virginia,Chesapeake city,0,26,211,234,-211,234,211,234,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,570,Virginia,Accomack County,Virginia,Colonial Heights city,0,26,59,61,-59,61,59,61,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,650,Virginia,Accomack County,Virginia,Hampton city,8,16,42,44,-34,48,50,46,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,678,Virginia,Accomack County,Virginia,Lexington city,0,26,10,22,-10,22,10,22,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,685,Virginia,Accomack County,Virginia,Manassas Park city,37,57,0,19,37,57,37,57,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,700,Virginia,Accomack County,Virginia,Newport News city,0,26,21,24,-21,24,21,24,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,710,Virginia,Accomack County,Virginia,Norfolk city,0,26,109,86,-109,86,109,86,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,720,Virginia,Accomack County,Virginia,Norton city,0,26,10,15,-10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,740,Virginia,Accomack County,Virginia,Portsmouth city,0,26,75,88,-75,88,75,88,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,760,Virginia,Accomack County,Virginia,Richmond city,5,6,42,49,-37,50,47,49,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,770,Virginia,Accomack County,Virginia,Roanoke city,0,26,9,17,-9,17,9,17,,,,,,,,,,,,,,,,,,,,,,,,
051,001,051,810,Virginia,Accomack County,Virginia,Virginia Beach city,47,41,59,64,-12,75,106,76,,,,,,,,,,,,,,,,,,,,,,,,
051,001,054,025,Virginia,Accomack County,West Virginia,Greenbrier County,0,26,17,28,-17,28,17,28,,,,,,,,,,,,,,,,,,,,,,,,
051,001,054,075,Virginia,Accomack County,West Virginia,Pocahontas County,17,25,0,16,17,25,17,25,,,,,,,,,,,,,,,,,,,,,,,,
051,001,054,103,Virginia,Accomack County,West Virginia,Wetzel County,0,26,9,15,-9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
051,001,AFR,000,Virginia,Accomack County,Africa,-,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,001,ASI,000,Virginia,Accomack County,Asia,-,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,001,CAR,000,Virginia,Accomack County,Caribbean,-,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,001,EUR,000,Virginia,Accomack County,Europe,-,84,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,003,001,015,Virginia,Albemarle County,Alabama,Calhoun County,28,43,0,27,28,43,28,43,,,,,,,,,,,,,,,,,,,,,,,,
051,003,001,125,Virginia,Albemarle County,Alabama,Tuscaloosa County,3,8,0,27,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,
051,003,002,090,Virginia,Albemarle County,Alaska,Fairbanks North Star Borough,16,24,0,22,16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
051,003,004,013,Virginia,Albemarle County,Arizona,Maricopa County,63,74,57,89,6,114,120,118,,,,,,,,,,,,,,,,,,,,,,,,
051,003,005,119,Virginia,Albemarle County,Arkansas,Pulaski County,11,17,0,28,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
051,003,005,143,Virginia,Albemarle County,Arkansas,Washington County,20,30,0,28,20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
051,003,006,019,Virginia,Albemarle County,California,Fresno County,2,7,0,29,2,7,2,7,,,,,,,,,,,,,,,,,,,,,,,,
051,003,006,037,Virginia,Albemarle County,California,Los Angeles County,197,235,158,137,39,271,355,274,,,,,,,,,,,,,,,,,,,,,,,,
051,003,006,047,Virginia,Albemarle County,California,Merced County,5,9,0,29,5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
051,003,006,065,Virginia,Albemarle County,California,Riverside County,19,33,1,4,18,31,20,34,,,,,,,,,,,,,,,,,,,,,,,,
051,003,006,067,Virginia,Albemarle County,California,Sacramento County,5,9,21,34,-16,35,26,34,,,,,,,,,,,,,,,,,,,,,,,,
051,003,006,073,Virginia,Albemarle County,California,San Diego County,58,92,40,64,18,136,98,83,,,,,,,,,,,,,,,,,,,,,,,,
