Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
053,001,002,020,Washington,Adams County,Alaska,Anchorage Municipality,0,19,22,35,-22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
053,001,002,188,Washington,Adams County,Alaska,Northwest Arctic Borough,0,19,5,8,-5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
053,001,004,013,Washington,Adams County,Arizona,Maricopa County,3,5,0,30,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
053,001,006,037,Washington,Adams County,California,Los Angeles County,19,23,0,29,19,23,19,23,,,,,,,,,,,,,,,,,,,,,,,,
053,001,006,059,Washington,Adams County,California,Orange County,0,19,15,25,-15,25,15,25,,,,,,,,,,,,,,,,,,,,,,,,
053,001,006,073,Washington,Adams County,California,San Diego County,39,60,0,29,39,60,39,60,,,,,,,,,,,,,,,,,,,,,,,,
053,001,013,259,Washington,Adams County,Georgia,Stewart County,0,19,8,15,-8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
053,001,016,019,Washington,Adams County,Idaho,Bonneville County,4,11,0,27,4,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,
053,001,016,027,Washington,Adams County,Idaho,Canyon County,3,6,0,27,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
053,001,016,051,Washington,Adams County,Idaho,Jefferson County,0,19,6,9,-6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
053,001,016,055,Washington,Adams County,Idaho,Kootenai County,9,10,0,27,9,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,
053,001,016,057,Washington,Adams County,Idaho,Latah County,9,15,0,24,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
