Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
055,001,001,069,Wisconsin,Adams County,Alabama,Houston County,5,8,0,27,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
055,001,002,020,Wisconsin,Adams County,Alaska,Anchorage Municipality,6,8,0,22,6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
055,001,006,059,Wisconsin,Adams County,California,Orange County,2,3,0,29,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
055,001,008,059,Wisconsin,Adams County,Colorado,Jefferson County,26,31,0,28,26,31,26,31,,,,,,,,,,,,,,,,,,,,,,,,
055,001,012,031,Wisconsin,Adams County,Florida,Duval County,46,66,0,32,46,66,46,66,,,,,,,,,,,,,,,,,,,,,,,,
055,001,012,069,Wisconsin,Adams County,Florida,Lake County,0,17,36,58,-36,58,36,58,,,,,,,,,,,,,,,,,,,,,,,,
055,001,012,071,Wisconsin,Adams County,Florida,Lee County,0,17,16,25,-16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
055,001,012,085,Wisconsin,Adams County,Florida,Martin County,11,18,0,32,11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
055,001,012,105,Wisconsin,Adams County,Florida,Polk County,7,9,0,32,7,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,
055,001,012,115,Wisconsin,Adams County,Florida,Sarasota County,0,17,22,35,-22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
