Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
056,001,001,045,Wyoming,Albany County,Alabama,Dale County,0,24,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
056,001,001,115,Wyoming,Albany County,Alabama,St. Clair County,36,54,15,24,21,58,51,59,,,,,,,,,,,,,,,,,,,,,,,,
056,001,002,020,Wyoming,Albany County,Alaska,Anchorage Municipality,37,59,0,22,37,59,37,59,,,,,,,,,,,,,,,,,,,,,,,,
056,001,002,122,Wyoming,Albany County,Alaska,Kenai Peninsula Borough,3,6,0,22,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
056,001,002,170,Wyoming,Albany County,Alaska,Matanuska-Susitna Borough,9,17,0,22,9,17,9,17,,,,,,,,,,,,,,,,,,,,,,,,
056,001,004,005,Wyoming,Albany County,Arizona,Coconino County,13,20,0,30,13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
056,001,004,012,Wyoming,Albany County,Arizona,La Paz County,17,26,0,24,17,26,17,26,,,,,,,,,,,,,,,,,,,,,,,,
056,001,004,013,Wyoming,Albany County,Arizona,Maricopa County,248,270,31,51,217,274,279,275,,,,,,,,,,,,,,,,,,,,,,,,
056,001,004,019,Wyoming,Albany County,Arizona,Pima County,1,2,0,30,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
056,001,004,021,Wyoming,Albany County,Arizona,Pinal County,2,4,0,30,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,013,Wyoming,Albany County,California,Contra Costa County,2,6,0,29,2,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,019,Wyoming,Albany County,California,Fresno County,45,72,0,29,45,72,45,72,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,029,Wyoming,Albany County,California,Kern County,8,15,0,29,8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,037,Wyoming,Albany County,California,Los Angeles County,17,22,20,20,-3,33,37,25,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,055,Wyoming,Albany County,California,Napa County,16,26,0,29,16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,059,Wyoming,Albany County,California,Orange County,27,41,34,57,-7,72,61,68,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,067,Wyoming,Albany County,California,Sacramento County,3,6,14,22,-11,19,17,25,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,071,Wyoming,Albany County,California,San Bernardino County,3,4,59,92,-56,92,62,92,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,073,Wyoming,Albany County,California,San Diego County,3,6,14,23,-11,24,17,24,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,075,Wyoming,Albany County,California,San Francisco County,12,20,0,29,12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,087,Wyoming,Albany County,California,Santa Cruz County,0,24,24,37,-24,37,24,37,,,,,,,,,,,,,,,,,,,,,,,,
056,001,006,111,Wyoming,Albany County,California,Ventura County,3,6,4,13,-1,16,7,13,,,,,,,,,,,,,,,,,,,,,,,,
056,001,008,001,Wyoming,Albany County,Colorado,Adams County,34,34,40,38,-6,51,74,51,,,,,,,,,,,,,,,,,,,,,,,,
056,001,008,005,Wyoming,Albany County,Colorado,Arapahoe County,60,40,30,33,30,50,90,54,,,,,,,,,,,,,,,,,,,,,,,,
056,001,008,013,Wyoming,Albany County,Colorado,Boulder County,34,27,0,28,34,27,34,27,,,,,,,,,,,,,,,,,,,,,,,,
