Alaska,0.56
Wyoming,2.30
Montana,2.67
North Dakota,3.95
South Dakota,4.23
New Mexico,6.62
Idaho,7.45
Nebraska,9.33
Nevada,9.74
Utah,13.19
Kansas,13.58
Maine,14.50
Oregon,15.42
Colorado,19.54
Iowa,21.20
Oklahoma,21.27
Arkansas,21.49
Arizona,22.45
Mississippi,23.85
Minnesota,24.07
Vermont,25.16
West Virginia,29.55
Missouri,33.48
Wisconsin,33.85
Louisiana,34.10
Alabama,35.60
Washington,37.75
Texas,38.02
Michigan,39.51
Kentucky,42.00
Hawaii,49.59
New Hampshire,54.66
South Carolina,57.57
Tennessee,59.51
Georgia,64.92
Indiana,69.66
North Carolina,70.65
Virginia,74.56
Illinois,85.88
California,90.41
Ohio,99.66
Pennsylvania,107.09
Florida,117.81
New York,139.08
Delaware,143.62
Maryland,184.52
Massachusetts,244.84
Connecticut,250.47
Rhode Island,262.80
New Jersey,393.93
District of Columbia,3652.26
