Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,003,Alabama,Autauga County,Alabama,Baldwin County,116,80,62,48,54,96,178,92,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,005,Alabama,Autauga County,Alabama,Barbour County,4,10,10,16,-6,19,14,19,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,007,Alabama,Autauga County,Alabama,Bibb County,0,27,118,127,-118,127,118,127,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,009,Alabama,Autauga County,Alabama,Blount County,0,27,37,62,-37,62,37,62,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,011,Alabama,Autauga County,Alabama,Bullock County,8,12,7,11,1,17,15,16,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,013,Alabama,Autauga County,Alabama,Butler County,3,7,0,21,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
001,001,001,015,Alabama,Autauga County,Alabama,Calhoun County,0,27,18,30,-18,30,18,30,,,,,Alabama From,,,,,,,,,,,,,,,,,,,
001,001,001,017,Alabama,Autauga County,Alabama,Chambers County,11,18,0,24,11,18,11,18,,,Alabama,155395,,Alabama,,,,,,,,,,,,,,,,,,
001,001,001,021,Alabama,Autauga County,Alabama,Chilton County,118,123,0,24,118,123,118,123,,,Alaska,1421,,Alaska,,,,,,,,,,,,,,,,,,
001,001,001,023,Alabama,Autauga County,Alabama,Choctaw County,0,27,43,61,-43,61,43,61,,,Arizona,1104,,Arizona,,,,,,,,,,,,,,,,,,
001,001,001,031,Alabama,Autauga County,Alabama,Coffee County,63,96,33,34,30,102,96,103,,,Arkansas,951,,Arkansas,,,,,,,,,,,,,,,,,,
001,001,001,033,Alabama,Autauga County,Alabama,Colbert County,14,21,39,84,-25,89,53,84,,,California,3602,,California,,,,,,,,,,,,,,,,,,
001,001,001,037,Alabama,Autauga County,Alabama,Coosa County,0,27,12,16,-12,16,12,16,,,Colorado,907,,Colorado,,,,,,,,,,,,,,,,,,
001,001,001,039,Alabama,Autauga County,Alabama,Covington County,112,128,0,24,112,128,112,128,,,Connecticut,830,,Connecticut,,,,,,,,,,,,,,,,,,
001,001,001,043,Alabama,Autauga County,Alabama,Cullman County,3,7,0,27,3,7,3,7,,,Florida,14339,,Florida,,,,,,,,,,,,,,,,,,
001,001,001,045,Alabama,Autauga County,Alabama,Dale County,0,27,13,17,-13,17,13,17,,,Georgia,19524,,Georgia,,,,,,,,,,,,,,,,,,
001,001,001,047,Alabama,Autauga County,Alabama,Dallas County,59,95,27,28,32,96,86,102,,,Hawaii,622,,Hawaii,,,,,,,,,,,,,,,,,,
001,001,001,051,Alabama,Autauga County,Alabama,Elmore County,491,256,"1,012",468,-521,549,"1,503",517,,,Idaho,444,,Idaho,,,,,,,,,,,,,,,,,,
001,001,001,053,Alabama,Autauga County,Alabama,Escambia County,0,27,36,36,-36,36,36,36,,,Illinois,3524,,Illinois,,,,,,,,,,,,,,,,,,
001,001,001,055,Alabama,Autauga County,Alabama,Etowah County,0,27,48,56,-48,56,48,56,,,Indiana,2241,,Indiana,,,,,,,,,,,,,,,,,,
001,001,001,057,Alabama,Autauga County,Alabama,Fayette County,0,27,6,10,-6,10,6,10,,,Iowa,384,,Iowa,,,,,,,,,,,,,,,,,,
001,001,001,065,Alabama,Autauga County,Alabama,Hale County,18,27,0,18,18,27,18,27,,,Kansas,744,,Kansas,,,,,,,,,,,,,,,,,,
001,001,001,069,Alabama,Autauga County,Alabama,Houston County,0,27,43,36,-43,36,43,36,,,Kentucky,2399,,Kentucky,,,,,,,,,,,,,,,,,,
001,001,001,073,Alabama,Autauga County,Alabama,Jefferson County,188,205,274,143,-86,220,462,277,,,Louisiana,2469,,Louisiana,,,,,,,,,,,,,,,,,,
001,001,001,077,Alabama,Autauga County,Alabama,Lauderdale County,0,27,76,80,-76,80,76,80,,,Michigan,2771,,Michigan,,,,,,,,,,,,,,,,,,
001,001,001,081,Alabama,Autauga County,Alabama,Lee County,99,94,116,97,-17,137,215,133,,,Mississippi,6336,,Mississippi,,,,,,,,,,,,,,,,,,
001,001,001,085,Alabama,Autauga County,Alabama,Lowndes County,7,11,0,18,7,11,7,11,,,Missouri,1287,,Missouri,,,,,,,,,,,,,,,,,,
001,001,001,087,Alabama,Autauga County,Alabama,Macon County,13,19,2,4,11,20,15,20,,,Nevada,534,,Nevada,,,,,,,,,,,,,,,,,,
001,001,001,089,Alabama,Autauga County,Alabama,Madison County,61,61,57,82,4,100,118,105,,,New Hampshire,67,,New Hampshire,,,,,,,,,,,,,,,,,,
001,001,001,093,Alabama,Autauga County,Alabama,Marion County,0,27,41,69,-41,69,41,69,,,New Mexico,661,,New Mexico,,,,,,,,,,,,,,,,,,
001,001,001,095,Alabama,Autauga County,Alabama,Marshall County,40,64,0,27,40,64,40,64,,,New York,2813,,New York,,,,,,,,,,,,,,,,,,
001,001,001,097,Alabama,Autauga County,Alabama,Mobile County,2,5,83,134,-81,135,85,134,,,North Carolina,4689,,North Carolina,,,,,,,,,,,,,,,,,,
001,001,001,099,Alabama,Autauga County,Alabama,Monroe County,3,14,0,21,3,14,3,14,,,Ohio,2672,,Ohio,,,,,,,,,,,,,,,,,,
001,001,001,101,Alabama,Autauga County,Alabama,Montgomery County,823,381,656,236,167,458,"1,479",438,,,Pennsylvania,1345,,Pennsylvania,,,,,,,,,,,,,,,,,,
001,001,001,103,Alabama,Autauga County,Alabama,Morgan County,49,52,0,27,49,52,49,52,,,South Carolina,2351,,South Carolina,,,,,,,,,,,,,,,,,,
001,001,001,109,Alabama,Autauga County,Alabama,Pike County,14,22,12,20,2,29,26,30,,,South Dakota,141,,South Dakota,,,,,,,,,,,,,,,,,,
001,001,001,111,Alabama,Autauga County,Alabama,Randolph County,7,14,0,21,7,14,7,14,,,Tennessee,8550,,Tennessee,,,,,,,,,,,,,,,,,,
001,001,001,117,Alabama,Autauga County,Alabama,Shelby County,32,55,24,23,8,59,56,61,,,Texas,7351,,Texas,,,,,,,,,,,,,,,,,,
001,001,001,121,Alabama,Autauga County,Alabama,Talladega County,0,27,1,2,-1,2,1,2,,,Utah,994,,Utah,,,,,,,,,,,,,,,,,,
001,001,001,123,Alabama,Autauga County,Alabama,Tallapoosa County,0,27,16,24,-16,24,16,24,,,Virginia,3744,,Virginia,,,,,,,,,,,,,,,,,,
001,001,001,125,Alabama,Autauga County,Alabama,Tuscaloosa County,52,76,65,42,-13,87,117,86,,,Washington,1253,,Washington,,,,,,,,,,,,,,,,,,
001,001,001,127,Alabama,Autauga County,Alabama,Walker County,3,6,0,27,3,6,3,6,,,Wisconsin,703,,Wisconsin,,,,,,,,,,,,,,,,,,
001,001,001,133,Alabama,Autauga County,Alabama,Winston County,5,11,0,21,5,11,5,11,,,Wyoming,150,,Wyoming,,,,,,,,,,,,,,,,,,
001,001,002,020,Alabama,Autauga County,Alaska,Anchorage Municipality,38,58,0,22,38,58,38,58,,,Asia,6471,,Asia,,,,,,,,,,,,,,,,,,
001,001,004,013,Alabama,Autauga County,Arizona,Maricopa County,84,136,0,30,84,136,84,136,,,Europe,3823,,Europe,,,,,,,,,,,,,,,,,,
001,001,004,015,Alabama,Autauga County,Arizona,Mohave County,37,60,0,30,37,60,37,60,,,Delaware,252,,Delaware,,,,,,,,,,,,,,,,,,
001,001,004,019,Alabama,Autauga County,Arizona,Pima County,13,20,0,30,13,20,13,20,,,Maine,364,,Maine,,,,,,,,,,,,,,,,,,
001,001,005,115,Alabama,Autauga County,Arkansas,Pope County,0,27,6,9,-6,9,6,9,,,Maryland,1480,,Maryland,,,,,,,,,,,,,,,,,,
001,001,006,001,Alabama,Autauga County,California,Alameda County,228,328,0,29,228,328,228,328,,,Massachusetts,355,,Massachusetts,,,,,,,,,,,,,,,,,,
001,001,006,047,Alabama,Autauga County,California,Merced County,20,31,12,19,8,37,32,36,,,Montana,297,,Montana,,,,,,,,,,,,,,,,,,
001,001,006,061,Alabama,Autauga County,California,Placer County,14,51,0,29,14,51,14,51,,,Nebraska,218,,Nebraska,,,,,,,,,,,,,,,,,,
001,001,006,065,Alabama,Autauga County,California,Riverside County,0,27,2,2,-2,2,2,2,,,New Jersey,1251,,New Jersey,,,,,,,,,,,,,,,,,,
001,001,006,071,Alabama,Autauga County,California,San Bernardino County,16,24,0,29,16,24,16,24,,,North Dakota,146,,North Dakota,,,,,,,,,,,,,,,,,,
001,001,006,073,Alabama,Autauga County,California,San Diego County,41,68,0,29,41,68,41,68,,,Oklahoma,735,,Oklahoma,,,,,,,,,,,,,,,,,,
001,001,008,041,Alabama,Autauga County,Colorado,El Paso County,105,192,0,28,105,192,105,192,,,Oregon,225,,Oregon,,,,,,,,,,,,,,,,,,
001,001,009,009,Alabama,Autauga County,Connecticut,New Haven County,483,710,0,28,483,710,483,710,,,West Virginia,124,,West Virginia,,,,,,,,,,,,,,,,,,
001,001,012,005,Alabama,Autauga County,Florida,Bay County,0,27,14,23,-14,23,14,23,,,Puerto Rico,624,,Puerto Rico,,,,,,,,,,,,,,,,,,
001,001,012,009,Alabama,Autauga County,Florida,Brevard County,0,27,11,13,-11,13,11,13,,,Central America,1704,,Central America,,,,,,,,,,,,,,,,,,
001,001,012,041,Alabama,Autauga County,Florida,Gilchrist County,0,27,42,67,-42,67,42,67,,,Caribbean,863,,Caribbean,,,,,,,,,,,,,,,,,,
001,001,012,071,Alabama,Autauga County,Florida,Lee County,0,27,18,36,-18,36,18,36,,,South America,651,,South America,,,,,,,,,,,,,,,,,,
001,001,012,081,Alabama,Autauga County,Florida,Manatee County,63,95,0,32,63,95,63,95,,,Africa,563,,Africa,,,,,,,,,,,,,,,,,,
001,001,012,089,Alabama,Autauga County,Florida,Nassau County,12,18,0,32,12,18,12,18,,,Oceania and At Sea,128,,Oceania and At Sea,,,,,,,,,,,,,,,,,,
001,001,012,091,Alabama,Autauga County,Florida,Okaloosa County,0,27,94,139,-94,139,94,139,,,Minnesota,470,,Minnesota,,,,,,,,,,,,,,,,,,
001,001,012,105,Alabama,Autauga County,Florida,Polk County,0,27,49,79,-49,79,49,79,,,Northern America,218,,Northern America,,,,,,,,,,,,,,,,,,
001,001,013,063,Alabama,Autauga County,Georgia,Clayton County,19,27,0,31,19,27,19,27,,,Rhode Island,105,,Rhode Island,,,,,,,,,,,,,,,,,,
001,001,013,097,Alabama,Autauga County,Georgia,Douglas County,6,9,0,31,6,9,6,9,,,Vermont,25,,Vermont,,,,,,,,,,,,,,,,,,
001,001,013,135,Alabama,Autauga County,Georgia,Gwinnett County,2,7,0,31,2,7,2,7,,,U.S. Island Areas,73,,U.S. Island Areas,,,,,,,,,,,,,,,,,,
001,001,013,143,Alabama,Autauga County,Georgia,Haralson County,8,13,0,25,8,13,8,13,,,District of Columbia,222,,District of Columbia,,,,,,,,,,,,,,,,,,
001,001,013,245,Alabama,Autauga County,Georgia,Richmond County,0,27,20,19,-20,19,20,19,,,,,,,,,,,,,,,,,,,,,,,,
001,001,015,003,Alabama,Autauga County,Hawaii,Honolulu County,0,27,173,242,-173,242,173,242,,,,,,,,,,,,,,,,,,,,,,,,
001,001,016,001,Alabama,Autauga County,Idaho,Ada County,31,49,0,27,31,49,31,49,,,,,,,,,,,,,,,,,,,,,,,,
001,001,017,031,Alabama,Autauga County,Illinois,Cook County,44,66,0,27,44,66,44,66,,,,,,,,,,,,,,,,,,,,,,,,
001,001,017,097,Alabama,Autauga County,Illinois,Lake County,0,27,39,54,-39,54,39,54,,,,,,,,,,,,,,,,,,,,,,,,
001,001,017,119,Alabama,Autauga County,Illinois,Madison County,14,24,0,27,14,24,14,24,,,,,,,,,,,,,,,,,,,,,,,,
001,001,017,163,Alabama,Autauga County,Illinois,St. Clair County,0,27,37,46,-37,46,37,46,,,,,,,,,,,,,,,,,,,,,,,,
001,001,018,139,Alabama,Autauga County,Indiana,Rush County,0,27,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
001,001,019,113,Alabama,Autauga County,Iowa,Linn County,39,52,0,23,39,52,39,52,,,,,,,,,,,,,,,,,,,,,,,,
001,001,019,169,Alabama,Autauga County,Iowa,Story County,78,125,0,23,78,125,78,125,,,,,,,,,,,,,,,,,,,,,,,,
001,001,020,091,Alabama,Autauga County,Kansas,Johnson County,11,15,0,24,11,15,11,15,,,,,,,,,,,,,,,,,,,,,,,,
001,001,020,173,Alabama,Autauga County,Kansas,Sedgwick County,0,27,30,37,-30,37,30,37,,,,,,,,,,,,,,,,,,,,,,,,
001,001,020,177,Alabama,Autauga County,Kansas,Shawnee County,0,27,69,173,-69,173,69,173,,,,,,,,,,,,,,,,,,,,,,,,
001,001,021,067,Alabama,Autauga County,Kentucky,Fayette County,0,27,30,39,-30,39,30,39,,,,,,,,,,,,,,,,,,,,,,,,
001,001,021,093,Alabama,Autauga County,Kentucky,Hardin County,0,27,30,46,-30,46,30,46,,,,,,,,,,,,,,,,,,,,,,,,
001,001,021,111,Alabama,Autauga County,Kentucky,Jefferson County,0,27,12,21,-12,21,12,21,,,,,,,,,,,,,,,,,,,,,,,,
001,001,022,015,Alabama,Autauga County,Louisiana,Bossier Parish,45,75,0,28,45,75,45,75,,,,,,,,,,,,,,,,,,,,,,,,
001,001,022,071,Alabama,Autauga County,Louisiana,Orleans Parish,10,16,0,28,10,16,10,16,,,,,,,,,,,,,,,,,,,,,,,,
001,001,022,103,Alabama,Autauga County,Louisiana,St. Tammany Parish,0,27,63,105,-63,105,63,105,,,,,,,,,,,,,,,,,,,,,,,,
001,001,026,065,Alabama,Autauga County,Michigan,Ingham County,0,27,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
001,001,026,077,Alabama,Autauga County,Michigan,Kalamazoo County,0,27,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
001,001,026,111,Alabama,Autauga County,Michigan,Midland County,0,27,55,71,-55,71,55,71,,,,,,,,,,,,,,,,,,,,,,,,
001,001,026,163,Alabama,Autauga County,Michigan,Wayne County,0,27,18,54,-18,54,18,54,,,,,,,,,,,,,,,,,,,,,,,,
001,001,028,041,Alabama,Autauga County,Mississippi,Greene County,4,7,0,19,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
001,001,028,045,Alabama,Autauga County,Mississippi,Hancock County,0,27,31,50,-31,50,31,50,,,,,,,,,,,,,,,,,,,,,,,,
001,001,028,073,Alabama,Autauga County,Mississippi,Lamar County,78,113,0,29,78,113,78,113,,,,,,,,,,,,,,,,,,,,,,,,
001,001,029,077,Alabama,Autauga County,Missouri,Greene County,0,27,20,33,-20,33,20,33,,,,,,,,,,,,,,,,,,,,,,,,
001,001,029,095,Alabama,Autauga County,Missouri,Jackson County,0,27,19,30,-19,30,19,30,,,,,,,,,,,,,,,,,,,,,,,,
001,001,029,097,Alabama,Autauga County,Missouri,Jasper County,25,36,0,26,25,36,25,36,,,,,,,,,,,,,,,,,,,,,,,,
001,001,032,003,Alabama,Autauga County,Nevada,Clark County,23,34,31,48,-8,61,54,56,,,,,,,,,,,,,,,,,,,,,,,,
001,001,033,011,Alabama,Autauga County,New Hampshire,Hillsborough County,4,8,0,27,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
001,001,035,009,Alabama,Autauga County,New Mexico,Curry County,29,49,15,24,14,54,44,55,,,,,,,,,,,,,,,,,,,,,,,,
001,001,036,063,Alabama,Autauga County,New York,Niagara County,46,68,0,28,46,68,46,68,,,,,,,,,,,,,,,,,,,,,,,,
001,001,036,119,Alabama,Autauga County,New York,Westchester County,32,46,0,28,32,46,32,46,,,,,,,,,,,,,,,,,,,,,,,,
001,001,037,021,Alabama,Autauga County,North Carolina,Buncombe County,1,3,0,29,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
001,001,037,051,Alabama,Autauga County,North Carolina,Cumberland County,0,27,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
