Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
005,001,004,013,Arkansas,Arkansas County,Arizona,Maricopa County,22,33,0,30,22,33,22,33,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,003,Arkansas,Arkansas County,Arkansas,Ashley County,30,52,2,4,28,52,32,52,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,005,Arkansas,Arkansas County,Arkansas,Baxter County,0,19,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,007,Arkansas,Arkansas County,Arkansas,Benton County,0,19,13,21,-13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,009,Arkansas,Arkansas County,Arkansas,Boone County,9,15,0,25,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,011,Arkansas,Arkansas County,Arkansas,Bradley County,0,19,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,019,Arkansas,Arkansas County,Arkansas,Clark County,0,19,33,42,-33,42,33,42,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,025,Arkansas,Arkansas County,Arkansas,Cleveland County,0,19,8,14,-8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,031,Arkansas,Arkansas County,Arkansas,Craighead County,37,31,58,59,-21,63,95,70,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,035,Arkansas,Arkansas County,Arkansas,Crittenden County,0,19,7,14,-7,14,7,14,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,045,Arkansas,Arkansas County,Arkansas,Faulkner County,3,6,41,60,-38,60,44,60,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,049,Arkansas,Arkansas County,Arkansas,Fulton County,7,12,0,19,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,051,Arkansas,Arkansas County,Arkansas,Garland County,11,16,19,26,-8,30,30,31,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,057,Arkansas,Arkansas County,Arkansas,Hempstead County,52,82,0,22,52,82,52,82,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,063,Arkansas,Arkansas County,Arkansas,Independence County,0,19,27,43,-27,43,27,43,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,067,Arkansas,Arkansas County,Arkansas,Jackson County,10,15,0,19,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,069,Arkansas,Arkansas County,Arkansas,Jefferson County,41,29,74,88,-33,97,115,89,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,073,Arkansas,Arkansas County,Arkansas,Lafayette County,4,9,0,17,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,075,Arkansas,Arkansas County,Arkansas,Lawrence County,0,19,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,079,Arkansas,Arkansas County,Arkansas,Lincoln County,0,19,9,16,-9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,085,Arkansas,Arkansas County,Arkansas,Lonoke County,0,19,39,36,-39,36,39,36,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,093,Arkansas,Arkansas County,Arkansas,Mississippi County,0,19,23,27,-23,27,23,27,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,095,Arkansas,Arkansas County,Arkansas,Monroe County,158,155,12,18,146,162,170,149,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,103,Arkansas,Arkansas County,Arkansas,Ouachita County,0,19,3,7,-3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,107,Arkansas,Arkansas County,Arkansas,Phillips County,77,71,0,22,77,71,77,71,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,111,Arkansas,Arkansas County,Arkansas,Poinsett County,0,19,86,107,-86,107,86,107,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,115,Arkansas,Arkansas County,Arkansas,Pope County,10,17,0,28,10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,117,Arkansas,Arkansas County,Arkansas,Prairie County,10,17,27,31,-17,34,37,36,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,119,Arkansas,Arkansas County,Arkansas,Pulaski County,64,56,143,136,-79,151,207,143,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,121,Arkansas,Arkansas County,Arkansas,Randolph County,5,11,0,19,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,123,Arkansas,Arkansas County,Arkansas,St. Francis County,31,31,55,61,-24,67,86,71,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,125,Arkansas,Arkansas County,Arkansas,Saline County,22,24,18,24,4,34,40,33,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,131,Arkansas,Arkansas County,Arkansas,Sebastian County,0,19,47,54,-47,54,47,54,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,137,Arkansas,Arkansas County,Arkansas,Stone County,8,18,0,19,8,18,8,18,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,143,Arkansas,Arkansas County,Arkansas,Washington County,4,7,258,308,-254,309,262,308,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,145,Arkansas,Arkansas County,Arkansas,White County,1,2,72,116,-71,116,73,116,,,,,,,,,,,,,,,,,,,,,,,,
005,001,005,149,Arkansas,Arkansas County,Arkansas,Yell County,35,39,0,22,35,39,35,39,,,,,,,,,,,,,,,,,,,,,,,,
005,001,008,041,Arkansas,Arkansas County,Colorado,El Paso County,0,19,68,96,-68,96,68,96,,,,,,,,,,,,,,,,,,,,,,,,
005,001,012,057,Arkansas,Arkansas County,Florida,Hillsborough County,7,12,0,32,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
005,001,017,163,Arkansas,Arkansas County,Illinois,St. Clair County,4,7,0,27,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
005,001,017,203,Arkansas,Arkansas County,Illinois,Woodford County,0,19,46,65,-46,65,46,65,,,,,,,,,,,,,,,,,,,,,,,,
005,001,018,157,Arkansas,Arkansas County,Indiana,Tippecanoe County,17,26,0,27,17,26,17,26,,,,,,,,,,,,,,,,,,,,,,,,
005,001,021,111,Arkansas,Arkansas County,Kentucky,Jefferson County,0,19,33,48,-33,48,33,48,,,,,,,,,,,,,,,,,,,,,,,,
005,001,022,015,Arkansas,Arkansas County,Louisiana,Bossier Parish,7,11,0,28,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
005,001,026,163,Arkansas,Arkansas County,Michigan,Wayne County,0,19,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
005,001,027,037,Arkansas,Arkansas County,Minnesota,Dakota County,0,19,4,6,-4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
005,001,027,171,Arkansas,Arkansas County,Minnesota,Wright County,29,43,0,20,29,43,29,43,,,,,,,,,,,,,,,,,,,,,,,,
005,001,028,023,Arkansas,Arkansas County,Mississippi,Clarke County,2,4,0,19,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
005,001,028,033,Arkansas,Arkansas County,Mississippi,DeSoto County,9,15,0,29,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
005,001,031,169,Arkansas,Arkansas County,Nebraska,Thayer County,3,6,0,13,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
005,001,035,045,Arkansas,Arkansas County,New Mexico,San Juan County,0,19,21,38,-21,38,21,38,,,,,,,,,,,,,,,,,,,,,,,,
