Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,001,California,Alameda County,Alabama,Autauga County,0,29,228,328,-228,328,228,328,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,015,California,Alameda County,Alabama,Calhoun County,12,18,0,27,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,051,California,Alameda County,Alabama,Elmore County,0,29,6,12,-6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,073,California,Alameda County,Alabama,Jefferson County,0,29,116,111,-116,111,116,111,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,089,California,Alameda County,Alabama,Madison County,0,29,176,138,-176,138,176,138,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,097,California,Alameda County,Alabama,Mobile County,0,29,7,10,-7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
006,001,001,101,California,Alameda County,Alabama,Montgomery County,12,22,0,27,12,22,12,22,,,,,,,,,,,,,,,,,,,,,,,,
006,001,002,020,California,Alameda County,Alaska,Anchorage Municipality,45,44,43,37,2,58,88,57,,,,,,,,,,,,,,,,,,,,,,,,
006,001,002,090,California,Alameda County,Alaska,Fairbanks North Star Borough,0,29,8,12,-8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
006,001,002,110,California,Alameda County,Alaska,Juneau City and Borough,19,29,3,6,16,29,22,30,,,,,,,,,,,,,,,,,,,,,,,,
006,001,002,130,California,Alameda County,Alaska,Ketchikan Gateway Borough,0,29,6,8,-6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
006,001,002,150,California,Alameda County,Alaska,Kodiak Island Borough,35,51,4,8,31,51,39,51,,,,,,,,,,,,,,,,,,,,,,,,
006,001,002,261,California,Alameda County,Alaska,Valdez-Cordova Census Area,19,31,0,13,19,31,19,31,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,001,California,Alameda County,Arizona,Apache County,0,29,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,003,California,Alameda County,Arizona,Cochise County,0,29,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,005,California,Alameda County,Arizona,Coconino County,0,29,16,24,-16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,007,California,Alameda County,Arizona,Gila County,0,29,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,011,California,Alameda County,Arizona,Greenlee County,0,29,8,14,-8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,013,California,Alameda County,Arizona,Maricopa County,"1,259",438,583,190,676,506,"1,842",446,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,015,California,Alameda County,Arizona,Mohave County,0,29,46,76,-46,76,46,76,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,017,California,Alameda County,Arizona,Navajo County,0,29,19,31,-19,31,19,31,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,019,California,Alameda County,Arizona,Pima County,294,178,167,107,127,191,461,222,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,021,California,Alameda County,Arizona,Pinal County,37,38,20,20,17,44,57,43,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,023,California,Alameda County,Arizona,Santa Cruz County,20,32,0,27,20,32,20,32,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,025,California,Alameda County,Arizona,Yavapai County,0,29,33,47,-33,47,33,47,,,,,,,,,,,,,,,,,,,,,,,,
006,001,004,027,California,Alameda County,Arizona,Yuma County,19,17,17,20,2,28,36,25,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,007,California,Alameda County,Arkansas,Benton County,20,32,13,19,7,37,33,37,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,017,California,Alameda County,Arkansas,Chicot County,7,13,0,19,7,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,033,California,Alameda County,Arkansas,Crawford County,34,51,0,28,34,51,34,51,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,043,California,Alameda County,Arkansas,Drew County,0,29,16,18,-16,18,16,18,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,049,California,Alameda County,Arkansas,Fulton County,0,29,28,45,-28,45,28,45,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,051,California,Alameda County,Arkansas,Garland County,0,29,27,31,-27,31,27,31,,,,,,,,,,,,,,,,,,,,,,,,
006,001,005,093,California,Alameda County,Arkansas,Mississippi County,20,45,0,25,20,45,20,45,,,,,,,,,,,,,,,,,,,,,,,,
