Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,061,Florida,Alachua County,Alabama,Geneva County,10,17,94,110,-84,112,104,110,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,069,Florida,Alachua County,Alabama,Houston County,0,32,13,13,-13,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,073,Florida,Alachua County,Alabama,Jefferson County,9,21,44,73,-35,76,53,76,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,081,Florida,Alachua County,Alabama,Lee County,13,18,50,57,-37,60,63,59,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,089,Florida,Alachua County,Alabama,Madison County,0,32,4,6,-4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,097,Florida,Alachua County,Alabama,Mobile County,79,105,22,25,57,106,101,111,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,101,Florida,Alachua County,Alabama,Montgomery County,0,32,94,71,-94,71,94,71,,,,,,,,,,,,,,,,,,,,,,,,
012,001,001,103,Florida,Alachua County,Alabama,Morgan County,0,32,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
012,001,002,020,Florida,Alachua County,Alaska,Anchorage Municipality,14,23,9,16,5,33,23,21,,,,,,,,,,,,,,,,,,,,,,,,
012,001,002,090,Florida,Alachua County,Alaska,Fairbanks North Star Borough,13,18,0,22,13,18,13,18,,,,,,,,,,,,,,,,,,,,,,,,
012,001,002,180,Florida,Alachua County,Alaska,Nome Census Area,0,32,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
012,001,004,005,Florida,Alachua County,Arizona,Coconino County,0,32,32,52,-32,52,32,52,,,,,,,,,,,,,,,,,,,,,,,,
012,001,004,013,Florida,Alachua County,Arizona,Maricopa County,48,60,37,37,11,72,85,68,,,,,,,,,,,,,,,,,,,,,,,,
012,001,004,019,Florida,Alachua County,Arizona,Pima County,24,38,17,27,7,46,41,48,,,,,,,,,,,,,,,,,,,,,,,,
012,001,005,005,Florida,Alachua County,Arkansas,Baxter County,41,54,0,25,41,54,41,54,,,,,,,,,,,,,,,,,,,,,,,,
012,001,005,007,Florida,Alachua County,Arkansas,Benton County,18,28,0,28,18,28,18,28,,,,,,,,,,,,,,,,,,,,,,,,
012,001,005,031,Florida,Alachua County,Arkansas,Craighead County,0,32,21,33,-21,33,21,33,,,,,,,,,,,,,,,,,,,,,,,,
012,001,005,069,Florida,Alachua County,Arkansas,Jefferson County,0,32,73,106,-73,106,73,106,,,,,,,,,,,,,,,,,,,,,,,,
012,001,005,119,Florida,Alachua County,Arkansas,Pulaski County,26,43,4,6,22,43,30,43,,,,,,,,,,,,,,,,,,,,,,,,
012,001,005,141,Florida,Alachua County,Arkansas,Van Buren County,0,32,13,19,-13,19,13,19,,,,,,,,,,,,,,,,,,,,,,,,
012,001,006,001,Florida,Alachua County,California,Alameda County,0,32,68,72,-68,72,68,72,,,,,,,,,,,,,,,,,,,,,,,,
012,001,006,013,Florida,Alachua County,California,Contra Costa County,0,32,41,64,-41,64,41,64,,,,,,,,,,,,,,,,,,,,,,,,
