Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
017,001,001,101,Illinois,Adams County,Alabama,Montgomery County,0,27,238,324,-238,324,238,324,,,,,,,,,,,,,,,,,,,,,,,,
017,001,002,130,Illinois,Adams County,Alaska,Ketchikan Gateway Borough,5,8,0,15,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
017,001,005,051,Illinois,Adams County,Arkansas,Garland County,11,18,0,28,11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
017,001,006,037,Illinois,Adams County,California,Los Angeles County,0,27,67,82,-67,82,67,82,,,,,,,,,,,,,,,,,,,,,,,,
017,001,006,045,Illinois,Adams County,California,Mendocino County,8,13,0,29,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
017,001,006,099,Illinois,Adams County,California,Stanislaus County,9,13,0,29,9,13,9,13,,,,,,,,,,,,,,,,,,,,,,,,
017,001,008,001,Illinois,Adams County,Colorado,Adams County,0,27,12,18,-12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
017,001,008,041,Illinois,Adams County,Colorado,El Paso County,10,18,0,28,10,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,005,Illinois,Adams County,Florida,Bay County,0,27,18,30,-18,30,18,30,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,033,Illinois,Adams County,Florida,Escambia County,5,9,0,32,5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,035,Illinois,Adams County,Florida,Flagler County,26,42,0,32,26,42,26,42,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,057,Illinois,Adams County,Florida,Hillsborough County,0,27,11,16,-11,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,091,Illinois,Adams County,Florida,Okaloosa County,5,7,0,32,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,095,Illinois,Adams County,Florida,Orange County,15,22,0,32,15,22,15,22,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,101,Illinois,Adams County,Florida,Pasco County,4,7,0,32,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,115,Illinois,Adams County,Florida,Sarasota County,0,27,23,41,-23,41,23,41,,,,,,,,,,,,,,,,,,,,,,,,
017,001,012,127,Illinois,Adams County,Florida,Volusia County,8,13,10,17,-2,21,18,22,,,,,,,,,,,,,,,,,,,,,,,,
017,001,013,015,Illinois,Adams County,Georgia,Bartow County,4,9,0,31,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
017,001,013,167,Illinois,Adams County,Georgia,Johnson County,0,27,7,12,-7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
017,001,013,175,Illinois,Adams County,Georgia,Laurens County,0,27,12,21,-12,21,12,21,,,,,,,,,,,,,,,,,,,,,,,,
017,001,013,293,Illinois,Adams County,Georgia,Upson County,5,8,0,25,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
017,001,016,003,Illinois,Adams County,Idaho,Adams County,24,37,0,11,24,37,24,37,,,,,,,,,,,,,,,,,,,,,,,,
017,001,017,003,Illinois,Adams County,Illinois,Alexander County,0,27,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
017,001,017,009,Illinois,Adams County,Illinois,Brown County,23,27,21,21,2,33,44,36,,,,,,,,,,,,,,,,,,,,,,,,
017,001,017,011,Illinois,Adams County,Illinois,Bureau County,5,11,12,18,-7,21,17,22,,,,,,,,,,,,,,,,,,,,,,,,
