Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
019,001,006,065,Iowa,Adair County,California,Riverside County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,003,Iowa,Adair County,Iowa,Adams County,32,35,8,10,24,38,40,36,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,009,Iowa,Adair County,Iowa,Audubon County,10,16,53,68,-43,71,63,68,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,015,Iowa,Adair County,Iowa,Boone County,6,8,8,12,-2,15,14,15,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,021,Iowa,Adair County,Iowa,Buena Vista County,0,14,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,025,Iowa,Adair County,Iowa,Calhoun County,12,18,0,14,12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,029,Iowa,Adair County,Iowa,Cass County,5,7,0,16,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,041,Iowa,Adair County,Iowa,Clay County,6,8,0,16,6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,049,Iowa,Adair County,Iowa,Dallas County,11,17,83,73,-72,77,94,73,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,053,Iowa,Adair County,Iowa,Decatur County,0,14,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,069,Iowa,Adair County,Iowa,Franklin County,2,5,0,16,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,077,Iowa,Adair County,Iowa,Guthrie County,91,87,56,38,35,97,147,93,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,087,Iowa,Adair County,Iowa,Henry County,2,3,0,18,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,099,Iowa,Adair County,Iowa,Jasper County,5,7,0,21,5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,103,Iowa,Adair County,Iowa,Johnson County,0,14,17,22,-17,22,17,22,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,105,Iowa,Adair County,Iowa,Jones County,0,14,7,12,-7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,109,Iowa,Adair County,Iowa,Kossuth County,0,14,6,13,-6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,113,Iowa,Adair County,Iowa,Linn County,0,14,12,20,-12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,115,Iowa,Adair County,Iowa,Louisa County,0,14,35,51,-35,51,35,51,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,117,Iowa,Adair County,Iowa,Lucas County,0,14,26,37,-26,37,26,37,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,121,Iowa,Adair County,Iowa,Madison County,11,18,39,32,-28,36,50,37,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,123,Iowa,Adair County,Iowa,Mahaska County,0,14,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,127,Iowa,Adair County,Iowa,Marshall County,4,6,0,21,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,139,Iowa,Adair County,Iowa,Muscatine County,0,14,47,78,-47,78,47,78,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,141,Iowa,Adair County,Iowa,O'Brien County,16,21,0,16,16,21,16,21,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,145,Iowa,Adair County,Iowa,Page County,15,23,0,16,15,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,153,Iowa,Adair County,Iowa,Polk County,58,68,176,121,-118,136,234,141,,,,,,,,,,,,,,,,,,,,,,,,
019,001,019,155,Iowa,Adair County,Iowa,Pottawattamie County,8,7,7,9,1,12,15,12,,,,,,,,,,,,,,,,,,,,,,,,
