Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
022,001,001,089,Louisiana,Acadia Parish,Alabama,Madison County,0,28,24,42,-24,42,24,42,,,,,,,,,,,,,,,,,,,,,,,,
022,001,004,013,Louisiana,Acadia Parish,Arizona,Maricopa County,0,28,15,26,-15,26,15,26,,,,,,,,,,,,,,,,,,,,,,,,
022,001,005,125,Louisiana,Acadia Parish,Arkansas,Saline County,0,28,31,47,-31,47,31,47,,,,,,,,,,,,,,,,,,,,,,,,
022,001,005,145,Louisiana,Acadia Parish,Arkansas,White County,1,2,0,28,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
022,001,006,073,Louisiana,Acadia Parish,California,San Diego County,0,28,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
022,001,012,019,Louisiana,Acadia Parish,Florida,Clay County,0,28,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
022,001,012,031,Louisiana,Acadia Parish,Florida,Duval County,63,107,0,32,63,107,63,107,,,,,,,,,,,,,,,,,,,,,,,,
022,001,012,091,Louisiana,Acadia Parish,Florida,Okaloosa County,11,17,0,32,11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
022,001,013,121,Louisiana,Acadia Parish,Georgia,Fulton County,131,197,0,31,131,197,131,197,,,,,,,,,,,,,,,,,,,,,,,,
022,001,013,217,Louisiana,Acadia Parish,Georgia,Newton County,40,66,0,31,40,66,40,66,,,,,,,,,,,,,,,,,,,,,,,,
022,001,018,135,Louisiana,Acadia Parish,Indiana,Randolph County,0,28,75,114,-75,114,75,114,,,,,,,,,,,,,,,,,,,,,,,,
022,001,020,013,Louisiana,Acadia Parish,Kansas,Brown County,75,103,0,15,75,103,75,103,,,,,,,,,,,,,,,,,,,,,,,,
022,001,021,067,Louisiana,Acadia Parish,Kentucky,Fayette County,0,28,8,13,-8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
022,001,022,003,Louisiana,Acadia Parish,Louisiana,Allen Parish,0,28,85,84,-85,84,85,84,,,,,,,,,,,,,,,,,,,,,,,,
022,001,022,005,Louisiana,Acadia Parish,Louisiana,Ascension Parish,13,28,0,28,13,28,13,28,,,,,,,,,,,,,,,,,,,,,,,,
022,001,022,009,Louisiana,Acadia Parish,Louisiana,Avoyelles Parish,4,10,10,13,-6,16,14,16,,,,,,,,,,,,,,,,,,,,,,,,
022,001,022,011,Louisiana,Acadia Parish,Louisiana,Beauregard Parish,0,28,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
022,001,022,013,Louisiana,Acadia Parish,Louisiana,Bienville Parish,0,28,29,32,-29,32,29,32,,,,,,,,,,,,,,,,,,,,,,,,
022,001,022,015,Louisiana,Acadia Parish,Louisiana,Bossier Parish,0,28,101,121,-101,121,101,121,,,,,,,,,,,,,,,,,,,,,,,,
