Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
024,001,001,127,Maryland,Allegany County,Alabama,Walker County,27,36,0,27,27,36,27,36,,,,,,,,,,,,,,,,,,,,,,,,
024,001,002,185,Maryland,Allegany County,Alaska,North Slope Borough,0,29,4,9,-4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
024,001,004,013,Maryland,Allegany County,Arizona,Maricopa County,10,17,0,30,10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
024,001,005,123,Maryland,Allegany County,Arkansas,St. Francis County,0,29,10,18,-10,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,
024,001,006,025,Maryland,Allegany County,California,Imperial County,0,29,5,9,-5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
024,001,006,029,Maryland,Allegany County,California,Kern County,0,29,22,27,-22,27,22,27,,,,,,,,,,,,,,,,,,,,,,,,
024,001,006,073,Maryland,Allegany County,California,San Diego County,49,66,0,29,49,66,49,66,,,,,,,,,,,,,,,,,,,,,,,,
024,001,008,069,Maryland,Allegany County,Colorado,Larimer County,33,59,0,28,33,59,33,59,,,,,,,,,,,,,,,,,,,,,,,,
024,001,009,001,Maryland,Allegany County,Connecticut,Fairfield County,7,12,0,28,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
024,001,009,009,Maryland,Allegany County,Connecticut,New Haven County,6,12,0,28,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
024,001,009,011,Maryland,Allegany County,Connecticut,New London County,0,29,28,38,-28,38,28,38,,,,,,,,,,,,,,,,,,,,,,,,
024,001,010,003,Maryland,Allegany County,Delaware,New Castle County,5,12,0,27,5,12,5,12,,,,,,,,,,,,,,,,,,,,,,,,
024,001,011,001,Maryland,Allegany County,District of Columbia,District of Columbia,130,96,10,16,120,97,140,98,,,,,,,,,,,,,,,,,,,,,,,,
024,001,012,011,Maryland,Allegany County,Florida,Broward County,0,29,15,25,-15,25,15,25,,,,,,,,,,,,,,,,,,,,,,,,
024,001,012,097,Maryland,Allegany County,Florida,Osceola County,0,29,7,15,-7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
024,001,012,099,Maryland,Allegany County,Florida,Palm Beach County,11,16,0,32,11,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
024,001,012,103,Maryland,Allegany County,Florida,Pinellas County,0,29,4,9,-4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
024,001,012,119,Maryland,Allegany County,Florida,Sumter County,15,27,0,32,15,27,15,27,,,,,,,,,,,,,,,,,,,,,,,,
024,001,012,127,Maryland,Allegany County,Florida,Volusia County,16,25,0,32,16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
024,001,013,223,Maryland,Allegany County,Georgia,Paulding County,0,29,21,34,-21,34,21,34,,,,,,,,,,,,,,,,,,,,,,,,
024,001,013,245,Maryland,Allegany County,Georgia,Richmond County,39,62,0,31,39,62,39,62,,,,,,,,,,,,,,,,,,,,,,,,
024,001,017,199,Maryland,Allegany County,Illinois,Williamson County,6,13,0,27,6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
024,001,018,089,Maryland,Allegany County,Indiana,Lake County,14,18,0,27,14,18,14,18,,,,,,,,,,,,,,,,,,,,,,,,
024,001,018,157,Maryland,Allegany County,Indiana,Tippecanoe County,1,2,0,27,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
024,001,018,163,Maryland,Allegany County,Indiana,Vanderburgh County,0,29,16,23,-16,23,16,23,,,,,,,,,,,,,,,,,,,,,,,,
024,001,021,001,Maryland,Allegany County,Kentucky,Adair County,0,29,18,28,-18,28,18,28,,,,,,,,,,,,,,,,,,,,,,,,
024,001,021,019,Maryland,Allegany County,Kentucky,Boyd County,33,48,0,24,33,48,33,48,,,,,,,,,,,,,,,,,,,,,,,,
024,001,021,051,Maryland,Allegany County,Kentucky,Clay County,7,12,0,21,7,12,7,12,,,,,,,,,,,,,,,,,,,,,,,,
024,001,021,199,Maryland,Allegany County,Kentucky,Pulaski County,24,34,0,27,24,34,24,34,,,,,,,,,,,,,,,,,,,,,,,,
024,001,022,119,Maryland,Allegany County,Louisiana,Webster Parish,5,10,0,25,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
024,001,023,015,Maryland,Allegany County,Maine,Lincoln County,2,4,0,21,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
024,001,023,031,Maryland,Allegany County,Maine,York County,51,54,0,23,51,54,51,54,,,,,,,,,,,,,,,,,,,,,,,,
024,001,024,003,Maryland,Allegany County,Maryland,Anne Arundel County,262,132,285,204,-23,245,547,242,,,,,,,,,,,,,,,,,,,,,,,,
024,001,024,005,Maryland,Allegany County,Maryland,Baltimore County,253,157,55,50,198,168,308,160,,,,,,,,,,,,,,,,,,,,,,,,
024,001,024,009,Maryland,Allegany County,Maryland,Calvert County,31,35,0,29,31,35,31,35,,,,,,,,,,,,,,,,,,,,,,,,
