Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
026,001,002,110,Michigan,Alcona County,Alaska,Juneau City and Borough,4,7,0,20,4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
026,001,004,013,Michigan,Alcona County,Arizona,Maricopa County,0,16,22,35,-22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
026,001,004,019,Michigan,Alcona County,Arizona,Pima County,0,16,22,35,-22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
026,001,006,061,Michigan,Alcona County,California,Placer County,4,6,0,29,4,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
026,001,006,107,Michigan,Alcona County,California,Tulare County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
026,001,008,041,Michigan,Alcona County,Colorado,El Paso County,2,4,0,28,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
026,001,012,011,Michigan,Alcona County,Florida,Broward County,16,18,0,32,16,18,16,18,,,,,,,,,,,,,,,,,,,,,,,,
026,001,012,021,Michigan,Alcona County,Florida,Collier County,2,4,0,32,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
026,001,012,033,Michigan,Alcona County,Florida,Escambia County,0,16,10,17,-10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
026,001,012,069,Michigan,Alcona County,Florida,Lake County,0,16,12,20,-12,20,12,20,,,,,,,,,,,,,,,,,,,,,,,,
026,001,012,105,Michigan,Alcona County,Florida,Polk County,0,16,25,40,-25,40,25,40,,,,,,,,,,,,,,,,,,,,,,,,
026,001,012,113,Michigan,Alcona County,Florida,Santa Rosa County,21,31,0,32,21,31,21,31,,,,,,,,,,,,,,,,,,,,,,,,
026,001,013,051,Michigan,Alcona County,Georgia,Chatham County,7,8,0,31,7,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,
026,001,013,067,Michigan,Alcona County,Georgia,Cobb County,10,14,0,31,10,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,
026,001,013,247,Michigan,Alcona County,Georgia,Rockdale County,12,17,0,31,12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
026,001,016,019,Michigan,Alcona County,Idaho,Bonneville County,14,19,0,27,14,19,14,19,,,,,,,,,,,,,,,,,,,,,,,,
026,001,017,097,Michigan,Alcona County,Illinois,Lake County,0,16,25,43,-25,43,25,43,,,,,,,,,,,,,,,,,,,,,,,,
026,001,017,157,Michigan,Alcona County,Illinois,Randolph County,0,16,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
026,001,018,081,Michigan,Alcona County,Indiana,Johnson County,0,16,9,12,-9,12,9,12,,,,,,,,,,,,,,,,,,,,,,,,
026,001,019,153,Michigan,Alcona County,Iowa,Polk County,6,9,0,23,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
026,001,021,019,Michigan,Alcona County,Kentucky,Boyd County,3,4,0,24,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
026,001,025,009,Michigan,Alcona County,Massachusetts,Essex County,7,9,0,29,7,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,003,Michigan,Alcona County,Michigan,Alger County,0,16,47,57,-47,57,47,57,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,005,Michigan,Alcona County,Michigan,Allegan County,5,7,2,3,3,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,007,Michigan,Alcona County,Michigan,Alpena County,15,12,126,93,-111,93,141,95,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,009,Michigan,Alcona County,Michigan,Antrim County,0,16,12,18,-12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,011,Michigan,Alcona County,Michigan,Arenac County,2,4,0,16,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,019,Michigan,Alcona County,Michigan,Benzie County,0,16,3,5,-3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,029,Michigan,Alcona County,Michigan,Charlevoix County,0,16,1,3,-1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,033,Michigan,Alcona County,Michigan,Chippewa County,0,16,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,035,Michigan,Alcona County,Michigan,Clare County,22,28,0,22,22,28,22,28,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,037,Michigan,Alcona County,Michigan,Clinton County,8,12,0,24,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,045,Michigan,Alcona County,Michigan,Eaton County,6,9,0,24,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,047,Michigan,Alcona County,Michigan,Emmet County,3,5,1,3,2,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,049,Michigan,Alcona County,Michigan,Genesee County,40,24,61,63,-21,68,101,68,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,055,Michigan,Alcona County,Michigan,Grand Traverse County,25,21,0,24,25,21,25,21,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,057,Michigan,Alcona County,Michigan,Gratiot County,3,5,0,22,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,063,Michigan,Alcona County,Michigan,Huron County,5,8,8,10,-3,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,065,Michigan,Alcona County,Michigan,Ingham County,3,6,0,24,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
026,001,026,067,Michigan,Alcona County,Michigan,Ionia County,2,2,0,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
