Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
028,001,001,003,Mississippi,Adams County,Alabama,Baldwin County,33,48,0,27,33,48,33,48,,,,,,,,,,,,,,,,,,,,,,,,
028,001,001,069,Mississippi,Adams County,Alabama,Houston County,0,26,4,8,-4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
028,001,004,013,Mississippi,Adams County,Arizona,Maricopa County,21,33,0,30,21,33,21,33,,,,,,,,,,,,,,,,,,,,,,,,
028,001,005,035,Mississippi,Adams County,Arkansas,Crittenden County,7,14,0,25,7,14,7,14,,,,,,,,,,,,,,,,,,,,,,,,
028,001,005,119,Mississippi,Adams County,Arkansas,Pulaski County,0,26,24,39,-24,39,24,39,,,,,,,,,,,,,,,,,,,,,,,,
028,001,005,131,Mississippi,Adams County,Arkansas,Sebastian County,184,167,0,28,184,167,184,167,,,,,,,,,,,,,,,,,,,,,,,,
028,001,005,139,Mississippi,Adams County,Arkansas,Union County,0,26,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
028,001,006,037,Mississippi,Adams County,California,Los Angeles County,7,14,0,29,7,14,7,14,,,,,,,,,,,,,,,,,,,,,,,,
028,001,006,053,Mississippi,Adams County,California,Monterey County,8,15,0,29,8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
028,001,006,059,Mississippi,Adams County,California,Orange County,8,15,0,29,8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
028,001,006,073,Mississippi,Adams County,California,San Diego County,5,10,0,29,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
028,001,008,123,Mississippi,Adams County,Colorado,Weld County,5,10,0,28,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
028,001,009,011,Mississippi,Adams County,Connecticut,New London County,0,26,9,20,-9,20,9,20,,,,,,,,,,,,,,,,,,,,,,,,
