Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
030,001,001,073,Montana,Beaverhead County,Alabama,Jefferson County,0,14,10,15,-10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
030,001,002,020,Montana,Beaverhead County,Alaska,Anchorage Municipality,16,23,0,22,16,23,16,23,,,,,,,,,,,,,,,,,,,,,,,,
030,001,002,122,Montana,Beaverhead County,Alaska,Kenai Peninsula Borough,6,9,0,22,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
030,001,004,019,Montana,Beaverhead County,Arizona,Pima County,11,23,0,30,11,23,11,23,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,023,Montana,Beaverhead County,California,Humboldt County,6,11,0,29,6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,033,Montana,Beaverhead County,California,Lake County,0,14,19,30,-19,30,19,30,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,059,Montana,Beaverhead County,California,Orange County,3,6,0,29,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,065,Montana,Beaverhead County,California,Riverside County,3,6,0,29,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,067,Montana,Beaverhead County,California,Sacramento County,2,3,0,29,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,073,Montana,Beaverhead County,California,San Diego County,0,14,46,74,-46,74,46,74,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,085,Montana,Beaverhead County,California,Santa Clara County,8,12,0,29,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
030,001,006,111,Montana,Beaverhead County,California,Ventura County,6,13,0,29,6,13,6,13,,,,,,,,,,,,,,,,,,,,,,,,
030,001,008,029,Montana,Beaverhead County,Colorado,Delta County,1,3,0,25,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
030,001,008,123,Montana,Beaverhead County,Colorado,Weld County,4,8,0,28,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
030,001,010,001,Montana,Beaverhead County,Delaware,Kent County,93,120,0,27,93,120,93,120,,,,,,,,,,,,,,,,,,,,,,,,
030,001,015,001,Montana,Beaverhead County,Hawaii,Hawaii County,14,20,0,27,14,20,14,20,,,,,,,,,,,,,,,,,,,,,,,,
030,001,016,019,Montana,Beaverhead County,Idaho,Bonneville County,4,8,24,37,-20,37,28,38,,,,,,,,,,,,,,,,,,,,,,,,
030,001,016,029,Montana,Beaverhead County,Idaho,Caribou County,9,17,0,16,9,17,9,17,,,,,,,,,,,,,,,,,,,,,,,,
030,001,016,033,Montana,Beaverhead County,Idaho,Clark County,33,50,0,11,33,50,33,50,,,,,,,,,,,,,,,,,,,,,,,,
030,001,016,053,Montana,Beaverhead County,Idaho,Jerome County,0,14,36,41,-36,41,36,41,,,,,,,,,,,,,,,,,,,,,,,,
030,001,016,065,Montana,Beaverhead County,Idaho,Madison County,8,16,8,14,0,22,16,22,,,,,,,,,,,,,,,,,,,,,,,,
030,001,017,043,Montana,Beaverhead County,Illinois,DuPage County,8,12,0,27,8,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
030,001,024,031,Montana,Beaverhead County,Maryland,Montgomery County,9,16,0,29,9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
030,001,029,183,Montana,Beaverhead County,Missouri,St. Charles County,11,21,0,26,11,21,11,21,,,,,,,,,,,,,,,,,,,,,,,,
030,001,029,201,Montana,Beaverhead County,Missouri,Scott County,6,9,0,23,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,003,Montana,Beaverhead County,Montana,Big Horn County,3,6,0,16,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,005,Montana,Beaverhead County,Montana,Blaine County,6,12,0,14,6,12,6,12,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,013,Montana,Beaverhead County,Montana,Cascade County,78,70,62,60,16,92,140,92,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,021,Montana,Beaverhead County,Montana,Dawson County,12,17,20,25,-8,31,32,30,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,023,Montana,Beaverhead County,Montana,Deer Lodge County,16,18,23,33,-7,40,39,35,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,027,Montana,Beaverhead County,Montana,Fergus County,14,14,5,6,9,15,19,16,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,029,Montana,Beaverhead County,Montana,Flathead County,17,28,13,18,4,34,30,34,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,031,Montana,Beaverhead County,Montana,Gallatin County,10,20,109,65,-99,70,119,66,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,035,Montana,Beaverhead County,Montana,Glacier County,4,8,2,3,2,9,6,8,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,039,Montana,Beaverhead County,Montana,Granite County,0,14,8,11,-8,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,041,Montana,Beaverhead County,Montana,Hill County,4,9,4,8,0,12,8,12,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,043,Montana,Beaverhead County,Montana,Jefferson County,44,48,0,16,44,48,44,48,,,,,,,,,,,,,,,,,,,,,,,,
030,001,030,047,Montana,Beaverhead County,Montana,Lake County,6,13,2,4,4,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
