Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
031,001,004,013,Nebraska,Adams County,Arizona,Maricopa County,157,221,0,30,157,221,157,221,,,,,,,,,,,,,,,,,,,,,,,,
031,001,004,015,Nebraska,Adams County,Arizona,Mohave County,2,3,164,191,-162,190,166,192,,,,,,,,,,,,,,,,,,,,,,,,
031,001,005,005,Nebraska,Adams County,Arkansas,Baxter County,144,154,0,25,144,154,144,154,,,,,,,,,,,,,,,,,,,,,,,,
031,001,005,033,Nebraska,Adams County,Arkansas,Crawford County,15,16,0,28,15,16,15,16,,,,,,,,,,,,,,,,,,,,,,,,
031,001,006,047,Nebraska,Adams County,California,Merced County,16,34,0,29,16,34,16,34,,,,,,,,,,,,,,,,,,,,,,,,
031,001,006,059,Nebraska,Adams County,California,Orange County,28,37,0,29,28,37,28,37,,,,,,,,,,,,,,,,,,,,,,,,
031,001,006,073,Nebraska,Adams County,California,San Diego County,22,36,0,29,22,36,22,36,,,,,,,,,,,,,,,,,,,,,,,,
031,001,006,111,Nebraska,Adams County,California,Ventura County,12,28,0,29,12,28,12,28,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,001,Nebraska,Adams County,Colorado,Adams County,15,18,155,223,-140,224,170,224,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,005,Nebraska,Adams County,Colorado,Arapahoe County,23,37,0,28,23,37,23,37,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,013,Nebraska,Adams County,Colorado,Boulder County,44,44,0,28,44,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,035,Nebraska,Adams County,Colorado,Douglas County,81,77,0,28,81,77,81,77,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,041,Nebraska,Adams County,Colorado,El Paso County,38,41,0,28,38,41,38,41,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,095,Nebraska,Adams County,Colorado,Phillips County,6,9,0,12,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
031,001,008,123,Nebraska,Adams County,Colorado,Weld County,16,27,0,28,16,27,16,27,,,,,,,,,,,,,,,,,,,,,,,,
031,001,012,109,Nebraska,Adams County,Florida,St. Johns County,3,6,0,32,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
031,001,013,083,Nebraska,Adams County,Georgia,Dade County,45,81,0,21,45,81,45,81,,,,,,,,,,,,,,,,,,,,,,,,
031,001,016,005,Nebraska,Adams County,Idaho,Bannock County,6,9,0,27,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
031,001,017,019,Nebraska,Adams County,Illinois,Champaign County,8,13,0,27,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
031,001,018,069,Nebraska,Adams County,Indiana,Huntington County,23,35,0,24,23,35,23,35,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,051,Nebraska,Adams County,Iowa,Davis County,3,6,0,14,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,103,Nebraska,Adams County,Iowa,Johnson County,0,20,19,29,-19,29,19,29,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,117,Nebraska,Adams County,Iowa,Lucas County,1,4,0,14,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,133,Nebraska,Adams County,Iowa,Monona County,0,20,16,22,-16,22,16,22,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,155,Nebraska,Adams County,Iowa,Pottawattamie County,7,11,0,23,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,191,Nebraska,Adams County,Iowa,Winneshiek County,2,5,0,18,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
031,001,019,193,Nebraska,Adams County,Iowa,Woodbury County,0,20,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,015,Nebraska,Adams County,Kansas,Butler County,0,20,50,69,-50,69,50,69,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,041,Nebraska,Adams County,Kansas,Dickinson County,0,20,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,057,Nebraska,Adams County,Kansas,Ford County,16,25,0,22,16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,091,Nebraska,Adams County,Kansas,Johnson County,0,20,15,24,-15,24,15,24,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,155,Nebraska,Adams County,Kansas,Reno County,15,21,0,24,15,21,15,21,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,169,Nebraska,Adams County,Kansas,Saline County,7,11,0,24,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
031,001,020,197,Nebraska,Adams County,Kansas,Wabaunsee County,1,3,0,15,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
