Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
047,001,001,049,Tennessee,Anderson County,Alabama,DeKalb County,11,16,0,27,11,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
047,001,001,051,Tennessee,Anderson County,Alabama,Elmore County,56,70,0,27,56,70,56,70,,,,,,,,,,,,,,,,,,,,,,,,
047,001,001,069,Tennessee,Anderson County,Alabama,Houston County,0,29,4,8,-4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
047,001,001,073,Tennessee,Anderson County,Alabama,Jefferson County,0,29,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
047,001,001,097,Tennessee,Anderson County,Alabama,Mobile County,41,64,0,27,41,64,41,64,,,,,,,,,,,,,,,,,,,,,,,,
047,001,004,013,Tennessee,Anderson County,Arizona,Maricopa County,12,19,22,29,-10,34,34,35,,,,,,,,,,,,,,,,,,,,,,,,
047,001,004,019,Tennessee,Anderson County,Arizona,Pima County,29,35,0,30,29,35,29,35,,,,,,,,,,,,,,,,,,,,,,,,
047,001,005,045,Tennessee,Anderson County,Arkansas,Faulkner County,0,29,21,32,-21,32,21,32,,,,,,,,,,,,,,,,,,,,,,,,
047,001,006,037,Tennessee,Anderson County,California,Los Angeles County,18,29,15,23,3,37,33,37,,,,,,,,,,,,,,,,,,,,,,,,
047,001,006,059,Tennessee,Anderson County,California,Orange County,0,29,54,66,-54,66,54,66,,,,,,,,,,,,,,,,,,,,,,,,
047,001,006,073,Tennessee,Anderson County,California,San Diego County,34,55,0,29,34,55,34,55,,,,,,,,,,,,,,,,,,,,,,,,
047,001,006,083,Tennessee,Anderson County,California,Santa Barbara County,9,15,0,29,9,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,
047,001,006,085,Tennessee,Anderson County,California,Santa Clara County,0,29,30,47,-30,47,30,47,,,,,,,,,,,,,,,,,,,,,,,,
047,001,008,001,Tennessee,Anderson County,Colorado,Adams County,59,89,0,28,59,89,59,89,,,,,,,,,,,,,,,,,,,,,,,,
047,001,008,119,Tennessee,Anderson County,Colorado,Teller County,13,25,0,22,13,25,13,25,,,,,,,,,,,,,,,,,,,,,,,,
047,001,011,001,Tennessee,Anderson County,District of Columbia,District of Columbia,7,12,35,37,-28,39,42,39,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,005,Tennessee,Anderson County,Florida,Bay County,20,31,0,32,20,31,20,31,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,009,Tennessee,Anderson County,Florida,Brevard County,0,29,15,24,-15,24,15,24,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,031,Tennessee,Anderson County,Florida,Duval County,19,21,0,32,19,21,19,21,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,061,Tennessee,Anderson County,Florida,Indian River County,0,29,8,14,-8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,081,Tennessee,Anderson County,Florida,Manatee County,0,29,55,62,-55,62,55,62,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,083,Tennessee,Anderson County,Florida,Marion County,13,22,0,32,13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,086,Tennessee,Anderson County,Florida,Miami-Dade County,0,29,11,19,-11,19,11,19,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,099,Tennessee,Anderson County,Florida,Palm Beach County,6,14,0,32,6,14,6,14,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,109,Tennessee,Anderson County,Florida,St. Johns County,0,29,22,35,-22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,115,Tennessee,Anderson County,Florida,Sarasota County,0,29,4,8,-4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
047,001,012,131,Tennessee,Anderson County,Florida,Walton County,0,29,5,10,-5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,051,Tennessee,Anderson County,Georgia,Chatham County,13,21,0,31,13,21,13,21,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,063,Tennessee,Anderson County,Georgia,Clayton County,13,20,0,31,13,20,13,20,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,067,Tennessee,Anderson County,Georgia,Cobb County,0,29,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,089,Tennessee,Anderson County,Georgia,DeKalb County,0,29,16,20,-16,20,16,20,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,097,Tennessee,Anderson County,Georgia,Douglas County,16,26,0,31,16,26,16,26,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,121,Tennessee,Anderson County,Georgia,Fulton County,13,22,0,31,13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,127,Tennessee,Anderson County,Georgia,Glynn County,0,29,15,24,-15,24,15,24,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,129,Tennessee,Anderson County,Georgia,Gordon County,18,29,2,4,16,29,20,30,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,245,Tennessee,Anderson County,Georgia,Richmond County,0,29,17,20,-17,20,17,20,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,247,Tennessee,Anderson County,Georgia,Rockdale County,44,64,0,31,44,64,44,64,,,,,,,,,,,,,,,,,,,,,,,,
047,001,013,291,Tennessee,Anderson County,Georgia,Union County,0,29,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
047,001,016,019,Tennessee,Anderson County,Idaho,Bonneville County,0,29,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
