Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
054,001,008,041,West Virginia,Barbour County,Colorado,El Paso County,0,18,36,56,-36,56,36,56,,,,,,,,,,,,,,,,,,,,,,,,
054,001,012,017,West Virginia,Barbour County,Florida,Citrus County,22,35,0,32,22,35,22,35,,,,,,,,,,,,,,,,,,,,,,,,
054,001,012,086,West Virginia,Barbour County,Florida,Miami-Dade County,14,30,0,32,14,30,14,30,,,,,,,,,,,,,,,,,,,,,,,,
054,001,012,105,West Virginia,Barbour County,Florida,Polk County,6,10,0,32,6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
054,001,016,005,West Virginia,Barbour County,Idaho,Bannock County,49,76,0,27,49,76,49,76,,,,,,,,,,,,,,,,,,,,,,,,
054,001,017,031,West Virginia,Barbour County,Illinois,Cook County,8,10,0,27,8,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,
054,001,018,097,West Virginia,Barbour County,Indiana,Marion County,0,18,14,23,-14,23,14,23,,,,,,,,,,,,,,,,,,,,,,,,
054,001,021,059,West Virginia,Barbour County,Kentucky,Daviess County,1,2,0,27,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
054,001,021,235,West Virginia,Barbour County,Kentucky,Whitley County,35,57,0,24,35,57,35,57,,,,,,,,,,,,,,,,,,,,,,,,
054,001,024,031,West Virginia,Barbour County,Maryland,Montgomery County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
054,001,024,510,West Virginia,Barbour County,Maryland,Baltimore city,7,10,0,29,7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
054,001,026,099,West Virginia,Barbour County,Michigan,Macomb County,29,41,0,24,29,41,29,41,,,,,,,,,,,,,,,,,,,,,,,,
054,001,026,163,West Virginia,Barbour County,Michigan,Wayne County,13,17,0,24,13,17,13,17,,,,,,,,,,,,,,,,,,,,,,,,
054,001,029,077,West Virginia,Barbour County,Missouri,Greene County,36,52,0,26,36,52,36,52,,,,,,,,,,,,,,,,,,,,,,,,
054,001,029,097,West Virginia,Barbour County,Missouri,Jasper County,7,11,0,26,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
054,001,036,051,West Virginia,Barbour County,New York,Livingston County,20,30,0,28,20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
054,001,036,091,West Virginia,Barbour County,New York,Saratoga County,7,15,0,28,7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
054,001,037,089,West Virginia,Barbour County,North Carolina,Henderson County,10,15,0,29,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
054,001,039,035,West Virginia,Barbour County,Ohio,Cuyahoga County,1,4,0,27,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
054,001,039,041,West Virginia,Barbour County,Ohio,Delaware County,5,11,0,27,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
054,001,039,049,West Virginia,Barbour County,Ohio,Franklin County,4,11,0,27,4,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,
054,001,039,105,West Virginia,Barbour County,Ohio,Meigs County,5,10,0,21,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
